,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,35,2,H,2,0.08980411596472086,0.13470617394708131,False,n.s.
1,35,2,4,2,0.06028917399060221,0.13470617394708131,False,n.s.
2,H,2,4,2,0.5828406828062361,0.5828406828062361,False,n.s.
