groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
+/+,30,+/-,42,0.04543199999999992,0.06814799999999988,False,n.s.
+/+,30,-/-,10,1.399999999995849e-05,4.199999999987547e-05,True,***
+/-,42,-/-,10,0.09705800000000009,0.09705800000000009,False,n.s.
