,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,neg4,2,neg3,2,1.0,1.0,False,n.s.
1,neg4,2,pos3,2,0.025347318677468325,0.030416782412961987,True,*
2,neg4,2,pos4,2,5.2278657832674425e-05,0.0001568359734980233,True,***
3,neg3,2,pos3,2,0.025347318677468325,0.030416782412961987,True,*
4,neg3,2,pos4,2,5.2278657832674425e-05,0.0001568359734980233,True,***
5,pos3,2,pos4,2,0.01907632210177841,0.030416782412961987,True,*
