groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
+/+,9,+/-,18,0.07597399999999999,0.07597399999999999,False,n.s.
+/+,9,-/-,5,0.0036799999999999056,0.011039999999999717,True,*
+/-,18,-/-,5,0.039112000000000036,0.05866800000000005,False,n.s.
