,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,wt_c1,2,mut_c1,2,0.00045435153974275876,0.0011358788493568968,True,**
1,wt_c2,2,mut_c2,2,0.031569187578855566,0.052615312631425944,False,n.s.
2,wt_c3,2,mut_c3,2,1.0,1.0,False,n.s.
3,wt_c4,2,mut_c4,2,0.047348819842152834,0.05918602480269104,False,n.s.
4,wt_c13,2,mut_c13,2,8.779085317428935e-05,0.00043895426587144674,True,***
