groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
+/+_male,3,+/-_male,3,3.205253459398971e-05,0.0001923152075639383,True,***
+/+_male,3,-/-_male,3,0.0002116405859542062,0.0004232811719084124,True,***
+/-_male,3,-/-_male,3,0.02844100489917924,0.04266150734876886,True,*
+/+_female,3,+/-_female,3,0.08162692894208294,0.09698331108984437,False,n.s.
+/+_female,3,-/-_female,3,0.00016075425900002546,0.0004232811719084124,True,***
+/-_female,3,-/-_female,3,0.09698331108984437,0.09698331108984437,False,n.s.
