,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,wt_c1,2,mut_c1,2,0.00022577679986864806,0.0009031071994745922,True,***
1,wt_c2,2,mut_c2,2,0.01668192193051958,0.02224256257402611,True,*
2,wt_c3,2,mut_c3,2,0.04271864493159508,0.04271864493159508,True,*
3,wt_c4,2,mut_c4,2,0.009098717724286772,0.018197435448573544,True,*
