groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
ER,200,CI+MK,200,0.0002,0.00022222222222222223,True,***
ER,200,MK,200,0.0002,0.00022222222222222223,True,***
ER,200,CI,200,0.0005999999999999339,0.0006605504587155236,True,***
no,200,IE,200,0.0002,0.00022222222222222223,True,***
no,200,CI+IE,200,0.0002,0.00022222222222222223,True,***
no,200,CI+ER+IE,200,0.0002,0.00022222222222222223,True,***
no,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
no,200,CI+MK+IE,200,0.0002,0.00022222222222222223,True,***
no,200,CI+MK,200,0.0002,0.00022222222222222223,True,***
no,200,MK,200,0.0002,0.00022222222222222223,True,***
no,200,CI,200,0.0002,0.00022222222222222223,True,***
IE,200,CI+IE,200,0.0002,0.00022222222222222223,True,***
IE,200,CI+ER+IE,200,0.0002,0.00022222222222222223,True,***
IE,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
IE,200,CI+MK+IE,200,0.0002,0.00022222222222222223,True,***
IE,200,CI+MK,200,0.0002,0.00022222222222222223,True,***
IE,200,MK,200,0.0002,0.00022222222222222223,True,***
IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+IE,200,CI+ER+IE,200,0.0002,0.00022222222222222223,True,***
CI+IE,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
CI+IE,200,CI+MK+IE,200,0.0002,0.00022222222222222223,True,***
CI+IE,200,CI+MK,200,0.0002,0.00022222222222222223,True,***
CI+IE,200,MK,200,0.0002,0.00022222222222222223,True,***
CI+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+ER+IE,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
CI+ER+IE,200,CI+MK+IE,200,0.0002,0.00022222222222222223,True,***
CI+ER+IE,200,CI+MK,200,0.2449,0.24905084745762715,False,n.s.
CI+ER+IE,200,MK,200,0.33089999999999997,0.3336806722689075,False,n.s.
CI+ER+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER+IE,200,CI+MK+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER+IE,200,CI+MK,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER+IE,200,MK,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+IE,200,CI+MK,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+IE,200,MK,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK,200,MK,200,0.05820000000000003,0.059692307692307725,False,n.s.
CI+MK,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
MK,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
