,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,35,2,H,2,0.039655725624926697,0.059483588437390045,False,n.s.
1,35,2,4,2,0.06028917399060221,0.06028917399060221,False,n.s.
2,H,2,4,2,8.100782889499437e-05,0.00024302348668498312,True,***
