groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
13V,129,15V,177,0.4871,0.5845199999999999,False,n.s.
13V,129,3V,181,0.01110000000000011,0.03330000000000033,True,*
13V,129,12V,37,0.3792,0.5688,False,n.s.
15V,177,3V,181,0.00039999999999995595,0.0023999999999997357,True,**
15V,177,12V,37,0.37205,0.5688,False,n.s.
3V,181,12V,37,0.63105,0.63105,False,n.s.
