groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
male_1.0,25,female_1.0,27,0.2663,0.4990125,False,n.s.
male_18.8,22,female_18.8,27,0.28515,0.4990125,False,n.s.
female_6.0,105,male_6.0,102,0.8367,0.8367,False,n.s.
female_15.0,22,male_15.0,19,0.4831000000000001,0.67634,False,n.s.
female_12.0,26,male_12.0,24,0.2738,0.4990125,False,n.s.
male_4.0,101,female_4.0,105,0.09729999999999994,0.4990125,False,n.s.
male_8.0,100,female_8.0,102,0.6583,0.7680166666666667,False,n.s.
