mechanic,replicate,time_to_fixation
ER,61,
ER,62,6.0
ER,63,6.0
ER,64,9.0
ER,65,
ER,66,13.0
ER,67,10.0
ER,68,9.0
ER,69,9.0
ER,70,9.0
ER,71,
ER,72,6.0
ER,73,
ER,74,12.0
ER,75,6.0
ER,76,9.0
ER,77,8.0
ER,78,6.0
ER,79,10.0
ER,80,13.0
ER,81,4.0
ER,82,
ER,83,
ER,84,
ER,85,
ER,86,11.0
ER,87,9.0
ER,88,13.0
ER,89,13.0
ER,90,13.0
ER,91,12.0
ER,92,9.0
ER,93,13.0
ER,94,9.0
ER,95,
ER,96,10.0
ER,97,6.0
ER,98,11.0
ER,99,12.0
ER,100,7.0
ER,101,9.0
ER,102,8.0
ER,103,
ER,104,6.0
ER,105,
ER,106,
ER,107,
ER,108,6.0
ER,109,8.0
ER,110,7.0
ER,111,7.0
ER,112,6.0
ER,113,6.0
ER,114,11.0
ER,115,7.0
ER,116,7.0
ER,117,
ER,118,
ER,119,6.0
ER,120,13.0
ER,121,12.0
ER,122,7.0
ER,123,
ER,124,
ER,125,8.0
ER,126,7.0
ER,127,11.0
ER,128,
ER,129,9.0
ER,130,
ER,131,
ER,132,6.0
ER,133,
ER,134,10.0
ER,135,4.0
ER,136,10.0
ER,137,
ER,138,12.0
ER,139,9.0
ER,140,9.0
ER,141,11.0
ER,142,
ER,143,12.0
ER,144,8.0
ER,145,9.0
ER,146,
ER,147,
ER,148,7.0
ER,149,11.0
ER,150,11.0
ER,151,4.0
ER,152,12.0
ER,153,9.0
ER,154,8.0
ER,155,9.0
ER,156,9.0
ER,157,10.0
ER,158,12.0
ER,159,11.0
ER,160,
ER,161,
ER,162,13.0
ER,163,6.0
ER,164,
ER,165,4.0
ER,166,11.0
ER,167,8.0
ER,168,7.0
ER,169,6.0
ER,170,12.0
ER,171,
ER,172,6.0
ER,173,10.0
ER,174,7.0
ER,175,9.0
ER,176,9.0
ER,177,10.0
ER,178,10.0
ER,179,
ER,180,9.0
ER,181,7.0
ER,182,10.0
ER,183,9.0
ER,184,
ER,185,8.0
ER,186,12.0
ER,187,12.0
ER,188,8.0
ER,189,10.0
ER,190,11.0
ER,191,13.0
ER,192,7.0
ER,193,11.0
ER,194,
ER,195,12.0
ER,196,
ER,197,7.0
ER,198,
ER,199,10.0
ER+IE,0,7.0
ER+IE,1,8.0
ER+IE,2,7.0
ER+IE,3,13.0
ER+IE,4,5.0
ER+IE,5,6.0
ER+IE,6,8.0
ER+IE,7,4.0
ER+IE,8,7.0
ER+IE,9,11.0
ER+IE,10,6.0
ER+IE,11,7.0
ER+IE,12,6.0
ER+IE,13,6.0
ER+IE,14,7.0
ER+IE,15,9.0
ER+IE,16,6.0
ER+IE,17,10.0
ER+IE,18,11.0
ER+IE,19,9.0
ER+IE,20,5.0
ER+IE,21,4.0
ER+IE,22,7.0
ER+IE,23,6.0
ER+IE,24,11.0
ER+IE,25,8.0
ER+IE,26,9.0
ER+IE,27,6.0
ER+IE,28,4.0
ER+IE,29,6.0
ER+IE,30,7.0
ER+IE,31,7.0
ER+IE,32,8.0
ER+IE,33,7.0
ER+IE,34,5.0
ER+IE,35,11.0
ER+IE,36,6.0
ER+IE,37,7.0
ER+IE,38,6.0
ER+IE,39,7.0
ER+IE,40,4.0
ER+IE,41,7.0
ER+IE,42,8.0
ER+IE,43,6.0
ER+IE,44,10.0
ER+IE,45,5.0
ER+IE,46,7.0
ER+IE,47,5.0
ER+IE,48,7.0
ER+IE,49,9.0
ER+IE,50,7.0
ER+IE,51,4.0
ER+IE,52,3.0
ER+IE,53,6.0
ER+IE,54,6.0
ER+IE,55,13.0
ER+IE,56,9.0
ER+IE,57,10.0
ER+IE,58,8.0
ER+IE,59,5.0
ER+IE,60,11.0
ER+IE,61,11.0
ER+IE,62,9.0
ER+IE,63,6.0
ER+IE,64,10.0
ER+IE,65,9.0
ER+IE,66,4.0
ER+IE,67,5.0
ER+IE,68,8.0
ER+IE,69,7.0
ER+IE,70,9.0
ER+IE,71,12.0
ER+IE,72,5.0
ER+IE,73,11.0
ER+IE,74,5.0
ER+IE,75,9.0
ER+IE,76,6.0
ER+IE,77,5.0
ER+IE,78,6.0
ER+IE,79,6.0
ER+IE,80,3.0
ER+IE,81,5.0
ER+IE,82,13.0
ER+IE,83,8.0
ER+IE,84,8.0
ER+IE,85,10.0
ER+IE,86,9.0
ER+IE,87,7.0
ER+IE,88,4.0
ER+IE,89,9.0
ER+IE,90,6.0
ER+IE,91,5.0
ER+IE,92,6.0
ER+IE,93,10.0
ER+IE,94,7.0
ER+IE,95,4.0
ER+IE,96,6.0
ER+IE,97,11.0
ER+IE,98,7.0
ER+IE,99,3.0
ER+IE,100,8.0
ER+IE,101,7.0
ER+IE,102,7.0
ER+IE,103,9.0
ER+IE,104,7.0
ER+IE,105,9.0
ER+IE,106,8.0
ER+IE,107,10.0
ER+IE,108,4.0
ER+IE,109,6.0
ER+IE,110,4.0
ER+IE,111,6.0
ER+IE,112,10.0
ER+IE,113,9.0
ER+IE,114,6.0
ER+IE,115,8.0
ER+IE,116,8.0
ER+IE,117,6.0
ER+IE,118,6.0
ER+IE,119,7.0
ER+IE,120,8.0
ER+IE,121,9.0
ER+IE,122,6.0
ER+IE,123,8.0
ER+IE,124,9.0
ER+IE,125,7.0
ER+IE,126,7.0
ER+IE,127,8.0
ER+IE,128,8.0
ER+IE,129,8.0
ER+IE,130,6.0
ER+IE,131,5.0
ER+IE,132,7.0
ER+IE,133,6.0
ER+IE,134,6.0
ER+IE,135,7.0
ER+IE,136,5.0
ER+IE,137,7.0
ER+IE,138,4.0
ER+IE,139,8.0
ER+IE,140,6.0
ER+IE,141,6.0
ER+IE,142,6.0
ER+IE,143,5.0
ER+IE,144,7.0
ER+IE,145,6.0
ER+IE,146,9.0
ER+IE,147,5.0
ER+IE,148,8.0
ER+IE,149,6.0
ER+IE,150,5.0
ER+IE,151,7.0
ER+IE,152,9.0
ER+IE,153,8.0
ER+IE,154,9.0
ER+IE,155,4.0
ER+IE,156,4.0
ER+IE,157,6.0
ER+IE,158,4.0
ER+IE,159,5.0
ER+IE,160,9.0
ER+IE,161,7.0
ER+IE,162,5.0
ER+IE,163,5.0
ER+IE,164,9.0
ER+IE,165,10.0
ER+IE,166,5.0
ER+IE,167,6.0
ER+IE,168,6.0
ER+IE,169,4.0
ER+IE,170,7.0
ER+IE,171,6.0
ER+IE,172,
ER+IE,173,4.0
ER+IE,174,7.0
ER+IE,175,8.0
ER+IE,176,5.0
ER+IE,177,4.0
ER+IE,178,6.0
ER+IE,179,9.0
ER+IE,180,10.0
ER+IE,181,5.0
ER+IE,182,5.0
ER+IE,183,7.0
ER+IE,184,5.0
ER+IE,185,8.0
ER+IE,186,6.0
ER+IE,187,6.0
ER+IE,188,9.0
ER+IE,189,5.0
ER+IE,190,9.0
ER+IE,191,4.0
ER+IE,192,6.0
ER+IE,193,7.0
ER+IE,194,7.0
ER+IE,195,4.0
ER+IE,196,5.0
ER+IE,197,7.0
ER+IE,198,8.0
ER+IE,199,5.0
MK,0,7.0
MK,1,7.0
MK,2,9.0
MK,3,12.0
MK,4,13.0
MK,5,7.0
MK,6,7.0
MK,7,10.0
MK,8,6.0
MK,9,6.0
MK,10,11.0
MK,11,7.0
MK,12,9.0
MK,13,7.0
MK,14,4.0
MK,15,8.0
MK,16,6.0
MK,17,6.0
MK,18,9.0
MK,19,7.0
MK,20,8.0
MK,21,6.0
MK,22,9.0
MK,23,9.0
MK,24,6.0
MK,25,
MK,26,9.0
MK,27,9.0
MK,28,7.0
MK,29,
MK,30,6.0
MK,31,6.0
MK,32,8.0
MK,33,8.0
MK,34,12.0
MK,35,8.0
MK,36,6.0
MK,37,10.0
MK,38,5.0
MK,39,9.0
MK,40,6.0
MK,41,6.0
MK,42,11.0
MK,43,
MK,44,11.0
MK,45,8.0
MK,46,5.0
MK,47,11.0
MK,48,8.0
MK,49,6.0
MK,50,6.0
MK,51,11.0
MK,52,11.0
MK,53,10.0
MK,54,9.0
MK,55,7.0
MK,56,6.0
MK,57,9.0
MK,58,6.0
MK,59,8.0
MK,60,6.0
MK,61,11.0
MK,62,7.0
MK,63,6.0
MK,64,5.0
MK,65,8.0
MK,66,12.0
MK,67,8.0
MK,68,13.0
