mechanic,replicate,final_infection_rate
IE,175,1.0
IE,176,1.0
IE,177,1.0
IE,178,0.94
IE,179,1.0
IE,180,1.0
IE,181,1.0
IE,182,1.0
IE,183,1.0
IE,184,1.0
IE,185,0.9
IE,186,0.88
IE,187,1.0
IE,188,0.76
IE,189,0.9
IE,190,1.0
IE,191,1.0
IE,192,0.9
IE,193,1.0
IE,194,1.0
IE,195,0.8
IE,196,0.7
IE,197,1.0
IE,198,0.88
IE,199,1.0
ER,0,0.72
ER,1,0.96
ER,2,0.78
ER,3,1.0
ER,4,1.0
ER,5,0.86
ER,6,1.0
ER,7,1.0
ER,8,1.0
ER,9,0.94
ER,10,0.96
ER,11,0.82
ER,12,1.0
ER,13,1.0
ER,14,1.0
ER,15,1.0
ER,16,1.0
ER,17,1.0
ER,18,1.0
ER,19,0.94
ER,20,1.0
ER,21,1.0
ER,22,1.0
ER,23,1.0
ER,24,1.0
ER,25,1.0
ER,26,1.0
ER,27,1.0
ER,28,1.0
ER,29,0.78
ER,30,1.0
ER,31,0.82
ER,32,1.0
ER,33,1.0
ER,34,1.0
ER,35,1.0
ER,36,1.0
ER,37,1.0
ER,38,1.0
ER,39,1.0
ER,40,0.94
ER,41,1.0
ER,42,1.0
ER,43,1.0
ER,44,1.0
ER,45,1.0
ER,46,1.0
ER,47,1.0
ER,48,1.0
ER,49,1.0
ER,50,1.0
ER,51,1.0
ER,52,1.0
ER,53,1.0
ER,54,1.0
ER,55,1.0
ER,56,1.0
ER,57,0.74
ER,58,1.0
ER,59,1.0
ER,60,1.0
ER,61,0.94
ER,62,1.0
ER,63,1.0
ER,64,1.0
ER,65,0.96
ER,66,1.0
ER,67,1.0
ER,68,1.0
ER,69,1.0
ER,70,1.0
ER,71,0.96
ER,72,1.0
ER,73,0.9
ER,74,1.0
ER,75,1.0
ER,76,1.0
ER,77,1.0
ER,78,1.0
ER,79,1.0
ER,80,1.0
ER,81,1.0
ER,82,0.96
ER,83,0.82
ER,84,0.92
ER,85,0.9
ER,86,1.0
ER,87,1.0
ER,88,1.0
ER,89,1.0
ER,90,1.0
ER,91,1.0
ER,92,1.0
ER,93,1.0
ER,94,1.0
ER,95,0.9
ER,96,1.0
ER,97,1.0
ER,98,1.0
ER,99,1.0
ER,100,1.0
ER,101,1.0
ER,102,1.0
ER,103,0.84
ER,104,1.0
ER,105,0.86
ER,106,0.9
ER,107,0.94
ER,108,1.0
ER,109,1.0
ER,110,1.0
ER,111,1.0
ER,112,1.0
ER,113,1.0
ER,114,1.0
ER,115,1.0
ER,116,1.0
ER,117,0.9
ER,118,0.78
ER,119,1.0
ER,120,1.0
ER,121,1.0
ER,122,1.0
ER,123,0.86
ER,124,0.84
ER,125,1.0
ER,126,1.0
ER,127,1.0
ER,128,0.78
ER,129,1.0
ER,130,0.9
ER,131,0.96
ER,132,1.0
ER,133,0.98
ER,134,1.0
ER,135,1.0
ER,136,1.0
ER,137,0.96
ER,138,1.0
ER,139,1.0
ER,140,1.0
ER,141,1.0
ER,142,0.8
ER,143,1.0
ER,144,1.0
ER,145,1.0
ER,146,0.8
ER,147,0.6
ER,148,1.0
ER,149,1.0
ER,150,1.0
ER,151,1.0
ER,152,1.0
ER,153,1.0
ER,154,1.0
ER,155,1.0
ER,156,1.0
ER,157,1.0
ER,158,1.0
ER,159,1.0
ER,160,0.86
ER,161,0.92
ER,162,1.0
ER,163,1.0
ER,164,0.84
ER,165,1.0
ER,166,1.0
ER,167,1.0
ER,168,1.0
ER,169,1.0
ER,170,1.0
ER,171,0.8
ER,172,1.0
ER,173,1.0
ER,174,1.0
ER,175,1.0
ER,176,1.0
ER,177,1.0
ER,178,1.0
ER,179,0.58
ER,180,1.0
ER,181,1.0
ER,182,1.0
ER,183,1.0
ER,184,0.92
ER,185,1.0
ER,186,1.0
ER,187,1.0
ER,188,1.0
ER,189,1.0
ER,190,1.0
ER,191,1.0
ER,192,1.0
ER,193,1.0
ER,194,0.94
ER,195,1.0
ER,196,0.92
ER,197,1.0
ER,198,0.96
ER,199,1.0
ER+IE,0,1.0
ER+IE,1,1.0
ER+IE,2,1.0
ER+IE,3,1.0
ER+IE,4,1.0
ER+IE,5,1.0
ER+IE,6,1.0
ER+IE,7,1.0
ER+IE,8,1.0
ER+IE,9,1.0
ER+IE,10,1.0
ER+IE,11,1.0
ER+IE,12,1.0
ER+IE,13,1.0
ER+IE,14,1.0
ER+IE,15,1.0
ER+IE,16,1.0
ER+IE,17,1.0
ER+IE,18,1.0
ER+IE,19,1.0
ER+IE,20,1.0
ER+IE,21,1.0
ER+IE,22,1.0
ER+IE,23,1.0
ER+IE,24,1.0
ER+IE,25,1.0
ER+IE,26,1.0
ER+IE,27,1.0
ER+IE,28,1.0
ER+IE,29,1.0
ER+IE,30,1.0
ER+IE,31,1.0
ER+IE,32,1.0
ER+IE,33,1.0
ER+IE,34,1.0
ER+IE,35,1.0
ER+IE,36,1.0
ER+IE,37,1.0
ER+IE,38,1.0
ER+IE,39,1.0
ER+IE,40,1.0
ER+IE,41,1.0
ER+IE,42,1.0
ER+IE,43,1.0
ER+IE,44,1.0
ER+IE,45,1.0
ER+IE,46,1.0
ER+IE,47,1.0
ER+IE,48,1.0
ER+IE,49,1.0
ER+IE,50,1.0
ER+IE,51,1.0
ER+IE,52,1.0
ER+IE,53,1.0
ER+IE,54,1.0
ER+IE,55,1.0
ER+IE,56,1.0
ER+IE,57,1.0
ER+IE,58,1.0
ER+IE,59,1.0
ER+IE,60,1.0
ER+IE,61,1.0
ER+IE,62,1.0
ER+IE,63,1.0
ER+IE,64,1.0
ER+IE,65,1.0
ER+IE,66,1.0
ER+IE,67,1.0
ER+IE,68,1.0
ER+IE,69,1.0
ER+IE,70,1.0
ER+IE,71,1.0
ER+IE,72,1.0
ER+IE,73,1.0
ER+IE,74,1.0
ER+IE,75,1.0
ER+IE,76,1.0
ER+IE,77,1.0
ER+IE,78,1.0
ER+IE,79,1.0
ER+IE,80,1.0
ER+IE,81,1.0
ER+IE,82,1.0
ER+IE,83,1.0
ER+IE,84,1.0
ER+IE,85,1.0
ER+IE,86,1.0
ER+IE,87,1.0
ER+IE,88,1.0
ER+IE,89,1.0
ER+IE,90,1.0
ER+IE,91,1.0
ER+IE,92,1.0
ER+IE,93,1.0
ER+IE,94,1.0
ER+IE,95,1.0
ER+IE,96,1.0
ER+IE,97,1.0
ER+IE,98,1.0
ER+IE,99,1.0
ER+IE,100,1.0
ER+IE,101,1.0
ER+IE,102,1.0
ER+IE,103,1.0
ER+IE,104,1.0
ER+IE,105,1.0
ER+IE,106,1.0
ER+IE,107,1.0
ER+IE,108,1.0
ER+IE,109,1.0
ER+IE,110,1.0
ER+IE,111,1.0
ER+IE,112,1.0
ER+IE,113,1.0
ER+IE,114,1.0
ER+IE,115,1.0
ER+IE,116,1.0
ER+IE,117,1.0
ER+IE,118,1.0
ER+IE,119,1.0
ER+IE,120,1.0
ER+IE,121,1.0
ER+IE,122,1.0
ER+IE,123,1.0
ER+IE,124,1.0
ER+IE,125,1.0
ER+IE,126,1.0
ER+IE,127,1.0
ER+IE,128,1.0
ER+IE,129,1.0
ER+IE,130,1.0
ER+IE,131,1.0
ER+IE,132,1.0
ER+IE,133,1.0
ER+IE,134,1.0
ER+IE,135,1.0
ER+IE,136,1.0
ER+IE,137,1.0
ER+IE,138,1.0
ER+IE,139,1.0
ER+IE,140,1.0
ER+IE,141,1.0
ER+IE,142,1.0
ER+IE,143,1.0
ER+IE,144,1.0
ER+IE,145,1.0
ER+IE,146,1.0
ER+IE,147,1.0
ER+IE,148,1.0
ER+IE,149,1.0
ER+IE,150,1.0
ER+IE,151,1.0
ER+IE,152,1.0
