mechanic,replicate,final_infected_count
ER,23,12477
ER,24,11599
ER,25,9068
ER,26,10797
ER,27,13408
ER,28,12211
ER,29,12270
ER,30,9380
ER,31,9889
ER,32,14665
ER,33,9862
ER,34,10778
ER,35,12350
ER,36,12460
ER,37,11037
ER,38,11933
ER,39,12440
ER,40,13503
ER,41,10356
ER,42,7950
ER,43,12766
ER,44,14982
ER,45,12120
ER,46,9100
ER,47,12580
ER,48,12802
ER,49,11664
ER,50,11707
ER,51,12967
ER,52,13038
ER,53,12312
ER,54,12230
ER,55,12102
ER,56,13100
ER,57,9918
ER,58,13038
ER,59,12661
ER,60,11838
ER,61,11396
ER,62,12661
ER,63,11766
ER,64,12966
ER,65,13611
ER,66,13016
ER,67,12341
ER,68,9823
ER,69,10601
ER,70,10963
ER,71,10968
ER,72,15359
ER,73,11605
ER,74,14424
ER,75,14052
ER,76,12654
ER,77,10162
ER,78,11660
ER,79,9752
ER,80,10448
ER,81,11297
ER,82,14024
ER,83,10198
ER,84,10226
ER,85,10770
ER,86,10762
ER,87,11015
ER,88,13719
ER,89,9917
ER,90,11217
ER,91,12124
ER,92,12281
ER,93,12853
ER,94,12277
ER,95,12539
ER,96,13284
ER,97,10583
ER,98,10507
ER,99,11940
ER,100,11438
ER,101,11594
ER,102,11960
ER,103,12821
ER,104,10368
ER,105,11710
ER,106,12375
ER,107,9449
ER,108,13660
ER,109,12215
ER,110,12607
ER,111,12905
ER,112,10718
ER,113,14273
ER,114,13950
ER,115,12994
ER,116,13159
ER,117,13548
ER,118,14552
ER,119,14503
ER,120,12042
ER,121,11712
ER,122,9148
ER,123,10016
ER,124,11746
ER,125,14404
ER,126,10340
ER,127,13274
ER,128,12707
ER,129,10424
ER,130,8633
ER,131,11474
ER,132,10422
ER,133,14000
ER,134,10275
ER,135,11020
ER,136,11413
ER,137,13042
ER,138,11686
ER,139,13213
ER,140,11877
ER,141,11529
ER,142,11007
ER,143,14310
ER,144,15076
ER,145,12386
ER,146,10878
ER,147,9099
ER,148,12335
ER,149,9810
ER,150,13095
ER,151,13360
ER,152,11142
ER,153,12171
ER,154,12333
ER,155,10808
ER,156,9596
ER,157,11992
ER,158,9920
ER,159,11538
ER,160,11683
ER,161,11052
ER,162,13594
ER,163,9234
ER,164,13263
ER,165,11381
ER,166,12918
ER,167,10737
ER,168,11573
ER,169,12392
ER,170,11927
ER,171,12356
ER,172,10968
ER,173,10707
ER,174,9609
ER,175,11649
ER,176,13090
ER,177,11863
ER,178,9760
ER,179,14381
ER,180,11571
ER,181,11266
ER,182,12675
ER,183,12002
ER,184,13096
ER,185,12565
ER,186,14394
ER,187,11714
ER,188,12487
ER,189,12123
ER,190,11960
ER,191,11394
ER,192,10213
ER,193,11892
ER,194,12194
ER,195,9820
ER,196,12889
ER,197,13331
ER,198,9845
ER,199,11883
ER+IE,0,15047
ER+IE,1,14411
ER+IE,2,14386
ER+IE,3,15409
ER+IE,4,13474
ER+IE,5,14109
ER+IE,6,14860
ER+IE,7,12926
ER+IE,8,16124
ER+IE,9,15185
ER+IE,10,15401
ER+IE,11,15354
ER+IE,12,13681
ER+IE,13,16580
ER+IE,14,16114
ER+IE,15,15005
ER+IE,16,15844
ER+IE,17,16423
ER+IE,18,16236
ER+IE,19,16581
ER+IE,20,14236
ER+IE,21,14264
ER+IE,22,12195
ER+IE,23,12756
ER+IE,24,14543
ER+IE,25,16355
ER+IE,26,13789
ER+IE,27,15996
ER+IE,28,15145
ER+IE,29,13647
ER+IE,30,11770
ER+IE,31,14101
ER+IE,32,13748
ER+IE,33,16120
ER+IE,34,13447
ER+IE,35,13995
ER+IE,36,14016
ER+IE,37,15272
ER+IE,38,14658
ER+IE,39,15281
ER+IE,40,14607
ER+IE,41,13947
ER+IE,42,13837
ER+IE,43,16413
ER+IE,44,17096
ER+IE,45,15322
ER+IE,46,13799
