mechanic,final_infected_count
IE,12816
IE,15054
IE,14451
IE,13288
IE,14195
IE,13427
IE,11551
IE,13458
IE,15211
IE,12916
IE,12849
IE,13139
IE,12423
IE,11060
IE,11631
IE,8713
IE,12162
IE,10177
IE,13742
IE,15443
IE,11407
IE,12571
IE,11075
IE,11351
IE,11627
IE,9769
IE,14200
IE,14127
IE,12636
IE,13003
IE,12753
IE,13285
IE,9269
IE,14621
IE,14984
IE,13862
MK,14936
MK,16212
MK,16116
MK,14817
MK,15529
MK,16474
MK,15930
MK,17919
MK,14788
MK,16915
MK,16897
MK,14751
MK,14880
MK,16766
MK,11202
MK,15405
MK,15342
MK,12723
MK,16071
MK,15479
MK,15476
MK,13489
MK,17277
MK,15523
MK,14752
MK,16556
MK,17176
MK,16107
MK,14594
MK,15931
MK,15889
MK,16683
MK,15594
MK,14977
MK,15080
MK,15871
MK,14263
MK,16721
MK,15022
MK,15543
MK,15764
MK,15553
MK,14687
MK,16303
MK,13122
MK,17600
MK,15934
MK,16059
MK,15830
MK,13726
MK,14512
MK,16650
MK,15444
MK,15098
MK,15723
MK,15704
MK,16250
MK,16239
MK,17188
MK,14277
MK,16130
MK,15212
MK,16489
MK,9510
MK,15686
MK,16407
MK,15536
MK,17933
MK,16944
MK,16470
MK,15926
MK,15434
MK,15298
MK,15700
MK,14528
MK,13952
MK,15361
MK,15397
MK,15693
MK,16096
MK,15897
MK,15508
MK,16141
MK,16718
MK,15938
MK,14293
MK,16693
MK,14710
MK,15840
MK,16943
MK,11763
MK,17962
MK,15045
MK,14435
MK,13765
MK,15843
MK,16614
MK,15539
MK,16257
MK,17592
MK,16559
MK,16374
MK,17512
MK,14984
MK,17149
MK,16434
MK,16887
MK,14704
MK,15826
MK,15554
MK,17084
MK,16219
MK,16670
MK,13478
MK,16797
MK,13436
MK,17058
MK,15157
MK,16658
MK,17484
MK,16131
MK,16144
MK,15785
MK,14348
MK,16572
MK,15165
MK,16790
MK,15895
MK,16422
MK,14671
MK,14360
MK,13186
MK,13790
MK,14304
MK,15684
MK,12881
MK,15851
MK,16341
MK,16557
MK,13982
MK,15928
MK,14167
MK,15075
MK,13356
MK,14860
MK,15385
MK,15417
MK,15671
MK,16143
MK,15462
MK,15322
MK,16539
MK,15444
MK,16764
MK,14544
MK,16905
MK,16683
MK,16473
MK,15064
MK,15266
MK,15027
MK,13937
MK,14552
MK,15678
MK,16430
MK,17520
MK,15488
MK,18051
MK,17082
MK,14170
MK,17075
MK,16679
MK,12123
MK,13997
MK,14846
MK,14250
MK,15148
MK,15828
MK,13688
MK,14810
MK,16895
MK,16855
MK,15712
MK,15100
MK,16326
MK,16173
MK,15590
MK,17127
MK,15594
MK,14624
MK,15412
MK,16951
MK,17870
MK,18139
MK,14405
MK,17075
MK,14682
MK,16567
MK,16701
MK,15318
CI,18070
CI,16883
CI,17144
CI,18457
CI,18803
CI,16189
CI,16669
CI,18640
CI,17526
CI,15494
CI,19193
CI,16690
CI,15999
CI,14272
CI,18846
CI,18586
CI,16654
CI,17812
CI,14954
CI,17240
CI,18552
CI,18379
CI,17581
CI,19240
CI,18128
CI,19162
CI,16596
CI,16626
CI,18580
CI,16051
CI,14575
CI,18009
CI,17292
CI,17832
CI,18953
CI,18740
CI,18034
CI,18423
CI,17341
CI,16912
CI,15502
CI,18740
CI,18936
CI,16170
CI,17533
CI,18957
CI,17801
CI,16094
CI,17956
CI,15081
CI,13099
CI,18889
CI,18163
CI,17335
CI,18087
CI,16441
CI,16335
CI,17805
CI,16292
CI,17745
CI,16759
CI,18127
CI,19200
CI,16474
CI,13294
CI,18314
CI,17728
CI,17686
CI,16134
CI,18769
CI,16268
CI,18678
CI,14301
CI,17041
CI,17573
CI,18967
CI,17684
CI,14805
CI,16060
CI,18098
CI,16974
CI,17584
CI,19165
CI,14825
CI,18244
CI,18126
CI,16013
CI,13986
CI,17807
CI,18100
CI,17461
CI,15648
CI,18760
CI,18996
CI,15991
CI,18346
CI,17371
CI,18127
CI,16898
CI,18805
CI,18303
CI,17375
CI,18968
CI,17926
CI,17928
CI,17017
CI,18656
CI,16833
CI,18097
CI,16079
CI,17888
CI,17267
CI,17732
CI,17323
CI,18425
CI,17136
CI,16200
CI,17590
CI,18178
CI,15331
CI,17607
CI,16941
CI,14969
CI,18429
CI,16782
CI,17498
CI,18334
CI,17821
CI,15481
CI,17566
CI,14799
CI,16947
CI,17960
CI,16444
CI,19569
CI,15728
CI,17572
CI,17440
CI,17829
CI,17648
CI,17705
CI,17138
CI,17793
CI,17964
CI,17816
CI,17734
CI,17743
CI,17559
CI,18203
CI,18065
CI,14907
CI,16482
CI,18659
CI,18728
CI,17186
CI,17870
CI,16067
CI,18398
CI,18642
CI,17918
CI,16701
CI,19006
CI,16455
CI,18269
CI,14587
CI,18561
CI,18235
CI,17958
CI,12770
CI,18156
CI,19120
CI,16747
CI,18216
CI,17424
CI,17916
CI,19069
CI,14377
CI,17706
CI,17060
CI,16500
CI,14771
CI,16021
CI,16045
CI,18907
CI,17005
CI,17795
CI,18858
CI,18284
CI,16081
CI,15396
CI,18717
CI,17408
CI,17972
CI,17747
CI,17761
CI,18529
CI,15348
CI,17083
CI,17453
CI,15786
CI+MK+ER+IE,19754
CI+MK+ER+IE,19570
CI+MK+ER+IE,19836
CI+MK+ER+IE,19814
CI+MK+ER+IE,19779
CI+MK+ER+IE,19701
CI+MK+ER+IE,19698
CI+MK+ER+IE,19717
CI+MK+ER+IE,19707
CI+MK+ER+IE,19696
CI+MK+ER+IE,19616
CI+MK+ER+IE,19956
CI+MK+ER+IE,18582
CI+MK+ER+IE,19874
CI+MK+ER+IE,19844
CI+MK+ER+IE,19707
CI+MK+ER+IE,19808
CI+MK+ER+IE,19409
CI+MK+ER+IE,19455
CI+MK+ER+IE,19654
CI+MK+ER+IE,19795
CI+MK+ER+IE,19446
CI+MK+ER+IE,19392
CI+MK+ER+IE,19579
CI+MK+ER+IE,19751
CI+MK+ER+IE,19724
CI+MK+ER+IE,19499
CI+MK+ER+IE,19857
CI+MK+ER+IE,19754
CI+MK+ER+IE,19825
CI+MK+ER+IE,19693
CI+MK+ER+IE,19615
CI+MK+ER+IE,19636
CI+MK+ER+IE,18917
CI+MK+ER+IE,19800
CI+MK+ER+IE,19677
CI+MK+ER+IE,19845
CI+MK+ER+IE,19602
CI+MK+ER+IE,19936
CI+MK+ER+IE,19259
CI+MK+ER+IE,19701
CI+MK+ER+IE,19800
CI+MK+ER+IE,19795
CI+MK+ER+IE,19783
CI+MK+ER+IE,19308
CI+MK+ER+IE,19106
CI+MK+ER+IE,19447
CI+MK+ER+IE,19841
CI+MK+ER+IE,19717
CI+MK+ER+IE,19612
CI+MK+ER+IE,19663
CI+MK+ER+IE,19714
CI+MK+ER+IE,19873
CI+MK+ER+IE,19769
CI+MK+ER+IE,19799
CI+MK+ER+IE,19699
CI+MK+ER+IE,19636
CI+MK+ER+IE,19760
CI+MK+ER+IE,19488
CI+MK+ER+IE,19390
CI+MK+ER+IE,19621
CI+MK+ER+IE,19437
CI+MK+ER+IE,19578
CI+MK+ER+IE,19587
CI+MK+ER+IE,19807
CI+MK+ER+IE,19846
CI+MK+ER+IE,19362
CI+MK+ER+IE,19536
CI+MK+ER+IE,19529
CI+MK+ER+IE,19568
CI+MK+ER+IE,19728
CI+MK+ER+IE,19513
CI+MK+ER+IE,19667
CI+MK+ER+IE,19742
CI+MK+ER+IE,19876
CI+MK+ER+IE,19642
CI+MK+ER+IE,19867
CI+MK+ER+IE,19777
CI+MK+ER+IE,19629
CI+MK+ER+IE,19779
CI+MK+ER+IE,19462
CI+MK+ER+IE,19346
CI+MK+ER+IE,19707
CI+MK+ER+IE,19468
CI+MK+ER+IE,19777
CI+MK+ER+IE,19564
CI+MK+ER+IE,19670
CI+MK+ER+IE,19814
CI+MK+ER+IE,19644
CI+MK+ER+IE,19345
CI+MK+ER+IE,19749
CI+MK+ER+IE,19535
CI+MK+ER+IE,19400
CI+MK+ER+IE,19678
CI+MK+ER+IE,19761
CI+MK+ER+IE,19489
CI+MK+ER+IE,19530
CI+MK+ER+IE,19825
CI+MK+ER+IE,19742
CI+MK+ER+IE,19774
CI+MK+ER+IE,19298
CI+MK+ER+IE,19252
CI+MK+ER+IE,19818
CI+MK+ER+IE,19274
CI+MK+ER+IE,19869
CI+MK+ER+IE,19708
CI+MK+ER+IE,19488
CI+MK+ER+IE,19642
CI+MK+ER+IE,19818
CI+MK+ER+IE,19673
CI+MK+ER+IE,19628
CI+MK+ER+IE,19670
CI+MK+ER+IE,19480
CI+MK+ER+IE,19677
CI+MK+ER+IE,19851
CI+MK+ER+IE,19708
CI+MK+ER+IE,19691
CI+MK+ER+IE,19782
CI+MK+ER+IE,19489
CI+MK+ER+IE,19711
CI+MK+ER+IE,19546
CI+MK+ER+IE,19547
CI+MK+ER+IE,19110
CI+MK+ER+IE,19729
CI+MK+ER+IE,19841
CI+MK+ER+IE,19770
