mechanic,replicate,final_infection_rate
IE,138,0.690568
IE,139,0.656039
IE,140,0.685935
IE,141,0.615288
IE,142,0.631452
IE,143,0.676811
IE,144,0.710603
IE,145,0.744331
IE,146,0.511174
IE,147,0.607695
IE,148,0.661644
IE,149,0.710769
IE,150,0.559755
IE,151,0.602887
IE,152,0.792881
IE,153,0.67263
IE,154,0.575674
IE,155,0.76228
IE,156,0.655439
IE,157,0.732932
IE,158,0.688539
IE,159,0.763137
IE,160,0.601521
IE,161,0.7134
IE,162,0.610092
IE,163,0.61194
IE,164,0.641988
IE,165,0.754738
IE,166,0.723998
IE,167,0.6666
IE,168,0.710852
IE,169,0.672999
IE,170,0.580949
IE,171,0.675433
IE,172,0.760664
IE,173,0.649567
IE,174,0.644319
IE,175,0.659588
IE,176,0.624146
IE,177,0.55617
IE,178,0.584296
IE,179,0.438854
IE,180,0.611986
IE,181,0.512282
IE,182,0.691352
IE,183,0.773659
IE,184,0.572727
IE,185,0.630694
IE,186,0.557935
IE,187,0.57023
IE,188,0.584301
IE,189,0.491621
IE,190,0.712708
IE,191,0.70876
IE,192,0.632686
IE,193,0.651094
IE,194,0.641822
IE,195,0.664749
IE,196,0.467211
IE,197,0.732552
IE,198,0.753268
IE,199,0.69529
ER,0,0.612764
ER,1,0.773258
ER,2,0.493425
ER,3,0.580275
ER,4,0.624626
ER,5,0.555324
ER,6,0.536595
ER,7,0.704787
ER,8,0.629339
ER,9,0.499341
ER,10,0.635373
ER,11,0.721251
ER,12,0.508165
ER,13,0.676805
ER,14,0.603015
ER,15,0.608463
ER,16,0.676142
ER,17,0.718627
ER,18,0.669526
ER,19,0.495409
ER,20,0.539381
ER,21,0.719398
ER,22,0.695551
ER,23,0.636874
ER,24,0.588632
ER,25,0.460048
ER,26,0.548043
ER,27,0.681059
ER,28,0.619376
ER,29,0.621738
ER,30,0.475129
ER,31,0.501115
ER,32,0.745779
ER,33,0.500381
ER,34,0.548108
ER,35,0.626172
ER,36,0.629388
ER,37,0.559147
ER,38,0.603744
ER,39,0.631184
ER,40,0.685188
ER,41,0.527748
ER,42,0.404189
ER,43,0.646249
ER,44,0.757892
ER,45,0.613329
ER,46,0.460759
ER,47,0.637737
ER,48,0.651369
ER,49,0.590852
ER,50,0.593601
ER,51,0.656059
ER,52,0.659684
ER,53,0.623771
ER,54,0.621096
ER,55,0.612294
ER,56,0.665786
ER,57,0.500985
ER,58,0.660553
ER,59,0.641193
ER,60,0.597879
ER,61,0.577744
ER,62,0.643965
ER,63,0.594092
ER,64,0.657472
ER,65,0.689933
ER,66,0.659639
ER,67,0.624355
ER,68,0.499035
ER,69,0.537876
ER,70,0.556441
ER,71,0.557969
ER,72,0.778025
ER,73,0.590135
ER,74,0.729369
ER,75,0.715406
ER,76,0.637224
ER,77,0.514115
ER,78,0.594595
ER,79,0.494699
ER,80,0.529361
ER,81,0.573743
ER,82,0.709393
ER,83,0.517429
ER,84,0.517118
ER,85,0.548119
ER,86,0.54735
ER,87,0.560389
ER,88,0.695408
ER,89,0.503733
ER,90,0.570056
ER,91,0.615275
ER,92,0.624892
ER,93,0.65062
ER,94,0.624593
ER,95,0.635369
ER,96,0.674794
ER,97,0.536663
ER,98,0.533648
ER,99,0.606522
ER,100,0.582413
ER,101,0.589096
ER,102,0.606552
ER,103,0.652037
ER,104,0.525974
ER,105,0.595172
ER,106,0.627472
ER,107,0.479328
ER,108,0.694741
ER,109,0.618262
ER,110,0.638297
ER,111,0.654113
ER,112,0.544171
ER,113,0.72614
