genotype,sex,animalNo,expType,birthDate,fps,traceLenFrame,traceLenSec,inZoneFraction,inZoneDuration,inZoneMedDiverg_Deg,path2_inZoneBendability,path2_midLineUniform_mm,path2_midLineUniform_pix,path2_head_mm,path2_tail_mm,path2_probDensity,path2_smr,path2_s2r,path2_seq,path2_csv,path2_mat,path2_anaMat,avi,latency_to_m_cell,latency_to_others,m_cell_spikes,median_spike_instFreq_Hz,other_spikes,path2_spike_train_df,path2_trace_mm
rei-HT,F,4,c-start,08-2019,924.0,4620,5.0,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_4_ID#1109/midLineUniform_pix.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_4_ID#1109/head_mm.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_4_ID#1109/tail_mm.csv,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie68/HtF4.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie68/HtF4.S2R,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie68/HtF4_box.csv,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie68/C_START_rei_11_2018_HtF4_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie68/C_START_rei_11_2018_HtF4_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie68/HtF4.avi,0.023606999999999934,0.020060999999999884,45.0,649.7725795972528,838.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_4_ID#1109/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_4_ID#1109/trace_mm.csv
rei-HT,F,12,c-start,08-2019,924.0,4620,5.0,,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_12_ID#1110/head_mm.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_12_ID#1110/tail_mm.csv,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie76/HtF12.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie76/HtF12.S2R,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie76/HtF12_box.csv,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie76/C_START_rei_11_2018_HtF12_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie76/C_START_rei_11_2018_HtF12_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie76/HtF12.avi,0.031058999999999948,0.02623500000000001,41.0,477.8994622860123,573.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_12_ID#1110/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_12_ID#1110/trace_mm.csv
rei-HT,F,47,c-start,08-2019,923.0,4615,5.0,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_47_ID#1111/midLineUniform_pix.csv,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie56/rei_cstHtF47_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie56/rei_cstHtF47_06-2020.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie56/rei_cstHtF47_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie56/rei_cstHtF47_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie56/rei_cstHtF47_06-2020.avi,1.133748,0.11751299999999998,31.0,290.10733971573404,612.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_47_ID#1111/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_47_ID#1111/trace_mm.csv
rei-HT,F,81,c-start,08-2019,923.0,4614,4.998916576381365,,,,,,,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie8/rei_cstHtF8_11-2019R.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie8/rei_cstHtF8_11-2019R.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie8/rei_cstHtF8_11_2019R_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie8/rei_cstHtF8_11_2019R_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie8/rei_cstHtF8_11-2019R.avi,,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_81_ID#1112/trace_mm.csv
rei-HT,F,53,c-start,08-2019,923.0,4615,5.0,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_53_ID#1113/midLineUniform_pix.csv,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie62/rei_cstHtF53_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie62/rei_cstHtF53_06-2020.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie62/rei_cstHtF53_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie62/rei_cstHtF53_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie62/rei_cstHtF53_06-2020.avi,1.128447,0.0069030000000001035,19.0,366.7073312419922,1927.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_53_ID#1113/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_53_ID#1113/trace_mm.csv
rei-HT,F,80,c-start,08-2019,923.0,4613,4.99783315276273,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_80_ID#1114/midLineUniform_pix.csv,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie17/rei_cstHtF8_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie17/rei_cstHtF8_06-2020.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie17/rei_cstHtF8_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie17/rei_cstHtF8_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie17/rei_cstHtF8_06-2020.avi,,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_80_ID#1114/trace_mm.csv
rei-HT,F,23,c-start,08-2019,923.0,4615,5.0,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_23_ID#1115/midLineUniform_pix.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_23_ID#1115/head_mm.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_23_ID#1115/tail_mm.csv,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie32/rei_cstHtF23_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie32/rei_cstHtF23_06-2020.S2R,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie86/HtF23_box.csv,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie32/rei_cstHtF23_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie32/rei_cstHtF23_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie32/rei_cstHtF23_06-2020.avi,3.3727679999999998,0.003582000000000085,32.0,342.93552812069674,1403.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_23_ID#1115/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_23_ID#1115/trace_mm.csv
rei-HT,F,49,c-start,08-2019,923.0,4615,5.0,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_49_ID#1116/midLineUniform_pix.csv,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie58/rei_cstHtF49_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie58/rei_cstHtF49_06-2020.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie58/rei_cstHtF49_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie58/rei_cstHtF49_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie58/rei_cstHtF49_06-2020.avi,1.1251350000000002,0.005094000000000043,72.0,197.0055161544578,954.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_49_ID#1116/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_49_ID#1116/trace_mm.csv
rei-HT,F,37,c-start,08-2019,923.0,4615,5.0,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_37_ID#1117/midLineUniform_pix.csv,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie46/rei_cstHtF37_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie46/rei_cstHtF37_06-2020.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie46/rei_cstHtF37_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie46/rei_cstHtF37_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie46/rei_cstHtF37_06-2020.avi,1.1236680000000001,0.00917099999999993,42.0,257.7997894535385,1100.0,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_37_ID#1117/spike_train_df.csv,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_37_ID#1117/trace_mm.csv
rei-HT,F,43,c-start,08-2019,923.0,4614,4.998916576381365,,,,,,,,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie52/rei_cstHtF43_06-2020.smr,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie52/rei_cstHtF43_06-2020.S2R,,,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie52/rei_cstHtF43_06_2020_result.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie52/rei_cstHtF43_06_2020_result_ana.mat,/home/bgeurten/cstart_experiments/rei/Heterozygous/Female/movie52/rei_cstHtF43_06-2020.avi,,,,,,,/home/bgeurten/fishDataBase/cst_rei-HT_08-2019_F_43_ID#1118/trace_mm.csv
