genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,19,free swimming,11-2018,1.463616325664339,1.670184244999526,3.7277596899239667
rei-HT,F,32,free swimming,11-2018,1.2795719576476485,1.3920025670192482,2.3977504510195233
rei-HT,F,47,free swimming,11-2018,1.2788394614069492,1.399013333621918,2.964180262978271
rei-HT,F,3,free swimming,11-2018,1.2078847345385324,1.25060970995594,2.33792018871926
rei-HT,F,36,free swimming,11-2018,1.5989797559826564,1.718267586026337,3.267558937773299
rei-HT,F,91,free swimming,11-2018,2.0551473148516735,2.0360138487993593,3.5724100601246978
rei-HT,F,10,free swimming,11-2018,1.1572125609608632,1.230684224515562,2.062131359592704
rei-HT,F,43,free swimming,11-2018,1.1123189581234185,1.198096889667535,2.0460416389225498
rei-HT,F,50,free swimming,11-2018,1.605134637918513,1.621304462138891,3.3769138973018693
rei-HT,F,41,free swimming,11-2018,1.19730371437073,1.3461035910944297,2.9571458493412495
rei-HT,F,18,free swimming,11-2018,1.6198711332332623,1.6393323931347068,3.18590463267203
rei-HT,F,24,free swimming,11-2018,1.4798555576151142,1.671052517677617,3.2537793759057667
rei-HT,F,22,free swimming,11-2018,1.5182673712047108,1.685171017688499,3.7462130626301375
rei-HT,F,29,free swimming,11-2018,1.5674103655967433,1.6780597971773235,3.245303272850765
rei-HT,F,46,free swimming,11-2018,1.7377287064753686,1.7855259245549568,3.3861970950555436
rei-HT,F,63,free swimming,11-2018,1.3438981682807642,1.3671843776984787,2.5328685735251844
rei-HT,F,14,free swimming,11-2018,1.4933520576983117,1.4830269569051688,2.751402044821699
rei-HT,F,58,free swimming,11-2018,1.360315635086881,1.3830673341066353,2.320016069011038
rei-HT,F,5,free swimming,11-2018,0.991898764293604,1.1484382698825848,2.802918625571537
rei-HT,F,39,free swimming,11-2018,1.789420698327263,1.8066244798466409,2.65143631117068
rei-HT,F,52,free swimming,11-2018,1.309661082212454,1.2181734563336035,1.9504356398988878
rei-HT,F,66,free swimming,11-2018,1.1045561747146724,1.1937429683934089,2.095339057990446
rei-HT,F,27,free swimming,11-2018,1.5609240162051756,1.6593233960583842,3.1751318070610353
rei-HT,F,16,free swimming,11-2018,1.275647118824902,1.2428165993412772,1.9186815698454764
rei-HT,F,33,free swimming,11-2018,1.5258725607389578,1.6136251118344715,3.865510093046022
rei-HT,F,31,free swimming,11-2018,1.068144946419042,1.129190233872313,2.2254584731080667
rei-HT,F,20,free swimming,11-2018,1.104968260654938,1.2059418380076887,2.5401740980833054
rei-HT,F,2,free swimming,11-2018,1.271744073060597,1.3012508027889047,2.397016359119104
rei-HT,F,9,free swimming,11-2018,1.371623387715262,1.4140051130810276,2.906429887594128
rei-HT,F,35,free swimming,11-2018,1.3009450101165,1.2883999764014136,2.278156044525535
rei-HT,F,48,free swimming,11-2018,0.8621637084979333,0.9103092587466214,1.6791593847356316
rei-HT,F,62,free swimming,11-2018,1.379551814212154,1.4073763433386717,2.2174636704180983
rei-HT,F,90,free swimming,11-2018,1.464735127628777,1.6908736710083256,3.3124466011929594
rei-HT,F,81,free swimming,11-2018,1.3222186297790237,1.589358546315293,3.803642943699598
rei-HT,F,1,free swimming,11-2018,1.0193240617769175,1.1230264219377288,1.9568220457902674
rei-HT,F,54,free swimming,11-2018,1.7508595351962892,1.816724632049713,3.1364892835995635
rei-HT,F,67,free swimming,11-2018,1.189235173247086,1.1962687635969105,1.8237449734356237
rei-HT,F,57,free swimming,11-2018,1.5552854686794417,1.5868211350691166,2.466236028656387
rei-HT,F,6,free swimming,11-2018,1.4238206597807306,1.43339487074733,2.099694226145468
rei-HT,F,37,free swimming,11-2018,1.7531945561365574,1.8300397307188228,3.182270126493612
rei-HT,F,7,free swimming,11-2018,1.4156182278104223,1.395844104987887,2.2597838597577153
rei-HT,F,71,free swimming,11-2018,1.6794750499671254,1.8937033777688659,3.790011449683447
rei-HT,F,64,free swimming,11-2018,1.342615411954051,1.4550308481314171,2.3763761006416892
rei-HT,F,4,free swimming,11-2018,1.277859233439228,1.4162159964618344,2.8420850650823084
rei-HT,F,80,free swimming,11-2018,1.3944171262413396,1.5331657568295711,2.9546507356124625
rei-HT,M,25,free swimming,11-2018,1.644997565141856,1.7049634581845912,2.9522627994304393
rei-HT,M,38,free swimming,11-2018,1.4431046651240198,1.4855862353422138,2.4266627963644885
rei-HT,M,61,free swimming,11-2018,0.9779435984489996,1.0664421407181437,2.4821514603884207
rei-HT,M,12,free swimming,11-2018,1.959474879059841,1.9578150855661982,3.494484704077932
rei-HT,M,19,free swimming,11-2018,1.5215691455332323,1.6655110044053119,3.2869454967314122
rei-HT,M,29,free swimming,11-2018,1.4069098834168057,1.4746762450252158,2.3338771247034087
rei-HT,M,18,free swimming,11-2018,1.2228067954645363,1.2727341245152852,2.4737979434508977
rei-HT,M,90,free swimming,11-2018,1.7266625156781485,1.8606328304520203,3.6602151256205655
rei-HT,M,22,free swimming,11-2018,1.6988919524603407,1.70566800053668,3.7383746384490912
rei-HT,M,13,free swimming,11-2018,1.3649611350315443,1.3605269761254293,1.95180334542152
rei-HT,M,42,free swimming,11-2018,1.6144790889045812,1.5578424205324057,2.5829942742347067
rei-HT,M,8,free swimming,11-2018,1.2830749299945077,1.3435292165917818,2.274300007507917
rei-HT,M,15,free swimming,11-2018,1.6953722109932394,1.7342807654346688,2.9733186499647744
rei-HT,M,21,free swimming,11-2018,1.3020789252901759,1.4357444907452979,2.736451463402148
rei-HT,M,30,free swimming,11-2018,1.3934129278507865,1.6503129232696194,3.9483454995485303
rei-HT,M,32,free swimming,11-2018,1.57381270502812,1.669472012021467,4.1416341156386745
rei-HT,M,4,free swimming,11-2018,1.4531662439895452,1.390692694924755,1.9174231078346362
rei-HT,M,17,free swimming,11-2018,1.540845404092166,1.6478428764194977,2.9979442756835977
rei-HT,M,33,free swimming,11-2018,1.3703851974744825,1.5095427332650124,3.0922405407351023
rei-HT,M,91,free swimming,11-2018,1.7240713301359514,1.8026919004828104,3.788772613697547
rei-HT,M,10,free swimming,11-2018,1.8337028702817222,1.8723604585290632,3.2875974640649877
rei-HT,M,26,free swimming,11-2018,1.5411926299202343,1.7716875174460154,3.380089124608025
rei-HT,M,20,free swimming,11-2018,1.754790506727208,1.711969414128367,3.44074511035598
rei-HT,M,16,free swimming,11-2018,1.6060479296943664,1.7760546367277759,3.250592483005998
rei-HT,M,31,free swimming,11-2018,1.6435238495824114,1.6406341175590287,3.017331016911569
rei-HT,M,14,free swimming,11-2018,1.893823846236913,1.774866479829526,3.0280173248162123
rei-HT,M,28,free swimming,11-2018,1.1052963181936106,1.1467291728157525,2.180873837250341
rei-HT,M,9,free swimming,11-2018,1.0601874059110972,1.1414034793312842,1.8855224356699338
rei-HT,M,51,free swimming,11-2018,1.7204660077598712,1.7364663807834428,3.0577379677731678
rei-HT,M,80,free swimming,11-2018,1.8730171030889888,2.017129538690533,3.682396266688277
rei-HT,M,60,free swimming,11-2018,1.99376526393416,1.9335884585837961,3.2440885064574907
rei-HT,M,1,free swimming,11-2018,1.349649763100072,1.4342756923993087,2.795460265738441
