,groupA,groupB,p value,p value corrected,h,sig. level
0,L3,Adult,0.03702,0.07404,False,n.s.
1,L3,18h,0.18646,0.27969,False,n.s.
2,L3,12h,0.99999,0.99999,False,n.s.
3,Adult,18h,0.020499999999999963,0.06149999999999989,False,n.s.
4,Adult,12h,0.003670000000000062,0.022020000000000373,True,*
5,18h,12h,0.33437000000000006,0.40124400000000005,False,n.s.
