,groupA,groupB,p value,p value corrected,h,sig. level
0,L3,Adult,0.0323,0.03876,True,*
1,L3,18h,0.00159,0.004770000000000001,True,**
2,L3,12h,0.00027,0.0016200000000000001,True,**
3,Adult,18h,0.08818,0.08818,False,n.s.
4,Adult,12h,0.0045599999999998975,0.009119999999999795,True,**
5,18h,12h,0.007179999999999964,0.010769999999999946,True,*
