,genotype,activity_ratio,speed_ratio
0,15V,,0.4888893735572746
1,15V,,0.39682325028705917
2,15V,,0.5011492066139569
3,15V,1.0,0.7214784077015811
4,15V,0.9156187544508512,0.4918545255465464
5,15V,1.0,0.8553893908355267
6,15V,,0.4940789335952873
7,15V,,0.5373070963601099
8,15V,,0.4748902029527244
9,15V,0.913860103626943,0.6823309990774162
10,15V,1.0,0.5511777301096318
11,15V,0.8812754409769336,0.5802919045695641
12,15V,,0.4416705908892709
13,15V,,0.5463834170839369
14,15V,1.0,0.6970528857068635
15,15V,,0.5801236727899026
16,15V,0.5499703732964645,0.38732374168811784
17,15V,1.0,0.48502740363301794
18,15V,,0.5326076552542751
19,15V,,0.528885901998648
20,15V,,0.39872675391400514
21,15V,0.9676520994001714,0.5210030240051283
22,15V,0.849106203995794,0.4541309480295374
23,15V,0.8990551964196917,0.6045511329567682
24,15V,0.884121892542101,0.43121789133776256
25,15V,1.0,0.4397255002131239
26,15V,0.9363150218765193,0.4340673938123187
27,15V,0.9419591207096027,0.45802248552406666
28,15V,0.9167640186915889,0.29822120816908326
29,15V,0.8972826086956522,0.5237598385738008
30,15V,,0.5124443269990117
31,15V,0.8521739130434782,0.5164270459120653
32,15V,,0.46442835385713593
33,15V,1.0,0.5705125473803904
34,15V,0.972997299729973,0.7517678248847992
35,15V,1.0,0.8179516253055269
36,15V,0.866238894373149,0.5593523526638521
37,15V,0.9357935153583617,0.561971327009143
38,15V,0.9762921828278514,0.5081736627678233
39,15V,0.8913043478260869,0.5107953351505836
40,15V,0.9058458354888774,0.47619332732928715
41,15V,0.9404156064461409,0.4968658476006875
42,15V,1.0,0.6277030133054289
43,15V,0.891977760127085,0.5619108990004698
44,15V,0.8321167883211679,0.36939105195300814
45,15V,,0.5682079207813878
46,15V,0.9404228058936579,0.5849565608520575
47,15V,1.0,0.3865551268679829
48,15V,0.9650986342943855,0.6651683706103039
49,15V,0.7887323943661972,0.29886134010782095
50,15V,0.9026442307692308,0.5967645944740398
51,15V,1.0,0.4932875528411029
52,15V,1.0,0.4873633254767977
