,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
0,3V,dark,0.0,0.0,,201.00657867667522,,,female
1,3V,dark,0.02663842672714512,0.006414381543241887,8.305844155844156,1816.4824197582143,1.4182796643369397,0.8006090848216099,female
2,3V,dark,0.0,0.0,,201.00657867667522,,,female
3,3V,dark,0.0,0.0,,201.00657867667522,,,female
4,3V,dark,0.0,0.0,,201.00657867667522,,,female
5,3V,dark,0.0,0.0,,201.00657867667522,,,female
6,3V,dark,0.02663842672714512,0.006414381543241887,8.305844155844156,1816.4824197582143,1.4182796643369397,0.8006090848216099,female
7,3V,dark,0.0435157475149478,0.010288001566108741,8.459514170040485,3852.049945949678,1.3815701579682715,0.8215400934380093,female
8,3V,dark,0.14781400792634292,0.04100622486572492,7.206808943089431,8793.533825323006,1.4777733664853379,0.8156793452512713,male
9,3V,dark,0.051837782789881104,0.015307046864554502,6.771934604904633,4281.9522990859705,1.4082403075964804,0.7598190204552244,male
10,3V,dark,0.0,0.0,,329.18533106255694,,,male
11,3V,dark,0.014369880729989942,0.003373798084432421,8.518518518518519,2098.8031339093773,1.198993530518112,0.7401293133097389,female
12,3V,dark,0.1639020265697012,0.04487984488859177,7.302878365831012,9715.835835088099,1.5250692146592295,0.8440005228545403,female
13,3V,dark,0.09562218459673741,0.026032392626793372,7.3464,7154.135542334921,1.727748431004844,0.800370240429609,female
14,3V,dark,0.16609916050740256,0.042318257454115306,7.85,9739.836341179293,1.5204833090321876,0.8326695715525538,male
15,3V,dark,0.03402329586751387,0.008496972953385357,8.008333333333335,2644.2340106032398,1.4545247775512935,0.7987035527192992,male
16,3V,dark,0.08171255656838917,0.02140903969627487,7.633463035019455,4996.366538996214,1.190115586117653,0.7353017924700768,male
17,3V,dark,0.014301155213455206,0.0038319681946639844,7.464130434782609,1835.1504204318442,1.2970933117077632,0.7247476322420601,female
18,3V,dark,0.053324753056723545,0.011579208240397692,9.21043165467626,4192.760625535753,1.554999047034007,0.8881785876198597,female
19,3V,dark,0.049117918408233735,0.01334941093901964,7.3696875,5806.177030122851,1.30150213494333,0.7084799867934802,female
20,3V,dark,0.07923010760749816,0.01990957388097157,7.958995815899581,5668.721657534157,1.5617265709223807,0.7999589523924462,male
21,3V,dark,0.06726145477340364,0.02074261044502896,6.485341365461847,4706.3659172564385,1.3760749936204837,0.7467840029318042,male
22,3V,dark,0.028868882127408776,0.006622640684256234,8.71823899371069,3103.1557494744247,1.0009855857491505,0.6559690196319401,male
23,3V,dark,0.052275126986011236,0.012849589000585209,8.118506493506494,3732.5403998510424,1.2859402022062925,0.7501493931867346,female
24,3V,dark,0.11821205362256362,0.023241720137201122,10.172401433691757,7169.502016457991,1.5560813734534886,0.8596490433444696,female
25,3V,dark,0.06596400032488425,0.016077605686307585,8.205699481865285,4998.523197608683,1.5703959509458163,0.8661289617929445,female
26,3V,dark,0.11532766451951493,0.028031680380531103,8.228380386329867,7488.544656284125,1.6781474111839623,0.8205227436534134,male
27,3V,dark,0.07500869481913736,0.018722496777189793,8.021158129175946,4664.942509438892,1.5440714201520243,0.8076331645223344,male
28,3V,dark,0.03267794181656118,0.010079742425094395,6.483884297520661,2867.991132849182,1.1699239538951003,0.7028428413760688,male
29,3V,dark,0.02409974779818023,0.006122818745821801,7.872108843537414,3618.5292915973573,1.1272236842221541,0.726738409809821,female
30,3V,dark,0.0,0.0,,284.0448972195621,,,female
31,3V,dark,0.0,0.0,,378.2771730208259,,,female
32,3V,dark,0.111177059839099,0.027906724895922497,7.96776119402985,6737.85656012757,1.6704263876101328,0.8381571125061904,male
33,3V,dark,0.07567095888756298,0.01982627022456583,7.633403361344539,5055.784364643279,1.4893386836510758,0.8036000407341349,male
34,3V,dark,0.05020503112432863,0.015244569122250199,6.586612021857924,3581.2813003538354,1.1386743955820218,0.6929623235399335,male
35,3V,dark,0.04004198504282849,0.008372017468776749,9.565671641791043,2931.7653579957855,1.173758359902878,0.735333297506641,female
36,3V,dark,0.19724014986327787,0.048566031684545714,8.122555746140653,11931.325583711701,1.5858398313853697,0.8593671068154702,female
37,3V,dark,0.05697761839011519,0.01520291729404733,7.495616438356165,4321.418344924234,1.5123032367617335,0.786053444971993,female
38,3V,dark,0.00019784618396362962,4.1651828202869395e-05,9.5,334.5131792606126,0.7606434579446657,0.6697738075798928,male
39,3V,dark,0.04832445108096907,0.01449483621459855,6.667816091954023,3342.784093308206,1.3880555257127245,0.7538128700075954,male
40,3V,dark,0.08373891801045877,0.02811498403693684,5.956888888888888,5917.6618104613235,1.2383659352613132,0.6774557168060062,male
41,3V,dark,,,,,,,female
42,3V,dark,0.0,0.0,,201.00657867667522,,,female
43,3V,dark,0.02663842672714512,0.006414381543241887,8.305844155844156,1816.4824197582143,1.4182796643369397,0.8006090848216099,female
44,3V,dark,0.0435157475149478,0.010288001566108741,8.459514170040485,3852.049945949678,1.3815701579682715,0.8215400934380093,female
45,3V,dark,0.14781400792634292,0.04100622486572492,7.206808943089431,8793.533825323006,1.4777733664853379,0.8156793452512713,male
46,3V,dark,0.051837782789881104,0.015307046864554502,6.771934604904633,4281.9522990859705,1.4082403075964804,0.7598190204552244,male
47,3V,dark,0.0,0.0,,329.18533106255694,,,male
48,3V,dark,0.014369880729989942,0.003373798084432421,8.518518518518519,2098.8031339093773,1.198993530518112,0.7401293133097389,female
49,3V,dark,0.1639020265697012,0.04487984488859177,7.302878365831012,9715.835835088099,1.5250692146592295,0.8440005228545403,female
50,3V,dark,0.09562218459673741,0.026032392626793372,7.3464,7154.135542334921,1.727748431004844,0.800370240429609,female
51,3V,dark,0.16609916050740256,0.042318257454115306,7.85,9739.836341179293,1.5204833090321876,0.8326695715525538,male
