Adult;72h;48h;42h;36h;30h;24h;18h;12h;06h;L3
5;6;5;5;5;5;4;4;0;0;0
4;4;4;3;2;4;3;4;0;0;0
5;4;2;5;4;5;4;5;0;0;0
5;4;2;5;4;4;4;4;0;0;0
5;2;4;4;4;;3;4;0;0;0
5;4;2;5;4;;;4;0;0;0
3;2;4;5;;;;4;0;0;0
5;5;4;5;;;;4;0;0;0
4;;;4;;;;4;0;0;0
2;;;5;;;;3;0;0;0
;;;4;;;;4;0;;0
;;;3;;;;;;;0
;;;4;;;;;;;0
;;;3;;;;;;;
