Timestamp,sex,age,factorial framing,letter_i,tumor,k_position,framing,Steve,letter_ing,Linda,letter_ly,letter_l,Group,microframingID,framingID
03/05/2019 10:38:07,male,19.0,10000.0,1.5,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:13,male,18.0,6570.0,6,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:15,male,20.0,1000.0,9,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:18,female,20.0,50000.0,9,40,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:26,,,362880.0,3.5,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,3.5,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:35,male,19.0,1000.0,21,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:39,male,19.0,479.0,13,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:40,male,,10.0,9,90,,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:50,male,22.0,10.0,0.0,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,1.5,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:59,male,24.0,10000.0,1.5,30,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:39:00,female,20.0,45.0,13,30,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
03/05/2019 10:39:03,female,21.0,356.0,21,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
03/05/2019 10:39:21,male,22.0,0.0,3.5,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:39:22,male,21.0,99.0,1.5,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
03/05/2019 10:40:12,female,22.0,100.0,9,80,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:40:37,female,19.0,9.0,1.5,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 12:15:26,,,0.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
04/05/2019 14:40:52,male,19.0,479.0,13,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
08/05/2019 19:16:24,male,20.0,987654321.0,21,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
08/05/2019 19:17:42,Prefer not to say,19.0,999999999.0,9,80,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
08/05/2019 19:18:08,male,22.0,1111.0,9,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
08/05/2019 19:22:58,female,23.0,5678.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:22:07,male,23.0,,6,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:23:59,male,23.0,,6,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:27:24,male,25.0,1024.0,21,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:27:45,female,22.0,300.0,6,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/06/2020 08:27:52,male,,,9,50,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:28:00,female,22.0,362880.0,6,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:28:04,female,22.0,1.0,13,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/06/2020 08:28:31,female,23.0,181.0,21,100,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:28:41,female,27.0,10.0,21,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/06/2020 08:29:50,male,26.0,100000.0,13,50,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/06/2020 08:30:32,male,25.0,50000.0,3.5,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/06/2020 15:04:00,female,23.0,181.0,21,100,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:26:38,female,24.0,10.0,13,100,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
29/06/2020 08:26:48,female,23.0,555.0,13,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:26:59,female,23.0,10.0,6,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
