genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,6,counter current,11-2018,0.9471534986833176,1.1624727708098583,2.1573165571785666
rei-HT,F,29,counter current,11-2018,1.0191259752330173,1.0419389614334231,1.88147622191875
rei-HT,M,33,counter current,11-2018,1.3414619710574656,1.3772316144943717,2.6588840809928738
rei-HT,F,15,counter current,11-2018,0.9275857942411991,1.0833465159956053,2.3628251778834386
rei-HT,F,22,counter current,11-2018,0.8015959482617613,0.9621408652275311,1.9320631359723983
rei-HT,M,29,counter current,11-2018,1.1962651435178158,1.2814737292611744,2.488858103934022
rei-HT,F,26,counter current,11-2018,1.3786330869021126,1.4962710899570424,3.503386395251763
rei-HT,F,2,counter current,11-2018,0.8965621824792065,1.083920784873573,2.4377564851384754
rei-HT,M,1,counter current,11-2018,1.124721592757282,1.3434571599945382,3.4838421799272865
rei-HT,M,2,counter current,11-2018,0.8935942934999921,0.9711874536474353,2.393224640860674
rei-HT,F,11,counter current,11-2018,0.7829983509709778,0.9174715269461361,1.8501541107124035
rei-HT,F,12,counter current,11-2018,1.2848034663560806,1.412050598720047,3.58655199959261
rei-HT,M,22,counter current,11-2018,0.8169882388572501,0.8679900799310235,2.2227643836708704
rei-HT,F,7,counter current,11-2018,0.7761793476120525,1.0324237733377262,1.9130279084575257
rei-HT,M,21,counter current,11-2018,0.9320836091009885,1.0700216187084495,2.7566912661557432
rei-HT,M,17,counter current,11-2018,1.2370306405292637,1.3943691143026915,3.474222243176115
rei-HT,F,4,counter current,11-2018,0.8169516678982685,0.9791137096559741,2.0553917327224362
rei-HT,F,17,counter current,11-2018,0.9470287557443888,1.0952602275787273,2.836752697622572
rei-HT,F,31,counter current,11-2018,0.7935676191778777,0.8922153430052737,2.0130062989731314
rei-HT,M,12,counter current,11-2018,1.042985387372838,1.1980185204716138,3.4844363803160734
rei-HT,M,24,counter current,11-2018,0.9254831677026549,1.1063165223570495,2.664300032178833
rei-HT,M,8,counter current,11-2018,0.9698245825693907,1.0522543055804165,2.252397354465427
rei-HT,F,28,counter current,11-2018,0.9433609729629602,1.033045597582007,2.477925974195653
rei-HM,M,1,counter current,11-2019,0.9685100641764968,1.0735392857918484,3.225454763124537
rei-HM,F,12,counter current,11-2019,0.8350445054468946,1.0593097938010574,2.7243362061359573
rei-HM,F,2,counter current,11-2019,0.8101080481782934,0.9934930459746009,1.9853160694467376
rei-HM,M,40,counter current,11-2019,0.906656919411599,1.0449392034908824,2.4074306038317492
rei-HM,M,35,counter current,11-2019,0.9876202499452391,1.1647850518579328,3.2119666982454156
rei-HM,M,19,counter current,11-2019,1.144664086633675,1.3135392215357249,3.3767758873226104
rei-HM,F,24,counter current,11-2019,1.149558247128827,1.2235288951849155,2.6683709038679355
rei-HM,M,31,counter current,11-2019,1.2950691880059422,1.5507810849608756,3.4917527077669215
rei-HM,M,27,counter current,11-2019,1.365231434659118,1.5709617624381942,3.85666231477582
rei-HM,F,1,counter current,11-2019,0.8206834332596533,1.0883131330821687,3.1778440791798617
rei-HM,F,9,counter current,11-2019,0.846089857202109,1.0034544048044547,2.53200585469263
rei-HM,M,10,counter current,11-2019,1.2293535140635221,1.3413825214259938,3.247206281471454
rei-HM,F,5,counter current,11-2019,0.9480397232330913,1.061748536286046,2.6130816435654927
rei-HM,M,2,counter current,11-2019,0.7614789904795117,0.9484524718721442,1.626817074719437
rei-HM,M,41,counter current,11-2019,1.5582302872895697,1.5454201278792867,3.1384337849375195
rei-HM,F,25,counter current,11-2019,0.9542541077862752,1.0879006694560915,2.3392588548719653
rei-HM,M,22,counter current,11-2019,0.806202037558381,0.9580935779714902,2.542970108273304
rei-HM,F,15,counter current,11-2019,0.8774653994287156,0.9854978986364047,1.9475046346944396
rei-HM,M,30,counter current,11-2019,0.8079415182761291,0.9221140316177052,1.7573724980383345
rei-HM,M,6,counter current,11-2019,0.8303674050480739,0.9972283745277152,1.8094064632983156
