,Area ,Mean,IntDen,Median,RawIntDen,Maxintensity_perpicture,RawIntden_normatoMaxintensity,genotype,Injection type,Fishnumber
7,892.1656,535.5132,477766.4382,552,4593632,34996947,0.131258078026063,mut,TRUE,R
8,892.1656,440.3599,392873.9368,307,3777407,34996947,0.107935329330298,mut,TRUE,R
9,892.1656,508.7221,453864.3459,338,4363818,34996947,0.124691390937615,mut,TRUE,R
1,892.1656,379.0152,338144.288,269,3251192,35223220,0.0923025208938876,mut,TRUE,R
2,892.1656,531.2685,473979.4666,430,4557221,35223220,0.129381158224603,mut,TRUE,R
3,892.1656,516.7287,461007.5991,429,4432499,35223220,0.125840255376993,mut,TRUE,R
4,892.1656,423.5113,377842.2255,317,3632880,35223220,0.103138781746814,mut,TRUE,R
5,892.1656,479.8305,428088.2689,384,4115986,35223220,0.116854336429208,mut,TRUE,R
6,892.1656,581.5737,518860.0356,477,4988739,35223220,0.141632110863232,mut,TRUE,R
7,892.1656,551.8339,492327.2092,418,4733631,35223220,0.134389502152273,mut,TRUE,R
1,892.1656,382.1222,340916.2625,294,3277844,36919011,0.0887847185288902,mut,MOCK,S
2,892.1656,360.2129,321369.5359,287,3089906,36919011,0.0836941704641005,mut,MOCK,S
3,892.1656,400.7174,357506.2995,304,3437354,36919011,0.093105256801164,mut,MOCK,S
4,892.1656,392.8159,350456.8598,315,3369575,36919011,0.0912693733859772,mut,MOCK,S
5,892.1656,413.5211,368929.3059,366,3547184,36919011,0.0960801468923423,mut,MOCK,S
6,892.1656,438.4956,391210.6688,382,3761415,36919011,0.101882875464893,mut,MOCK,S
7,892.1656,359.5336,320763.4915,310,3084079,36919011,0.0835363385005086,mut,MOCK,S
8,892.1656,414.2962,369620.8435,323,3553833,36919011,0.0962602438077228,mut,MOCK,S
9,892.1656,405.6524,361909.092,296,3479686,36919011,0.094251874731964,mut,MOCK,S
10,892.1656,419.6654,374411.0593,362,3599890,36919011,0.0975077582657889,mut,MOCK,S
11,892.1656,344.9062,307713.4113,297,2958605,36919011,0.0801377100811287,mut,MOCK,S
12,892.1656,383.6089,342242.6542,321,3290597,36919011,0.0891301503174069,mut,MOCK,S
13,892.1656,435.0816,388164.8458,377,3732130,36919011,0.101089652699527,mut,MOCK,S
14,892.1656,525.3366,468687.2126,440,4506337,36919011,0.122060068185467,mut,MOCK,S
15,892.1656,355.3931,317069.5015,304,3048562,36919011,0.0825743138135526,mut,MOCK,S
16,892.1656,462.1399,412305.3205,365,3964236,36919011,0.107376549171374,mut,MOCK,S
17,892.1656,416.8763,371922.7098,320,3575965,36919011,0.0968597181544219,mut,MOCK,S
18,892.1656,419.8748,374597.8545,313,3601686,36919011,0.097556405289405,mut,MOCK,S
19,892.1656,383.7034,342327.0033,311,3291408,36919011,0.0891521173197191,mut,MOCK,S
20,892.1656,589.069,525547.1175,499,5053034,36919011,0.136868075908101,mut,MOCK,S
21,892.1656,511.358,456216.0312,387,4386429,36919011,0.118812202201191,mut,MOCK,S
22,892.1656,384.7737,343281.8847,300,3300589,36919011,0.0894007967873246,mut,MOCK,S
23,892.1656,490.6001,437696.5743,419,4208368,36919011,0.113989185679974,mut,MOCK,S
24,892.1656,454.0647,405100.9115,361,3894967,36919011,0.105500307145281,mut,MOCK,S
25,892.1656,428.1922,382018.3885,351,3673033,36919011,0.0994889326802389,mut,MOCK,S
26,892.1656,561.0049,500509.2769,502,4812300,36919011,0.13034747870142,mut,MOCK,S
27,892.1656,401.7304,358410.0098,296,3446043,36919011,0.0933406098012756,mut,MOCK,S
28,892.1656,355.5405,317200.9654,286,3049826,36919011,0.082608550917033,mut,MOCK,S
29,892.1656,471.6423,420783.0779,403,4045748,36919011,0.109584408964801,mut,MOCK,S
30,892.1656,427.5228,381421.1846,377,3667291,36919011,0.0993334030535108,mut,MOCK,S
1,892.1656,321.9311,287215.8595,280,2761525,36429989,0.0758036188262368,mut,MOCK,S
2,892.1656,378.7379,337896.9611,290,3248814,36429989,0.0891796590989912,mut,MOCK,S
3,892.1656,502.2454,448086.0706,427,4308261,36429989,0.118261386244174,mut,MOCK,S
4,892.1656,371.1856,331159.0202,325,3184030,36429989,0.0874013439861319,mut,MOCK,S
5,892.1656,449.5246,401050.3881,384,3856022,36429989,0.105847465394513,mut,MOCK,S
6,892.1656,595.8525,531599.1371,478,5111223,36429989,0.140302622655198,mut,MOCK,S
7,892.1656,634.0357,565664.8242,533,5438758,36429989,0.149293429652147,mut,MOCK,S
8,892.1656,578.0827,515745.4645,496,4958793,36429989,0.136118432536447,mut,MOCK,S
9,892.1656,587.0279,523726.072,539,5035525,36429989,0.138224719200437,mut,MOCK,S
10,892.1656,409.4345,365283.3668,343,3512129,36429989,0.0964076327335701,mut,MOCK,S
11,892.1656,448.5009,400137.1093,409,3847241,36429989,0.105606427715364,mut,MOCK,S
12,892.1656,485.9291,433529.2519,396,4168300,36429989,0.114419469080817,mut,MOCK,S
13,892.1656,397.3493,354501.3509,306,3408462,36429989,0.0935619826841013,mut,MOCK,S
14,892.1656,422.6471,377071.2272,332,3625467,36429989,0.0995187508840587,mut,MOCK,S
15,892.1656,521.8371,465565.153,484,4476319,36429989,0.122874563591002,mut,MOCK,S
16,892.1656,420.261,374942.4272,339,3604999,36429989,0.0989569060808665,mut,MOCK,S
17,892.1656,393.364,350945.7932,299,3374276,36429989,0.09262357998516,mut,MOCK,S
18,892.1656,397.6903,354805.5692,343,3411387,36429989,0.0936422736773267,mut,MOCK,S
19,892.1656,484.002,431809.9246,366,4151769,36429989,0.11396569458201,mut,MOCK,S
20,892.1656,333.5315,297565.3135,276,2861033,36429989,0.0785351046908084,mut,MOCK,S
21,892.1656,476.3715,425002.2995,375,4086315,36429989,0.112168988027968,mut,MOCK,S
22,892.1656,399.719,356615.5899,345,3428790,36429989,0.0941199844995836,mut,MOCK,S
23,892.1656,415.1819,370410.9789,336,3561430,36429989,0.0977609408556231,mut,MOCK,S
24,892.1656,590.4377,526768.2548,516,5064775,36429989,0.139027629132691,mut,MOCK,S
1,892.1656,367.7724,328113.9252,298,3154752,35219014,0.0895752504598794,mut,MOCK,S
2,892.1656,356.3585,317930.7773,276,3056843,35219014,0.0867952464540887,mut,MOCK,S
3,892.1656,495.496,442064.5248,418,4250365,35219014,0.120683815850154,mut,MOCK,S
4,892.1656,508.7967,453930.9099,439,4364458,35219014,0.123923344361656,mut,MOCK,S
5,892.1656,373.8697,333553.6601,309,3207054,35219014,0.0910603005524232,mut,MOCK,S
6,892.1656,353.8944,315732.3972,281,3035706,35219014,0.0861950876875769,mut,MOCK,S
7,892.1656,495.7877,442324.7484,395,4252867,35219014,0.120754857021267,mut,MOCK,S
8,892.1656,556.2976,496309.6085,548,4771921,35219014,0.135492748320552,mut,MOCK,S
9,892.1656,464.1648,414111.909,420,3981606,35219014,0.113052739068731,mut,MOCK,S
10,892.1656,439.1713,391813.4891,377,3767211,35219014,0.106965260299451,mut,MOCK,S
11,892.1656,363.6388,324426.0716,298,3119294,35219014,0.0885684647503192,mut,MOCK,S
12,892.1656,441.2111,393633.3904,431,3784709,35219014,0.107462094197186,mut,MOCK,S
13,892.1656,351.8478,313906.4634,281,3018150,35219014,0.0856966069521424,mut,MOCK,S
14,892.1656,573.7204,511853.6546,565,4921374,35219014,0.139736279953777,mut,MOCK,S
15,892.1656,421.6478,376179.6856,293,3616895,35219014,0.102697224857005,mut,MOCK,S
16,892.1656,391.8868,349627.93,300,3361605,35219014,0.0954485835406976,mut,MOCK,S
17,892.1656,443.0091,395237.4788,361,3800132,35219014,0.107900011056528,mut,MOCK,S
18,892.1656,433.5384,386788.0111,355,3718892,35219014,0.105593302526868,mut,MOCK,S
19,892.1656,396.5059,353748.9697,311,3401228,35219014,0.0965736292333454,mut,MOCK,S
20,892.1656,478.1235,426565.3054,404,4101343,35219014,0.116452521924663,mut,MOCK,S
21,892.1656,478.0002,426455.3708,428,4100286,35219014,0.116422509727274,mut,MOCK,S
22,892.1656,406.7864,362920.8648,284,3489414,35219014,0.0990775607744158,mut,MOCK,S
23,892.1656,416.5185,371603.5146,332,3572896,35219014,0.101447928099293,mut,MOCK,S
24,892.1656,383.8651,342471.26,286,3292795,35219014,0.093494809366327,mut,MOCK,S
25,892.1656,370.529,330573.257,298,3178398,35219014,0.0902466491537781,mut,MOCK,S
1,892.1656,479.154,427484.7206,400,4110183,34414430,0.119431965021649,mut,MOCK,T
2,892.1656,345.8474,308553.1577,299,2966679,34414430,0.0862045078183774,mut,MOCK,T
3,892.1656,444.8187,396851.9678,358,3815655,34414430,0.110873694551966,mut,MOCK,T
4,892.1656,518.281,462392.4423,399,4445814,34414430,0.129184589138916,mut,MOCK,T
5,892.1656,496.0779,442583.62,418,4255356,34414430,0.123650340859924,mut,MOCK,T
6,892.1656,409.5997,365430.7437,370,3513546,34414430,0.10209513857995,mut,MOCK,T
7,892.1656,556.0681,496104.8202,463,4769952,34414430,0.138603254506903,mut,MOCK,T
8,892.1656,501.4367,447364.5793,403,4301324,34414430,0.124986059626732,mut,MOCK,T
9,892.1656,561.294,500767.2124,483,4814780,34414430,0.139905847634263,mut,MOCK,T
10,892.1656,411.7239,367325.9456,305,3531768,34414430,0.102624625774711,mut,MOCK,T
11,892.1656,478.4204,426830.2093,396,4103890,34414430,0.119249105680379,mut,MOCK,T
12,892.1656,504.209,449837.9519,403,4325105,34414430,0.125677077900172,mut,MOCK,T
13,892.1656,450.7397,402134.4453,395,3866445,34414430,0.112349528962124,mut,MOCK,T
