,Area ,Mean,IntDen,Median,RawIntDen,Maxintensity_perpicture,RawIntden_normatoMaxintensity,genotype,Injection type,Fishnumber
4,892.1656,422.03,376520.6181,404,3620173,35543262,0.101852581791733,mut,MOCK,U
5,892.1656,516.4253,460736.8709,442,4429896,35543262,0.124633917956095,mut,MOCK,U
6,892.1656,469.9573,419279.7716,404,4031294,35543262,0.113419359202315,mut,MOCK,U
7,892.1656,390.4076,348308.1947,331,3348916,35543262,0.094220839944291,mut,MOCK,U
8,892.1656,565.681,504681.1756,510,4852412,35543262,0.136521290589479,mut,MOCK,U
9,892.1656,500.8709,446859.8369,422,4296471,35543262,0.120880041904989,mut,MOCK,U
10,892.1656,496.2063,442698.2349,446,4256458,35543262,0.119754287043209,mut,MOCK,U
11,892.1656,480.1223,428348.5966,404,4118489,35543262,0.115872566789171,mut,MOCK,U
12,892.1656,499.7473,445857.3207,426,4286832,35543262,0.12060885126413,mut,MOCK,U
13,892.1656,537.5591,479591.7479,514,4611182,35543262,0.129734350212426,mut,MOCK,U
14,892.1656,564.547,503669.4028,465,4842684,35543262,0.13624759595785,mut,MOCK,U
15,892.1656,433.8255,387044.1785,422,3721355,35543262,0.104699309815739,mut,MOCK,U
16,892.1656,529.2533,472181.6146,447,4539935,35543262,0.127729835263854,mut,MOCK,U
17,892.1656,388.8904,346954.6574,301,3335902,35543262,0.0938546945972488,mut,MOCK,U
18,892.1656,433.7145,386945.1645,340,3720403,35543262,0.104672525554914,mut,MOCK,U
19,892.1656,535.6596,477897.07,476,4594888,35543262,0.129275922958337,mut,MOCK,U
20,892.1656,542.2014,483733.4848,431,4651004,35543262,0.130854731341203,mut,MOCK,U
21,892.1656,468.8496,418291.5042,397,4021792,35543262,0.113152023019159,mut,MOCK,U
22,892.1656,526.7685,469964.7214,469,4518620,35543262,0.127130143541693,mut,MOCK,U
23,892.1656,472.5848,421623.8644,413,4053832,35543262,0.114053459696524,mut,MOCK,U
24,892.1656,403.9198,360363.3512,345,3464824,35543262,0.0974818799692611,mut,MOCK,U
25,892.1656,525.169,468537.7556,477,4504900,35543262,0.126744135076854,mut,MOCK,U
26,892.1656,618.2144,551549.616,497,5303043,35543262,0.149199671093779,mut,MOCK,U
27,892.1656,600.304,535570.6158,538,5149408,35543262,0.144877192194684,mut,MOCK,U
28,892.1656,464.8065,414684.3594,411,3987110,35543262,0.112176254391057,mut,MOCK,U
29,892.1656,455.2111,406123.709,338,3904801,35543262,0.109860513084027,mut,MOCK,U
1,892.1656,557.0059,496941.5505,404,4777997,35959285,0.132872413898107,mut,MOCK,V
2,892.1656,533.3383,475826.0976,409,4574976,35959285,0.127226556367848,mut,MOCK,V
3,892.1656,530.0564,472898.1137,401,4546824,35959285,0.126443670946183,mut,MOCK,V
4,892.1656,522.5003,466156.8446,365,4482008,35959285,0.124641187943531,mut,MOCK,V
5,892.1656,583.1927,520304.4744,420,5002627,35959285,0.139119201063091,mut,MOCK,V
6,892.1656,541.1303,482777.8754,414,4641816,35959285,0.129085325250488,mut,MOCK,V
7,892.1656,544.41,485703.8832,408,4669949,35959285,0.129867682296798,mut,MOCK,V
8,892.1656,555.6043,495691.0833,407,4765974,35959285,0.132538063534912,mut,MOCK,V
9,892.1656,583.2023,520313.0029,440,5002709,35959285,0.139121481419889,mut,MOCK,V
10,892.1656,549.8218,490532.0613,387,4716371,35959285,0.131158642336743,mut,MOCK,V
11,892.1656,634.4969,566076.273,459,5442714,35959285,0.151357681333208,mut,MOCK,V
12,892.1656,591.4567,527677.3735,435,5073516,35959285,0.141090569514939,mut,MOCK,V
13,892.1656,600.016,535313.6164,461,5146937,35959285,0.143132350935231,mut,MOCK,V
14,892.1656,615.1095,548779.5136,454,5276409,35959285,0.146732867463855,mut,MOCK,V
15,892.1656,583.8594,520899.2862,418,5008346,35959285,0.139278242045135,mut,MOCK,V
16,892.1656,622.0811,554999.3993,472,5336212,35959285,0.148395942800309,mut,MOCK,V
17,892.1656,585.5258,522385.9515,439,5022640,35959285,0.139675747167943,mut,MOCK,V
18,892.1656,555.4015,495510.1125,380,4764234,35959285,0.132489675476028,mut,MOCK,V
19,892.1656,571.5206,509891.0567,404,4902504,35959285,0.136334857603537,mut,MOCK,V
20,892.1656,590.2273,526580.5236,428,5062970,35959285,0.140797293383336,mut,MOCK,V
21,892.1656,584.0688,521086.0814,424,5010142,35959285,0.139328187420857,mut,MOCK,V
22,892.1656,574.8811,512889.1408,413,4931330,35959285,0.137136486445712,mut,MOCK,V
23,892.1656,608.4226,542813.7151,446,5219049,35959285,0.145137730074444,mut,MOCK,V
24,892.1656,585.0555,521966.3903,412,5018606,35959285,0.139563564737174,mut,MOCK,V
25,892.1656,560.4083,499976.9729,384,4807182,35959285,0.133684026253581,mut,MOCK,V
26,892.1656,634.6214,566187.3516,480,5443782,35959285,0.15138738159004,mut,MOCK,V
27,892.1656,638.3599,569522.7281,484,5475851,35959285,0.152279195762652,mut,MOCK,V
28,892.1656,611.0976,545200.2425,453,5241995,35959285,0.145775840648667,mut,MOCK,V
29,892.1656,637.1386,568433.1586,444,5465375,35959285,0.151987866277096,mut,MOCK,V
30,892.1656,493.1127,439938.221,338,4229921,35959285,0.117630842771206,mut,MOCK,V
31,892.1656,585.1967,522092.3419,408,5019817,35959285,0.139597241713788,mut,MOCK,V
32,892.1656,629.6391,561742.3325,477,5401044,35959285,0.150198870750628,mut,MOCK,V
33,892.1656,589.241,525700.5267,417,5054509,35959285,0.140561999494706,mut,MOCK,V
1,892.1656,566.2488,505187.686,400,4857282,36901377,0.131628746537019,mut,MOCK,V
2,892.1656,584.8195,521755.8816,410,5016582,36901377,0.135945658613227,mut,MOCK,V
3,892.1656,577.301,515048.1026,413,4952088,36901377,0.134197918955707,mut,MOCK,V
4,892.1656,564.6927,503799.4106,405,4843934,36901377,0.131267025618041,mut,MOCK,V
5,892.1656,538.8134,480710.7511,403,4621941,36901377,0.125251179651101,mut,MOCK,V
6,892.1656,599.4791,534834.6676,450,5142332,36901377,0.139353390525237,mut,MOCK,V
7,892.1656,717.8957,640481.8242,643,6158109,36901377,0.166880195283769,mut,MOCK,V
8,892.1656,568.8915,507545.4037,520,4879951,36901377,0.132243059656012,mut,MOCK,V
9,892.1656,611.0057,545118.2855,463,5241207,36901377,0.142032829831797,mut,MOCK,V
10,892.1656,496.6687,443110.7237,382,4260424,36901377,0.115454336568524,mut,MOCK,V
11,892.1656,623.4528,556223.1369,495,5347978,36901377,0.144926244893246,mut,MOCK,V
12,892.1656,601.0936,536275.0501,448,5156181,36901377,0.139728688173344,mut,MOCK,V
13,892.1656,582.6722,519840.0865,416,4998162,36901377,0.13544649024886,mut,MOCK,V
14,892.1656,604.4915,539306.5203,455,5185328,36901377,0.140518550296917,mut,MOCK,V
15,892.1656,587.3038,523972.2548,404,5037892,36901377,0.136523143838237,mut,MOCK,V
16,892.1656,609.6358,543896.1081,416,5229456,36901377,0.14171438643062,mut,MOCK,V
17,892.1656,647.0957,577316.5404,463,5550787,36901377,0.15042221866138,mut,MOCK,V
18,892.1656,569.8503,508400.8551,409,4888176,36901377,0.132465951067354,mut,MOCK,V
19,892.1656,631.249,563178.6588,475,5414854,36901377,0.146738534987461,mut,MOCK,V
20,892.1656,679.2582,606010.8247,615,5826677,36901377,0.1578986334304,mut,MOCK,V
21,892.1656,642.9003,573573.5635,472,5514799,36901377,0.149446970501941,mut,MOCK,V
22,892.1656,526.7574,469954.8408,370,4518525,36901377,0.122448682606072,mut,MOCK,V
23,892.1656,634.7058,566262.6522,463,5444506,36901377,0.147542082237202,mut,MOCK,V
24,892.1656,581.437,518738.1403,398,4987567,36901377,0.135159373591939,mut,MOCK,V
25,892.1656,579.0086,516571.5861,395,4966736,36901377,0.134594868912344,mut,MOCK,V
26,892.1656,564.0139,503193.7822,430,4838111,36901377,0.131109226628589,mut,MOCK,V
1,892.1656,462.4931,412620.4594,405,3967266,35068475,0.113129128084412,mut,MOCK,W
2,892.1656,453.7241,404797.0053,370,3892045,35068475,0.110984153146095,mut,MOCK,W
3,892.1656,475.1043,423871.7515,374,4075445,35068475,0.116213921477909,mut,MOCK,W
4,892.1656,493.7519,440508.4873,407,4235404,35068475,0.12077525469813,mut,MOCK,W
5,892.1656,326.9599,291702.3771,285,2804662,35068475,0.0799767312379566,mut,MOCK,W
6,892.1656,549.7906,490504.2917,445,4716104,35068475,0.134482722730315,mut,MOCK,W
7,892.1656,509.6725,454712.3088,442,4371971,35068475,0.124669550073107,mut,MOCK,W
8,892.1656,497.6189,443958.4786,428,4268575,35068475,0.121721146984578,mut,MOCK,W
9,892.1656,475.6093,424322.3066,370,4079777,35068475,0.116337451229345,mut,MOCK,W
10,892.1656,559.4902,499157.9237,394,4799307,35068475,0.136855309505189,mut,MOCK,W
11,892.1656,552.2786,492723.993,474,4737446,35068475,0.135091303514054,mut,MOCK,W
12,892.1656,412.4044,367933.03,364,3537605,35068475,0.10087706978989,mut,MOCK,W
13,892.1656,589.9981,526376.0473,496,5061004,35068475,0.144317766883219,mut,MOCK,W
14,892.1656,538.1752,480141.4209,443,4616467,35068475,0.131641509931641,mut,MOCK,W
15,892.1656,543.6571,485032.2108,473,4663491,35068475,0.132982429375671,mut,MOCK,W
16,892.1656,548.0654,488965.1032,457,4701305,35068475,0.134060719777521,mut,MOCK,W
17,892.1656,464.8073,414685.0875,387,3987117,35068475,0.113695192049269,mut,MOCK,W
18,892.1656,615.3877,549027.7765,539,5278796,35068475,0.150528245097627,mut,MOCK,W
19,892.1656,498.3481,444609.0377,401,4274830,35068475,0.121899512311271,mut,MOCK,W
20,892.1656,591.121,527377.8355,474,5070636,35068475,0.144592429525379,mut,MOCK,W
21,892.1656,470.5832,419838.1811,416,4036663,35068475,0.115108027936772,mut,MOCK,W
22,892.1656,476.7736,425361.017,385,4089764,35068475,0.116622236923619,mut,MOCK,W
23,892.1656,611.5554,545608.675,505,5245922,35068475,0.149590821956187,mut,MOCK,W
24,892.1656,447.5097,399252.7441,379,3838738,35068475,0.109464069937458,mut,MOCK,W
25,892.1656,582.8116,519964.478,476,4999358,35068475,0.142559891754631,mut,MOCK,W
26,892.1656,487.3071,434758.6058,407,4180120,35068475,0.119198796069689,mut,MOCK,W
27,892.1656,587.0157,523715.2554,477,5035421,35068475,0.143588251271263,mut,MOCK,W
28,892.1656,543.2244,484646.1396,440,4659779,35068475,0.132876579320886,mut,MOCK,W
29,892.1656,587.2963,523965.5984,465,5037828,35068475,0.143656888416163,mut,MOCK,W
30,892.1656,394.7209,352156.426,299,3385916,35068475,0.0965515609104759,mut,MOCK,W
31,892.1656,432.0739,385481.4846,366,3706330,35068475,0.105688371108239,mut,MOCK,W
32,892.1656,554.9175,495078.2785,449,4760082,35068475,0.13573678353564,mut,MOCK,W
33,892.1656,479.3315,427643.1222,415,4111706,35068475,0.117247927091212,mut,MOCK,W
