wt_c1,wt_c2,wt_c3,wt_c13,wt_c4,mut_c1,mut_c2,mut_c3,mut_c13,mut_c4
16,9,5,30,161,38,19,12,69,77
191,191,191,191,191,146,146,146,146,146
