genotype,sex,expression
+/+,male,1
+/+,male,1
+/+,male,1
+/-,male,0.657084716864972
+/-,male,0.36983264469757
+/-,male,1.18906288256967
-/-,male,0.254516615831271
-/-,male,0.0384371563064471
-/-,male,0.469227084188004
