,groupA,groupB,p value,p value corrected,h,sig. level
0,12h,18h,7.371369600471768e-05,0.00022114108801415304,True,***
1,12h,L3,0.01040837387586624,0.015612560813799359,True,*
2,12h,Adult,7.371369600471768e-05,0.00022114108801415304,True,***
3,18h,L3,0.029970029970030065,0.03596403596403608,True,*
4,18h,Adult,0.03896103896103896,0.03896103896103896,True,*
5,L3,Adult,0.000666000666000666,0.001332001332001332,True,**
