,genotype,activity_ratio,speed_ratio
0,15V,0.8664656860079396,0.40056054655073525
1,15V,0.5802650957290133,0.14854044860318255
2,15V,0.8516020818948007,0.39534953181649957
3,15V,1.0,0.46327831051726104
4,15V,0.9040088171025011,0.49073811984417887
5,15V,1.0,0.6824278185950426
6,15V,0.9316741090972769,0.6239410406642933
7,15V,0.8794567062818336,0.35813059822698196
8,15V,1.0,0.5569306008342875
9,15V,,0.5741796059966635
10,15V,0.8892389356022727,0.4981484512658704
11,15V,0.9363420427553444,0.7438273360693187
12,15V,0.8734477838535909,0.29981330586669963
13,15V,1.0,0.5413991440920007
14,15V,1.0,0.529712614111963
15,15V,0.8527397260273972,0.5423132424499532
16,15V,0.9322072072072072,0.35116480243066495
17,15V,1.0,0.7199877329266984
18,15V,0.8804368615518365,0.5713415525218015
19,15V,0.8631406761177753,0.3972628713061232
20,15V,,0.5188106367254285
21,15V,0.9438174450297385,0.5982914933349999
22,15V,0.9429422548120989,0.45801845969956057
23,15V,1.0,0.9625206856519282
24,15V,0.8465407447791256,0.31237627651719774
25,15V,0.9058732010890704,0.5869462439330055
26,15V,1.0,0.6786271025519031
27,15V,0.8710986797929501,0.5265789148391085
28,15V,0.8646474207288216,0.4693925355205817
29,15V,0.865870899460937,0.40995602266891634
30,15V,0.9769357495881383,0.7326981526542452
31,15V,0.9459725570025637,0.6884712965216002
32,15V,0.9463845521774856,0.5798491044341185
33,15V,1.0,0.7169851397382556
34,15V,0.8540630182421227,0.4352422241442597
35,15V,0.8693891201558559,0.4161811840778007
36,15V,1.0,0.872260764516477
37,15V,1.0,0.6381688700725481
38,15V,0.8606173994387278,0.5106875519287016
39,15V,0.8618522131915743,0.35469267967493323
40,15V,0.946068012752391,0.659698714885174
41,15V,0.9729907773386035,0.7734478568482256
42,15V,0.8578201099439435,0.46111057950591355
43,15V,,0.47911037624851355
44,15V,0.8955231645290066,0.5372126036894029
45,15V,1.0,0.7445459073689518
46,15V,0.8904854820713761,0.6000456687675206
47,15V,1.0,0.9791680451829117
48,15V,0.807383782302971,0.5665984924870849
49,15V,1.0,0.9101971105876614
50,15V,0.0,0.5156990381726917
51,15V,0.515527950310559,0.4701377352630953
52,15V,0.8827425009738995,0.49883386389902706
53,15V,0.9358228980322003,0.6159265694853063
54,3V,0.8449058476768734,0.3451199618944517
55,3V,0.800383877159309,0.274468569300331
56,3V,0.7947494033412887,0.6116586993527457
57,3V,1.0,0.49355317824359235
58,3V,0.9566744730679158,0.7857016781476351
59,3V,0.8768312533912099,0.5245514983285393
60,3V,0.8893827177802937,0.5156520628257548
61,3V,0.9205607476635513,0.6217544693387254
62,3V,0.9101455348978971,0.4648131044392544
63,3V,0.9000479013655966,0.6005354167816733
64,3V,1.0,0.8578836539562453
65,3V,0.9242424242424242,0.3482188090402214
66,3V,0.8743098944623411,0.36076541321368405
67,3V,0.8369318181818182,0.5074685532515227
68,3V,0.8619266055045871,0.5032228744404842
69,3V,1.0,0.6239557171417767
70,3V,0.9098798397863819,0.6185869971347822
71,3V,0.9531328320802005,0.5518478991332816
72,3V,0.8656147986942329,0.4159793240180167
73,3V,0.9184838728927571,0.6028424817836933
74,3V,0.9367588932806324,0.5050667684727747
75,3V,0.8843373493975903,0.5716683123743929
76,3V,0.9294090056285178,0.4855908535510247
77,3V,0.9253347064881565,0.5674854101470077
78,3V,0.810948905109489,0.2645326392888185
79,3V,0.8410580505178695,0.3495577736198767
80,3V,0.8898763523956723,0.5372344150826065
81,3V,0.8498233215547704,0.5362599119147722
82,3V,0.812964213369345,0.3905813368180161
83,3V,0.9102021626704279,0.5076850712581024
84,3V,0.9619945286647791,0.45171571203794014
85,3V,0.9047469402698838,0.644683218676521
86,3V,0.9506423258958756,0.547665648154803
87,3V,0.9397905759162304,0.6077490999540764
88,3V,0.8637124715636972,0.48410924981302367
89,3V,0.8624940730203888,0.4737556774752817
90,3V,0.9970046082949309,0.7598480694131016
91,3V,0.8734610123119015,0.4665956131475832
92,3V,0.8608986615678776,0.5159322221924938
93,3V,0.8841201716738197,0.4971877681739586
94,3V,0.8492828500925355,0.5000595057214712
95,3V,0.8763882182520522,0.5657754499877391
96,3V,0.9591884328358209,0.7291469884611577
97,3V,0.8476487185783405,0.45064905608279565
98,3V,0.8299559471365638,0.489890507347973
99,3V,0.8939243027888446,0.5219781747428648
100,3V,0.978663672094329,0.6447688200648615
101,3V,0.9269517010543339,0.6439123288299429
102,3V,0.9365266635205285,0.3372375314191861
103,3V,0.7675488209069836,0.5262575219628457
104,3V,1.0,0.690237854163987
105,3V,1.0,0.5855750837710736
106,3V,0.9053369965292093,0.6101621078333135
107,3V,0.878596726638003,0.3629248088175314
