,groupA,groupB,p value,p value corrected,h,sig. level
0,L3,Adult,0.05219,0.06205,False,n.s.
1,L3,18h,0.05353,0.06205,False,n.s.
2,L3,12h,0.06205,0.06205,False,n.s.
3,Adult,18h,0.00034,0.00102,True,**
4,Adult,12h,0.010170000000000012,0.020340000000000025,True,*
5,18h,12h,0.00032999999999994145,0.00102,True,**
