,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
50,15V,dark,0.0,0.0,,1279.4705756795122,,,female
51,15V,dark,0.0,0.0,,1221.8989443544103,,,male
52,15V,dark,0.021102186226258625,0.005335635374759173,7.909905660377359,4981.044473716327,1.4288139093864674,0.7410636826012034,male
53,15V,dark,0.0659567587021822,0.01442131636668399,9.147120418848168,11061.763678903058,1.3393355897807726,0.6753009136366893,male
54,15V,dark,0.006285407486947828,0.0016662346798978045,7.544444444444445,299.1037639508059,0.725594391559512,0.6038031100907417,female
55,15V,dark,0.06251778305887581,0.015378111865940802,8.135449735449736,5915.940107512722,1.571652301312383,0.8650100830555902,female
56,15V,dark,0.0,0.0,,298.0624608665213,,,female
57,15V,dark,0.0,0.0,,501.82570689360386,,,male
58,15V,dark,0.015822518975370632,0.0039021112047497365,8.109722222222222,1931.3168057347311,1.3487308034185073,0.7720917224522752,male
59,15V,dark,0.22519381840549982,0.06251507325942807,7.2044646727351545,19557.175176845943,1.2904891093073272,0.7501626455022109,male
