,groupA,groupB,p value,p value corrected,h,sig. level
0,12h,18h,1.5240289839832174e-07,9.144173903899304e-07,True,***
1,12h,L3,9.999999999998899e-05,0.00019999999999997797,True,***
2,12h,Adult,0.11617999999999995,0.11617999999999995,False,n.s.
3,18h,L3,0.0010326820395469838,0.0012392184474563806,True,**
4,18h,Adult,0.00071445582281493,0.001071683734222395,True,**
5,L3,Adult,2e-05,6.000000000000001e-05,True,***
