,genotype,activity_ratio,speed_ratio
0,3V,,1.255552967695611
1,3V,,1.0627306113660107
2,3V,3.784053156146179,0.22634484139488978
3,3V,6.862068965517241,0.4221238493244558
4,3V,6.5,0.3793914439334722
5,3V,,0.6877710642894378
6,3V,,1.8858480376295812
7,3V,,7.358779044471679
8,3V,,8.7723530971717
9,3V,,88.85646727846553
10,3V,,0.48480933899630346
11,3V,4.429553264604811,0.2788732767481819
12,3V,7.471337579617835,0.9099513290414722
13,3V,,1.484028076007193
14,3V,7.21011673151751,0.654787166947566
15,3V,33.01724137931034,4.495170086442862
16,3V,11.113924050632912,1.4130885828419382
17,3V,5.2272727272727275,0.39274327630442324
18,3V,7.65748031496063,0.9192944749396916
19,3V,4.267857142857143,0.2669718021103808
20,3V,,26.135261512905856
21,3V,6.792035398230088,0.5612113882495972
22,3V,6.98671096345515,0.4557682619880083
23,3V,10.5,0.7411245605769374
24,3V,,15.496483490236507
25,3V,,0.7700019703739798
26,3V,,0.9612382796107943
27,3V,1.6445182724252492,0.05226418565417503
28,3V,15.311111111111112,2.6480603320445013
29,3V,,13.011252477528641
30,3V,,2.554171744234947
31,3V,7.503571428571429,0.5308828635921192
32,3V,,28.15380572325093
33,3V,,1.104555178345394
34,3V,5.1535714285714285,0.26883852325373797
35,3V,5.029629629629629,0.5180696794364316
36,3V,4.3944636678200695,0.24046063615471494
37,3V,7.009966777408638,0.4641239554115297
38,3V,,17.00051299611501
39,3V,,13.366223305700917
40,3V,,6.351911577388644
41,3V,5.924812030075188,0.4210664543156767
42,3V,4.3887043189368775,0.19492408131465752
43,3V,3.8805970149253732,0.2489164917533706
44,3V,,79.23716561476246
45,3V,,15.861952071407387
46,3V,7.851162790697674,0.9209996654276977
47,3V,,0.9914447613853583
48,3V,,18.24495083164173
49,3V,,25.44631653828132
50,3V,10.390243902439025,1.1851870985902337
51,3V,,0.5615310758689437
52,3V,,97.01194756970857
53,15V,6.108771929824561,0.5171944900379393
54,15V,7.614814814814815,1.2383791657505534
55,15V,7.557046979865772,0.9548636625880611
56,15V,24.13095238095238,3.4559369696457445
57,15V,7.7795275590551185,0.6522549963709997
58,15V,,41.12686424382472
59,15V,14.992647058823529,2.2981435432640795
60,15V,,11.685421691304619
61,15V,3.398496240601504,0.25090834024397324
62,15V,6.820069204152249,0.50442870858138
63,15V,5.395348837209302,0.303175018246419
64,15V,21.0,5.457392778177373
65,15V,5.076642335766423,0.5698646144202167
66,15V,6.764705882352941,0.45459086588651176
67,15V,9.836601307189543,1.6226648491690907
68,15V,,5.212925375288743
69,15V,,47.0828487632586
70,15V,12.576576576576576,2.166655772421657
71,15V,5.603921568627451,0.4682094052480659
72,15V,10.378205128205128,1.4925495107683
73,15V,6.704318936877076,0.5309328257444518
74,15V,,10.717471392025436
75,15V,6.704318936877076,0.6164401337220756
76,15V,,20.054738997634523
77,15V,5.023166023166024,0.43967947653438855
78,15V,5.134751773049645,0.40787507615807944
79,15V,,25.2489860916875
80,15V,8.164444444444445,0.5064430872207001
81,15V,,13.382756117402197
82,15V,10.217616580310882,1.6532190623063745
83,15V,5.601328903654485,0.40849604896987
84,15V,6.404255319148936,0.44691830857729564
85,15V,5.589655172413793,0.48893424603590463
86,15V,,40.937054468575084
87,15V,17.022988505747126,2.6711047594290256
88,15V,5.95016611295681,0.2702748824141386
89,15V,7.156146179401993,0.6251803151946737
90,15V,29.38095238095238,9.407122059228879
91,15V,8.016666666666667,0.4878595611203701
92,15V,5.333333333333333,0.3284533869600728
93,15V,8.134453781512605,1.0715467349519785
94,15V,4.502008032128514,0.2934989894963513
95,15V,,2.838062544168993
96,15V,5.725925925925926,0.7959046275440046
97,15V,,34.54676314928238
98,15V,40.535714285714285,2.412907326286405
99,15V,,90.36411148779308
100,15V,5.727891156462585,0.24597845290255246
101,15V,5.445182724252492,0.49016998511990517
102,15V,4.122923588039867,0.1654410767465546
103,15V,6.01328903654485,0.26221497403833494
104,15V,,35.46256491086075
105,3V,,1.38660268751199
106,3V,,1.4266932949926285
107,3V,,6.871762884994722
108,3V,,16.03220085243883
109,3V,,7.068194316076442
110,3V,,6.170084980078753
111,3V,,56.54361326434453
112,3V,,7.263518894423453
113,3V,9.433566433566433,1.2783427224989454
114,3V,,8.478684639422129
115,3V,,54.247531375186945
116,3V,,7.748698515602469
117,3V,,1.1474744402617365
118,3V,,7.075659645693675
119,3V,4.445182724252492,0.22585612055022275
120,3V,3.427007299270073,0.08957944132873631
121,3V,,9.503012909110804
122,3V,,2.0538847749436275
123,3V,1.4252491694352158,0.09363969970602347
124,3V,,5.29288198270699
125,3V,,21.65950245357886
126,3V,3.8421052631578947,0.11154570705064829
127,3V,5.381443298969073,1.1392610732321844
128,3V,,15.79030920370658
129,3V,,4.168712545353778
130,3V,6.845070422535211,0.5358478465960744
131,3V,,117.9123350468414
132,3V,,5.947591695114183
133,3V,,13.324885610485634
134,3V,,2.4240678277992282
135,3V,2.7109634551495017,0.12932252428739235
136,3V,,0.4232579688003502
137,3V,2.86159169550173,0.13879686726658708
138,3V,5.923588039867109,0.3984194861480262
139,3V,10.804123711340207,2.20550587226308
140,3V,,212.83815380052073
141,3V,6.085616438356165,0.459612308118962
142,3V,2.524916943521595,0.17097149501886172
143,3V,,1.1020999334023094
144,3V,,2.1846665077988514
145,3V,5.821548821548822,0.4151214023908665
146,3V,,12.33879773149434
147,3V,,65.11380663662287
148,3V,,0.4987748770475848
149,3V,6.639175257731959,0.39750332243910286
150,3V,,1.4977241915367288
151,3V,6.232558139534884,0.2915672234369201
152,3V,4.638297872340425,0.3625053188661845
153,3V,,120.3619390370172
154,3V,,4.74042777608143
155,3V,,78.61222866640999
156,3V,6.161016949152542,0.44944914670515096
157,3V,,0.7092588892953164
158,3V,,64.46437887613953
159,3V,,0.8417588311722789
160,3V,1.8016528925619835,0.08179781117171905
161,3V,,0.1976555048970337
162,3V,,24.621376755811465
163,3V,,0.41840985143840104
164,3V,,14.731276361193158
165,3V,8.063492063492063,0.9341671417987161
166,3V,1.3436426116838487,0.0781411005662953
167,3V,2.323024054982818,0.1557880965356775
168,3V,,28.172383397987467
