Adult;72h;48h;42h;36h;30h;24h;18h;12h;06h;L3
53;39;48;42;28;29;34;36;28;22;10
43;42;30;39;35;27;30;42;32;37;10
44;47;27;28;37;21;36;46;32;28;12
44;39;44;41;32;21;19;43;31;33;10
53;;;46;;19;;27;37;35;9
42;;;33;;19;;37;31;32;10
;;;42;;;;;28;46;8
;;;;;;;;36;30;10
;;;;;;;;30;8;
;;;;;;;;30;11;
;;;;;;;;30;8;
;;;;;;;;28;8;
;;;;;;;;34;26;
;;;;;;;;;25;
;;;;;;;;;28;
;;;;;;;;;34;
;;;;;;;;;27;
