,saccade_peak_s,saccade_start_idx,sacc_peak_idx,saccade_stop_idx,amplitude_deg,top_speed_degPs,saccade_duration_s,direction,id,category,Bodypart,abs_speed_degPs,median_abs_rot_vel_degPs,median_translational_vel_mPs
35,2.48,61,62.0,62,-1068.133160589447,-471.16948441657564,0.04957300318729438,left,28,free,head,471.16948441657564,495.8431703996674,8.631109314647812
36,3.52,76,88.0,94,-7366.9434374903885,-362.35854257930004,0.7236832384340129,left,28,associated,head,362.35854257930004,145.02676381509298,0.002013988714020059
37,5.96,142,149.0,152,-9369.788359491127,-723.3164565818597,0.43262078740231,left,28,free,head,723.3164565818597,368.86067720066256,0.9107096444461071
38,6.56,163,164.0,165,1136.8758715616143,258.25676681871823,0.08149546565564038,right,28,free,head,258.25676681871823,237.79891181204036,0.5417725063825887
39,6.68,156,167.0,169,5451.921319026769,264.36360323416375,0.5108587177306504,right,28,free,head,264.36360323416375,160.87139931970427,0.6150017292284967
40,6.88,139,172.0,196,-15803.897906138429,-773.360295455923,2.2662259554169215,left,28,free,head,773.360295455923,261.3101850264409,0.811053968616837
41,7.32,179,183.0,184,-6047.166054192345,-645.0507618207721,0.21097054707024995,left,28,free,head,645.0507618207721,496.6229257249139,0.012420873767068972
42,7.56,185,189.0,194,7153.197576904463,578.7116574573683,0.339800707339972,right,28,free,head,578.7116574573683,424.43016011590515,6.419363162733484
43,8.4,199,210.0,218,-16872.76919438325,-828.6966594522976,0.7937538995303589,left,28,associated,head,828.6966594522976,307.69027913227944,0.00032552740127649195
44,0.56,7,14.0,25,-2493.1770704258934,-340.48928412310784,0.7211464540893886,left,30,associated,head,340.48928412310784,95.98880642339722,1.4100721663131295
45,3.48,67,87.0,100,19895.308308133903,637.028141333742,1.3210350568140052,right,30,associated,head,637.028141333742,188.21287884223193,0.16750892822598193
46,7.44,174,186.0,190,-9280.777048621905,-532.8221633204921,0.6516519647209009,left,30,free,head,532.8221633204921,173.61000245550287,1.097421625572359
47,8.04,195,201.0,214,19022.734249170946,917.9735049551322,0.7849272007642116,right,30,free,head,917.9735049551322,344.0492120990591,1.5124550054696024
48,3.92,91,98.0,104,-7990.983796302882,-518.4790199203354,0.5501013598616641,left,32,free,head,518.4790199203354,212.18027592139117,0.9074070867800959
