saccade_duration_msec,saccade_type,species,dataset,bodypart,id
236.9975555200358,saccade,gentoo,confined,body,confined body gentoo
466.405173570597,saccade,gentoo,confined,body,confined body gentoo
57.82193903170878,saccade,gentoo,confined,body,confined body gentoo
1062.253034134967,saccade,gentoo,confined,body,confined body gentoo
49.49668844101211,saccade,gentoo,confined,body,confined body gentoo
1829.2730360336625,saccade,gentoo,confined,body,confined body gentoo
94.10053229260257,saccade,gentoo,confined,body,confined body gentoo
283.3696876401416,saccade,gentoo,confined,body,confined body gentoo
3600.0,intersaccade,gentoo,confined,body,confined body gentoo
160.0,intersaccade,gentoo,confined,body,confined body gentoo
2920.0,intersaccade,gentoo,confined,body,confined body gentoo
6120.0,intersaccade,gentoo,confined,body,confined body gentoo
160.0,intersaccade,gentoo,confined,body,confined body gentoo
200.0,intersaccade,gentoo,confined,body,confined body gentoo
1880.0,intersaccade,gentoo,confined,body,confined body gentoo
400.0,intersaccade,gentoo,confined,body,confined body gentoo
400.0,intersaccade,gentoo,confined,body,confined body gentoo
320.0,intersaccade,gentoo,confined,body,confined body gentoo
760.0,intersaccade,gentoo,confined,body,confined body gentoo
10960.0,intersaccade,gentoo,confined,body,confined body gentoo
4240.0,intersaccade,gentoo,confined,body,confined body gentoo
5960.0,intersaccade,gentoo,confined,body,confined body gentoo
1320.0,intersaccade,gentoo,confined,body,confined body gentoo
680.0,intersaccade,gentoo,confined,body,confined body gentoo
200.0,intersaccade,gentoo,confined,body,confined body gentoo
9080.0,intersaccade,gentoo,confined,body,confined body gentoo
480.0,intersaccade,gentoo,confined,body,confined body gentoo
8840.0,intersaccade,gentoo,confined,body,confined body gentoo
360.0,intersaccade,gentoo,confined,body,confined body gentoo
5160.0,intersaccade,gentoo,confined,body,confined body gentoo
880.0,intersaccade,gentoo,confined,body,confined body gentoo
5720.0,intersaccade,gentoo,confined,body,confined body gentoo
280.0,intersaccade,gentoo,confined,body,confined body gentoo
320.0,intersaccade,gentoo,confined,body,confined body gentoo
1160.0,intersaccade,gentoo,confined,body,confined body gentoo
5520.0,intersaccade,gentoo,confined,body,confined body gentoo
560.0,intersaccade,gentoo,confined,body,confined body gentoo
9800.0,intersaccade,gentoo,confined,body,confined body gentoo
200.0,intersaccade,gentoo,confined,body,confined body gentoo
4680.0,intersaccade,gentoo,confined,body,confined body gentoo
120.0,intersaccade,gentoo,confined,body,confined body gentoo
440.0,intersaccade,gentoo,confined,body,confined body gentoo
400.0,intersaccade,gentoo,confined,body,confined body gentoo
8600.0,intersaccade,gentoo,confined,body,confined body gentoo
680.0,intersaccade,gentoo,confined,body,confined body gentoo
480.0,intersaccade,gentoo,confined,body,confined body gentoo
400.0,intersaccade,gentoo,confined,body,confined body gentoo
9240.0,intersaccade,gentoo,confined,body,confined body gentoo
720.0,intersaccade,gentoo,confined,body,confined body gentoo
5880.0,intersaccade,gentoo,confined,body,confined body gentoo
280.0,intersaccade,gentoo,confined,body,confined body gentoo
240.0,intersaccade,gentoo,confined,body,confined body gentoo
320.0,intersaccade,gentoo,confined,body,confined body gentoo
160.0,intersaccade,gentoo,confined,body,confined body gentoo
960.0,intersaccade,gentoo,confined,body,confined body gentoo
360.0,intersaccade,gentoo,confined,body,confined body gentoo
120.0,intersaccade,gentoo,confined,body,confined body gentoo
1072.4307096102189,saccade,gentoo,confined,head,confined head gentoo
537.9782090976175,saccade,gentoo,confined,head,confined head gentoo
671.1462950754151,saccade,gentoo,confined,head,confined head gentoo
999.9843556980436,saccade,gentoo,confined,head,confined head gentoo
242.0419661511784,saccade,gentoo,confined,head,confined head gentoo
