species,angle_deg,sacc_dur_sec,speed_deg_per_sec
gentoo,36.9018133672464,0.246577950649353,149.655771207713
gentoo,35.4560255623071,0.25533789471874,138.859238270773
gentoo,32.5872467290284,0.214084620751003,152.21666374125
gentoo,30.3190577232709,0.249460524641461,121.538498994368
gentoo,33.4199906122736,0.426556995196757,78.3482418260614
gentoo,55.3584812657256,0.490678360074684,112.820303013362
gentoo,47.3044968372969,0.42476027702542,111.367515739863
gentoo,37.2231560564564,0.526582351599259,70.6881951956947
gentoo,41.2865476011617,0.25288162932851,163.264321377524
gentoo,43.6445289411978,0.284483619153569,153.416667965117
gentoo,47.1509950724048,0.889899865545131,52.9846074799901
gentoo,54.8837631009593,0.34528109585695,158.953860374961
gentoo,57.7284358032675,0.386155566286933,149.495283360418
gentoo,49.3889401270217,0.343409709982382,143.819288422437
gentoo,29.7897883933673,0.249374244430754,119.458160009139
gentoo,45.405163396704,0.344303823386088,131.875280820767
gentoo,46.6905451694983,0.279675679629133,166.945317631525
gentoo,44.0814533406434,0.282794861842416,155.877843937657
gentoo,31.6876893481452,0.703723685908873,45.0285957154049
gentoo,52.0618810327293,0.386555036745157,134.681678115223
gentoo,53.3587828935795,0.436262420184376,122.308914141696
gentoo,41.5516797733517,0.592172035654285,70.1682573163753
gentoo,45.9862543052195,0.3317127773139,138.632749324886
gentoo,51.0628096479907,0.512579284901384,99.6193391970859
gentoo,54.5240940011384,0.555110726594023,98.2220147963638
gentoo,52.8692920394657,0.32154837679675,164.420957636755
gentoo,50.074553174124,0.516979775615395,96.8597913032806
gentoo,30.3731365576699,0.260535282439105,116.579744107284
gentoo,34.0317779542816,0.215239710914235,158.111055853639
gentoo,32.9298622638876,0.814380897016846,40.4354551838247
gentoo,41.1395936318082,0.273068094784639,150.656903598547
gentoo,59.1302755417541,0.505335438550291,117.011931146937
gentoo,62.9266498451322,0.356947321840679,176.291138761419
gentoo,56.6872723239285,0.535543002857791,105.850084907152
gentoo,19.9526947142087,0.46725145856955,42.7022630925371
gentoo,35.5754154535708,0.2456306908226,144.832941414736
gentoo,51.788612237691,0.292966284593278,176.773284030238
gentoo,32.9595566684708,0.857959337138201,38.4162223566565
gentoo,51.2056970531256,0.314679818501577,162.723168257036
gentoo,43.2933142583833,0.278673381380895,155.355039809882
gentoo,46.6961200535084,0.296563487584566,157.457414713579
gentoo,52.242889275472,0.320889918778153,162.806265383457
gentoo,51.2265803894918,0.318111738811748,161.033291574967
gentoo,38.7725847118349,0.623015651711504,62.2337249559006
gentoo,54.9618785389023,0.443008607024331,124.065035458518
gentoo,28.5908140667703,0.22644269598214,126.260703365876
gentoo,34.7941084155764,0.247957513578353,140.322863838452
gentoo,18.1176367132098,0.782889811306495,23.1420008940657
gentoo,46.8802521707257,0.326064358129702,143.776070588119
gentoo,31.7154574304064,0.253101145527429,125.307443252837
gentoo,27.3280606045435,0.489940299739866,55.7783481355857
gentoo,40.5030525350912,0.313677857333437,129.123084681227
gentoo,43.4358717620149,0.289723870038885,149.921619354958
gentoo,39.5192210193284,0.227517510163155,173.697492518219
gentoo,33.4995867754637,0.384625605037324,87.0966111895044
gentoo,47.0482603397998,0.420349052368571,111.926647805422
gentoo,36.0164772190632,0.281776143997452,127.81946941324
gentoo,61.81515516306,0.424522125860472,145.611150508977
gentoo,57.2931606335732,0.44600895378732,128.457422540655
gentoo,50.1672580324943,0.314982006307302,159.270234578258
gentoo,50.7395253304783,0.453159280290568,111.96841273546
gentoo,49.9015653752516,0.368850908790273,135.289256949142
gentoo,62.5385634601914,0.514370680897347,121.582675262691
gentoo,53.4355225924167,0.417272966552916,128.058913171027
gentoo,52.0370505019779,0.905483064768964,57.468827995425
gentoo,32.8328628310234,0.245512607811467,133.7318809152
gentoo,45.8303142646173,0.346394359556643,132.306756736098
gentoo,40.9682770974364,0.287385448053154,142.55515501905
gentoo,23.8721293253928,0.156582288408026,152.457404781224
gentoo,22.4798560417037,0.505759618352507,44.4477084092458
gentoo,45.0899079323855,0.315993212149078,142.692647179754
gentoo,29.2345353454747,0.218894707507707,133.555240683219
gentoo,24.5491247802022,0.337139823811382,72.8158557558496
gentoo,31.9705075399603,0.231275395876582,138.235662374657
gentoo,50.6728994680599,0.326167498375207,155.358518921981
gentoo,48.0752643022132,0.314351417887792,152.934777979509
gentoo,59.9413144198976,0.504633338808708,118.781915125547
gentoo,48.6409109912166,0.311795502915796,156.00260599125
gentoo,35.0893653861069,0.268637414126715,130.619800299133
gentoo,61.5183712766672,0.346012002827244,177.792593245333
gentoo,57.8112035101642,0.50118226532195,115.349659216348
