mechanic,replicate,final_infected_count
ER,26,3122
ER,27,3650
ER,28,877
ER,29,2435
ER,30,3149
ER,31,3192
ER,32,3569
ER,33,2638
ER,34,2904
ER,35,4458
ER,36,4028
ER,37,3533
ER,38,4108
ER,39,2129
ER,40,1751
ER,41,3347
ER,42,2848
ER,43,3572
ER,44,4327
ER,45,1501
ER,46,1176
ER,47,5863
ER,48,4035
ER,49,2494
ER,50,4175
ER,51,3240
ER,52,2567
ER,53,3043
ER,54,704
ER,55,3704
ER,56,3497
ER,57,3817
ER,58,4499
ER,59,2921
ER,60,2361
ER,61,651
ER,62,3857
ER,63,2234
ER,64,913
ER,65,3159
ER,66,5113
ER,67,3001
ER,68,3118
ER,69,3637
ER,70,3039
ER,71,4046
ER,72,3755
ER,73,2487
ER,74,3878
ER,75,800
ER,76,1461
ER,77,3348
ER,78,3511
ER,79,4012
ER,80,2955
ER,81,2967
ER,82,2653
ER,83,1668
ER,84,2967
ER,85,4177
ER,86,2888
ER,87,2633
ER,88,3175
ER,89,2656
ER,90,914
ER,91,2375
ER,92,2124
ER,93,2652
ER,94,2048
ER,95,2805
ER,96,4173
ER,97,2049
ER,98,2664
ER,99,4543
ER,100,2720
ER,101,2893
ER,102,3197
ER,103,2384
ER,104,3211
ER,105,5343
ER,106,3597
ER,107,3490
ER,108,6417
ER,109,3004
ER,110,1028
ER,111,4473
ER,112,3451
ER,113,2038
ER,114,4989
ER,115,4289
ER,116,2281
ER,117,2576
ER,118,4708
ER,119,2498
ER,120,3354
ER,121,3533
ER,122,2097
ER,123,2492
ER,124,3847
ER,125,3169
ER,126,5151
ER,127,3817
ER,128,3659
ER,129,3966
ER,130,1877
ER,131,3753
ER,132,5116
ER,133,3297
ER,134,3052
ER,135,3614
ER,136,1091
ER,137,2729
ER,138,369
ER,139,1701
ER,140,2667
ER,141,2142
ER,142,4121
ER,143,2081
ER,144,3190
ER,145,4753
ER,146,3390
ER,147,3031
ER,148,2955
ER,149,6440
ER,150,3612
ER,151,1292
ER,152,1149
ER,153,3296
ER,154,2252
ER,155,4606
ER,156,3111
ER,157,3666
ER,158,5589
ER,159,1506
ER,160,1908
ER,161,4924
ER,162,3231
ER,163,2772
ER,164,2631
ER,165,1933
ER,166,3369
ER,167,2092
ER,168,3317
ER,169,3727
ER,170,2931
ER,171,3719
ER,172,3301
ER,173,6399
ER,174,4163
ER,175,1868
ER,176,2553
ER,177,3891
ER,178,1986
ER,179,4663
ER,180,4811
ER,181,5177
ER,182,2930
ER,183,1740
ER,184,3697
ER,185,7630
ER,186,5007
ER,187,2998
ER,188,3166
ER,189,4931
ER,190,2440
ER,191,2678
ER,192,3344
ER,193,3203
ER,194,4114
ER,195,2337
ER,196,3963
ER,197,1746
ER,198,3698
ER,199,3058
ER+IE,0,4185
ER+IE,1,4598
ER+IE,2,4566
ER+IE,3,4211
ER+IE,4,4758
ER+IE,5,7896
ER+IE,6,5566
ER+IE,7,5398
ER+IE,8,9543
ER+IE,9,4975
ER+IE,10,2014
ER+IE,11,7029
ER+IE,12,6186
ER+IE,13,3606
ER+IE,14,6724
ER+IE,15,7483
ER+IE,16,3496
ER+IE,17,4779
ER+IE,18,7048
ER+IE,19,4467
ER+IE,20,4429
ER+IE,21,5410
ER+IE,22,3535
ER+IE,23,3844
ER+IE,24,6672
ER+IE,25,5188
ER+IE,26,7651
ER+IE,27,6128
ER+IE,28,5658
ER+IE,29,6242
ER+IE,30,2952
ER+IE,31,5626
ER+IE,32,8337
ER+IE,33,4741
ER+IE,34,4842
ER+IE,35,6321
ER+IE,36,1754
ER+IE,37,4246
ER+IE,38,556
ER+IE,39,3028
ER+IE,40,4744
ER+IE,41,3457
ER+IE,42,6008
ER+IE,43,3617
ER+IE,44,5710
ER+IE,45,7130
ER+IE,46,5142
ER+IE,47,4776
ER+IE,48,5279
ER+IE,49,8984
ER+IE,50,6024
ER+IE,51,1679
ER+IE,52,1964
ER+IE,53,5721
ER+IE,54,3754
ER+IE,55,7132
ER+IE,56,5565
ER+IE,57,6037
ER+IE,58,8353
ER+IE,59,2589
ER+IE,60,3466
ER+IE,61,6799
ER+IE,62,5955
ER+IE,63,4619
ER+IE,64,3936
ER+IE,65,3135
ER+IE,66,5399
ER+IE,67,4384
ER+IE,68,4730
ER+IE,69,5917
ER+IE,70,5046
ER+IE,71,6423
ER+IE,72,6265
ER+IE,73,8546
ER+IE,74,6043
ER+IE,75,3317
ER+IE,76,4294
ER+IE,77,5857
ER+IE,78,3013
ER+IE,79,7212
ER+IE,80,7205
ER+IE,81,7427
ER+IE,82,4978
ER+IE,83,3449
ER+IE,84,5820
ER+IE,85,10649
ER+IE,86,7176
ER+IE,87,5112
ER+IE,88,5273
ER+IE,89,7172
ER+IE,90,3892
ER+IE,91,3916
ER+IE,92,5094
ER+IE,93,5003
ER+IE,94,6656
ER+IE,95,4435
ER+IE,96,5995
ER+IE,97,3452
ER+IE,98,6231
ER+IE,99,3477
ER+IE,100,5656
ER+IE,101,3306
ER+IE,102,4036
ER+IE,103,6105
ER+IE,104,6963
ER+IE,105,6736
ER+IE,106,6211
ER+IE,107,3590
ER+IE,108,2384
ER+IE,109,2439
ER+IE,110,4296
ER+IE,111,5998
ER+IE,112,4625
ER+IE,113,6541
ER+IE,114,4421
ER+IE,115,4441
ER+IE,116,2447
ER+IE,117,5592
ER+IE,118,6195
ER+IE,119,6977
ER+IE,120,7658
ER+IE,121,4589
ER+IE,122,7838
ER+IE,123,5467
ER+IE,124,4931
ER+IE,125,4979
ER+IE,126,1589
ER+IE,127,4253
ER+IE,128,6860
ER+IE,129,4588
ER+IE,130,5121
ER+IE,131,8167
ER+IE,132,2660
ER+IE,133,3444
ER+IE,134,3785
ER+IE,135,6050
ER+IE,136,3815
ER+IE,137,4543
ER+IE,138,7334
ER+IE,139,7177
ER+IE,140,3208
ER+IE,141,3626
ER+IE,142,7462
ER+IE,143,4509
ER+IE,144,6047
ER+IE,145,6144
ER+IE,146,3620
ER+IE,147,4093
ER+IE,148,5029
ER+IE,149,5862
ER+IE,150,3522
ER+IE,151,5124
ER+IE,152,8632
ER+IE,153,5988
ER+IE,154,5858
ER+IE,155,6244
ER+IE,156,3191
ER+IE,157,7219
ER+IE,158,6841
ER+IE,159,7826
ER+IE,160,4877
ER+IE,161,1369
ER+IE,162,4545
ER+IE,163,2241
ER+IE,164,7637
ER+IE,165,6597
ER+IE,166,6100
ER+IE,167,4889
ER+IE,168,6809
ER+IE,169,2646
ER+IE,170,6299
ER+IE,171,4662
ER+IE,172,2466
ER+IE,173,6880
ER+IE,174,4673
ER+IE,175,4086
ER+IE,176,4499
ER+IE,177,4247
ER+IE,178,2013
ER+IE,179,6863
ER+IE,180,4027
ER+IE,181,3921
ER+IE,182,1726
ER+IE,183,2084
ER+IE,184,3580
ER+IE,185,3946
ER+IE,186,7694
ER+IE,187,2245
ER+IE,188,5121
ER+IE,189,5493
ER+IE,190,7404
ER+IE,191,5673
ER+IE,192,4574
ER+IE,193,2698
ER+IE,194,2539
ER+IE,195,2435
ER+IE,196,2279
ER+IE,197,3939
ER+IE,198,6841
ER+IE,199,3637
MK,0,5085
MK,1,7073
MK,2,6377
MK,3,4668
MK,4,12139
MK,5,6851
MK,6,9961
MK,7,4287
MK,8,7514
MK,9,8288
MK,10,5478
MK,11,9377
MK,12,8754
MK,13,7429
MK,14,3680
MK,15,4049
MK,16,2148
MK,17,8606
MK,18,7494
MK,19,3978
MK,20,4003
MK,21,6101
MK,22,7553
MK,23,7953
MK,24,5901
MK,25,7761
MK,26,9129
MK,27,9633
MK,28,6617
MK,29,1172
MK,30,6809
MK,31,12122
MK,32,2653
MK,33,4337
MK,34,2721
MK,35,6749
MK,36,4894
MK,37,8310
MK,38,7835
MK,39,11395
MK,40,5991
MK,41,3315
MK,42,6257
MK,43,5852
MK,44,3760
MK,45,6606
MK,46,10002
MK,47,5182
MK,48,7369
MK,49,6094
MK,50,6042
MK,51,8895
MK,52,5576
MK,53,6100
MK,54,9162
MK,55,5168
MK,56,7181
MK,57,8476
MK,58,6372
MK,59,6332
MK,60,7082
MK,61,7775
MK,62,7722
MK,63,3840
MK,64,8569
MK,65,6927
MK,66,9713
MK,67,8486
MK,68,10199
MK,69,3012
MK,70,6368
MK,71,4688
MK,72,3876
MK,73,7108
MK,74,6362
MK,75,2661
MK,76,4651
MK,77,10328
MK,78,1984
MK,79,7301
MK,80,9427
MK,81,8428
MK,82,1006
MK,83,1130
MK,84,6525
MK,85,5249
MK,86,12460
MK,87,5516
MK,88,3640
MK,89,10109
MK,90,9866
MK,91,10309
MK,92,4962
MK,93,4552
MK,94,781
MK,95,1995
MK,96,3818
MK,97,3885
MK,98,3577
MK,99,5898
MK,100,9934
MK,101,3585
MK,102,9861
MK,103,7396
MK,104,3717
MK,105,6029
MK,106,6329
MK,107,5637
MK,108,10356
MK,109,5289
MK,110,7948
MK,111,6166
MK,112,4847
MK,113,5184
MK,114,6194
MK,115,6335
MK,116,7361
MK,117,4776
MK,118,9880
MK,119,9202
MK,120,7736
MK,121,11269
MK,122,1724
MK,123,4544
MK,124,5205
MK,125,8044
MK,126,5487
MK,127,3849
MK,128,3882
MK,129,7229
MK,130,8108
MK,131,912
MK,132,4635
MK,133,6777
MK,134,1660
MK,135,3311
MK,136,5297
MK,137,6444
MK,138,11336
MK,139,3254
MK,140,6446
MK,141,6599
MK,142,7952
MK,143,5910
MK,144,4515
MK,145,8234
MK,146,9317
MK,147,9123
MK,148,5367
MK,149,5105
MK,150,9789
MK,151,5227
MK,152,2480
MK,153,4802
MK,154,7799
MK,155,5906
MK,156,7751
MK,157,6982
MK,158,3698
MK,159,8620
MK,160,7323
MK,161,7874
MK,162,9705
MK,163,7245
MK,164,4682
MK,165,8304
MK,166,9064
MK,167,10250
MK,168,5350
MK,169,5373
MK,170,5861
MK,171,2937
MK,172,6601
MK,173,9274
MK,174,6272
MK,175,7545
MK,176,5980
MK,177,3994
MK,178,5332
MK,179,10750
MK,180,4117
MK,181,6849
MK,182,7130
MK,183,7389
MK,184,2209
MK,185,11076
MK,186,9934
MK,187,6578
MK,188,2858
MK,189,8492
MK,190,2618
MK,191,7387
MK,192,4812
MK,193,8413
MK,194,4722
MK,195,9071
MK,196,3594
MK,197,7795
MK,198,6241
MK,199,8292
MK+IE,0,12807
MK+IE,1,5732
MK+IE,2,13272
MK+IE,3,11247
MK+IE,4,5915
MK+IE,5,9541
MK+IE,6,9495
MK+IE,7,8658
MK+IE,8,13529
MK+IE,9,8544
MK+IE,10,11420
MK+IE,11,9152
MK+IE,12,8304
MK+IE,13,8945
MK+IE,14,9444
MK+IE,15,9636
MK+IE,16,11720
MK+IE,17,7415
MK+IE,18,14227
MK+IE,19,12946
MK+IE,20,10804
MK+IE,21,13912
MK+IE,22,3009
MK+IE,23,7047
MK+IE,24,6480
MK+IE,25,11364
MK+IE,26,8843
MK+IE,27,6858
MK+IE,28,6482
MK+IE,29,11107
MK+IE,30,12526
MK+IE,31,1786
MK+IE,32,7384
MK+IE,33,10048
MK+IE,34,2524
MK+IE,35,6869
MK+IE,36,9059
MK+IE,37,10286
MK+IE,38,14882
MK+IE,39,6193
MK+IE,40,10522
MK+IE,41,10398
MK+IE,42,11468
MK+IE,43,9086
MK+IE,44,6396
MK+IE,45,11740
MK+IE,46,13532
MK+IE,47,12672
MK+IE,48,8374
MK+IE,49,8067
MK+IE,50,13535
MK+IE,51,7902
MK+IE,52,4261
MK+IE,53,7872
MK+IE,54,10320
MK+IE,55,9352
MK+IE,56,10399
MK+IE,57,10183
MK+IE,58,6585
MK+IE,59,12586
MK+IE,60,10521
MK+IE,61,12071
MK+IE,62,12902
MK+IE,63,11643
MK+IE,64,6963
MK+IE,65,10917
MK+IE,66,12429
MK+IE,67,13401
MK+IE,68,9333
MK+IE,69,8373
MK+IE,70,9659
MK+IE,71,5681
MK+IE,72,9869
MK+IE,73,12839
MK+IE,74,9443
MK+IE,75,10759
MK+IE,76,9436
MK+IE,77,5677
MK+IE,78,8755
MK+IE,79,13844
MK+IE,80,6490
MK+IE,81,10071
MK+IE,82,10495
MK+IE,83,11143
MK+IE,84,3850
MK+IE,85,14581
MK+IE,86,12963
MK+IE,87,9675
MK+IE,88,5081
MK+IE,89,12237
MK+IE,90,4472
MK+IE,91,10877
MK+IE,92,8079
MK+IE,93,12100
MK+IE,94,6442
MK+IE,95,12655
MK+IE,96,6031
MK+IE,97,11753
MK+IE,98,9211
MK+IE,99,11901
MK+IE,100,4040
MK+IE,101,9146
MK+IE,102,5050
MK+IE,103,6322
MK+IE,104,14766
MK+IE,105,12019
MK+IE,106,9084
MK+IE,107,10539
MK+IE,108,11407
MK+IE,109,10993
MK+IE,110,7650
MK+IE,111,14410
MK+IE,112,8500
MK+IE,113,2655
MK+IE,114,12315
MK+IE,115,4678
MK+IE,116,8518
MK+IE,117,10876
MK+IE,118,10687
MK+IE,119,8451
MK+IE,120,5342
MK+IE,121,3822
MK+IE,122,7618
MK+IE,123,11673
MK+IE,124,11169
MK+IE,125,6932
MK+IE,126,8995
MK+IE,127,11408
MK+IE,128,6822
MK+IE,129,9254
MK+IE,130,9936
MK+IE,131,6977
MK+IE,132,8265
MK+IE,133,8999
MK+IE,134,12857
MK+IE,135,14751
MK+IE,136,10564
MK+IE,137,8410
MK+IE,138,8822
MK+IE,139,6987
MK+IE,140,11339
MK+IE,141,13618
MK+IE,142,6048
MK+IE,143,9023
MK+IE,144,10024
MK+IE,145,10611
MK+IE,146,12278
MK+IE,147,13326
MK+IE,148,11800
MK+IE,149,11689
MK+IE,150,6877
MK+IE,151,9211
MK+IE,152,13643
MK+IE,153,9669
MK+IE,154,10716
MK+IE,155,14446
MK+IE,156,10179
MK+IE,157,10282
MK+IE,158,7005
MK+IE,159,10370
MK+IE,160,10023
MK+IE,161,14159
MK+IE,162,9189
MK+IE,163,10890
MK+IE,164,11980
MK+IE,165,12693
MK+IE,166,10655
MK+IE,167,10892
MK+IE,168,9977
MK+IE,169,5795
MK+IE,170,5212
MK+IE,171,8577
MK+IE,172,9515
MK+IE,173,10818
MK+IE,174,10002
MK+IE,175,7273
MK+IE,176,4731
MK+IE,177,10311
MK+IE,178,11331
MK+IE,179,10041
MK+IE,180,8469
MK+IE,181,9143
MK+IE,182,6789
MK+IE,183,13081
MK+IE,184,9302
MK+IE,185,12211
MK+IE,186,11912
MK+IE,187,10337
MK+IE,188,3986
MK+IE,189,10227
MK+IE,190,12110
MK+IE,191,13406
MK+IE,192,8750
MK+IE,193,9645
MK+IE,194,10269
MK+IE,195,9707
MK+IE,196,7884
MK+IE,197,1274
MK+IE,198,9816
MK+IE,199,13998
MK+ER,0,2612
MK+ER,1,9964
MK+ER,2,2416
MK+ER,3,5723
MK+ER,4,13120
MK+ER,5,7000
MK+ER,6,5724
MK+ER,7,8628
MK+ER,8,8865
MK+ER,9,7949
