mechanic,replicate,final_population_size
ER,23,19688
ER,24,19722
ER,25,19694
ER,26,19779
ER,27,19720
ER,28,19716
ER,29,19674
ER,30,19764
ER,31,19695
ER,32,19738
ER,33,19666
ER,34,19691
ER,35,19665
ER,36,19773
ER,37,19722
ER,38,19692
ER,39,19688
ER,40,19724
ER,41,19691
ER,42,19730
ER,43,19721
ER,44,19680
ER,45,19674
ER,46,19738
ER,47,19615
ER,48,19695
ER,49,19791
ER,50,19693
ER,51,19750
ER,52,19647
ER,53,19699
ER,54,19673
ER,55,19657
ER,56,19712
ER,57,19801
ER,58,19692
ER,59,19786
ER,60,19693
ER,61,19699
ER,62,19736
ER,63,19622
ER,64,19713
ER,65,19715
ER,66,19737
ER,67,19656
ER,68,19736
ER,69,19656
ER,70,19708
ER,71,19687
ER,72,19649
ER,73,19662
ER,74,19775
ER,75,19686
ER,76,19764
ER,77,19750
ER,78,19715
ER,79,19793
ER,80,19639
ER,81,19763
ER,82,19688
ER,83,19703
ER,84,19671
ER,85,19689
ER,86,19677
ER,87,19713
ER,88,19718
ER,89,19696
ER,90,19713
ER,91,19703
ER,92,19752
ER,93,19747
ER,94,19658
ER,95,19721
ER,96,19712
ER,97,19651
ER,98,19682
ER,99,19648
ER,100,19775
ER,101,19640
ER,102,19645
ER,103,19688
ER,104,19639
ER,105,19706
ER,106,19645
ER,107,19655
ER,108,19718
ER,109,19661
ER,110,19631
ER,111,19735
ER,112,19681
ER,113,19742
ER,114,19736
ER,115,19650
ER,116,19770
ER,117,19664
ER,118,19706
ER,119,19695
ER,120,19728
ER,121,19753
ER,122,19676
ER,123,19750
ER,124,19685
ER,125,19634
ER,126,19752
ER,127,19672
ER,128,19672
ER,129,19667
ER,130,19651
ER,131,19745
ER,132,19740
ER,133,19665
ER,134,19725
ER,135,19663
ER,136,19762
ER,137,19696
ER,138,19709
ER,139,19680
ER,140,19769
ER,141,19755
ER,142,19728
ER,143,19683
ER,144,19689
ER,145,19768
ER,146,19733
ER,147,19714
ER,148,19648
ER,149,19662
ER,150,19679
ER,151,19626
ER,152,19689
ER,153,19687
ER,154,19740
ER,155,19731
ER,156,19678
ER,157,19729
ER,158,19719
ER,159,19646
ER,160,19714
ER,161,19611
ER,162,19711
ER,163,19774
ER,164,19682
ER,165,19691
ER,166,19689
ER,167,19685
ER,168,19683
ER,169,19681
ER,170,19726
ER,171,19744
ER,172,19727
ER,173,19749
ER,174,19700
ER,175,19681
ER,176,19714
ER,177,19756
ER,178,19667
ER,179,19751
ER,180,19802
ER,181,19635
ER,182,19625
ER,183,19708
ER,184,19728
ER,185,19703
ER,186,19719
ER,187,19773
ER,188,19654
ER,189,19720
ER,190,19666
ER,191,19731
ER,192,19667
ER,193,19725
ER,194,19714
ER,195,19608
ER,196,19624
ER,197,19732
ER,198,19708
ER,199,19598
ER+IE,0,19785
ER+IE,1,19731
ER+IE,2,19777
ER+IE,3,19771
ER+IE,4,19697
ER+IE,5,19864
ER+IE,6,19763
ER+IE,7,19842
ER+IE,8,19810
ER+IE,9,19729
ER+IE,10,19781
ER+IE,11,19841
ER+IE,12,19825
ER+IE,13,19770
ER+IE,14,19782
ER+IE,15,19830
ER+IE,16,19766
ER+IE,17,19781
ER+IE,18,19822
ER+IE,19,19777
ER+IE,20,19777
ER+IE,21,19730
ER+IE,22,19776
ER+IE,23,19758
ER+IE,24,19873
ER+IE,25,19746
ER+IE,26,19803
ER+IE,27,19843
ER+IE,28,19858
ER+IE,29,19788
ER+IE,30,19747
ER+IE,31,19826
ER+IE,32,19778
ER+IE,33,19829
ER+IE,34,19748
ER+IE,35,19871
ER+IE,36,19717
ER+IE,37,19799
ER+IE,38,19727
ER+IE,39,19680
ER+IE,40,19805
ER+IE,41,19832
ER+IE,42,19811
ER+IE,43,19768
ER+IE,44,19823
ER+IE,45,19805
ER+IE,46,19850
ER+IE,47,19661
ER+IE,48,19752
ER+IE,49,19844
ER+IE,50,19834
ER+IE,51,19646
ER+IE,52,19755
ER+IE,53,19819
ER+IE,54,19794
ER+IE,55,19753
ER+IE,56,19780
ER+IE,57,19827
ER+IE,58,19867
ER+IE,59,19694
ER+IE,60,19691
ER+IE,61,19818
ER+IE,62,19763
ER+IE,63,19719
ER+IE,64,19708
ER+IE,65,19736
ER+IE,66,19738
ER+IE,67,19780
ER+IE,68,19814
ER+IE,69,19801
ER+IE,70,19839
ER+IE,71,19827
ER+IE,72,19828
ER+IE,73,19874
ER+IE,74,19812
ER+IE,75,19746
ER+IE,76,19795
ER+IE,77,19759
ER+IE,78,19765
ER+IE,79,19852
ER+IE,80,19836
ER+IE,81,19874
ER+IE,82,19708
ER+IE,83,19882
ER+IE,84,19816
ER+IE,85,19868
ER+IE,86,19767
ER+IE,87,19881
ER+IE,88,19806
ER+IE,89,19842
ER+IE,90,19785
ER+IE,91,19742
ER+IE,92,19757
ER+IE,93,19937
ER+IE,94,19927
ER+IE,95,19819
ER+IE,96,19817
ER+IE,97,19843
ER+IE,98,19838
ER+IE,99,19706
ER+IE,100,19806
ER+IE,101,19824
ER+IE,102,19708
ER+IE,103,19805
ER+IE,104,19840
ER+IE,105,19809
ER+IE,106,19873
ER+IE,107,19720
ER+IE,108,19731
ER+IE,109,19801
ER+IE,110,19823
ER+IE,111,19833
ER+IE,112,19773
ER+IE,113,19820
ER+IE,114,19804
ER+IE,115,19811
ER+IE,116,19755
ER+IE,117,19868
ER+IE,118,19810
ER+IE,119,19809
ER+IE,120,19811
ER+IE,121,19756
ER+IE,122,19900
ER+IE,123,19797
ER+IE,124,19787
ER+IE,125,19777
ER+IE,126,19732
ER+IE,127,19818
ER+IE,128,19792
ER+IE,129,19723
ER+IE,130,19755
ER+IE,131,19793
ER+IE,132,19711
ER+IE,133,19769
ER+IE,134,19751
ER+IE,135,19842
ER+IE,136,19900
ER+IE,137,19813
ER+IE,138,19804
ER+IE,139,19853
ER+IE,140,19790
ER+IE,141,19832
ER+IE,142,19830
ER+IE,143,19824
ER+IE,144,19750
ER+IE,145,19829
ER+IE,146,19783
ER+IE,147,19793
ER+IE,148,19789
ER+IE,149,19877
ER+IE,150,19742
ER+IE,151,19812
ER+IE,152,19909
ER+IE,153,19839
ER+IE,154,19868
ER+IE,155,19898
ER+IE,156,19780
ER+IE,157,19893
ER+IE,158,19802
ER+IE,159,19888
ER+IE,160,19811
ER+IE,161,19739
ER+IE,162,19856
ER+IE,163,19734
ER+IE,164,19888
ER+IE,165,19840
ER+IE,166,19836
ER+IE,167,19789
ER+IE,168,19827
ER+IE,169,19850
ER+IE,170,19838
ER+IE,171,19834
ER+IE,172,19774
ER+IE,173,19743
ER+IE,174,19864
ER+IE,175,19816
ER+IE,176,19785
ER+IE,177,19793
ER+IE,178,19829
ER+IE,179,19755
ER+IE,180,19737
ER+IE,181,19769
ER+IE,182,19815
ER+IE,183,19767
ER+IE,184,19858
ER+IE,185,19795
ER+IE,186,19780
ER+IE,187,19724
ER+IE,188,19813
ER+IE,189,19834
ER+IE,190,19790
ER+IE,191,19803
ER+IE,192,19841
ER+IE,193,19754
ER+IE,194,19828
ER+IE,195,19777
ER+IE,196,19797
ER+IE,197,19744
ER+IE,198,19821
ER+IE,199,19807
MK,0,19914
MK,1,19999
MK,2,19994
MK,3,19912
MK,4,19999
MK,5,19995
MK,6,19992
MK,7,19953
MK,8,19993
MK,9,20000
MK,10,19984
MK,11,19993
MK,12,20000
MK,13,20000
MK,14,19934
MK,15,19974
MK,16,19839
MK,17,20000
MK,18,19988
MK,19,19897
MK,20,19892
MK,21,19976
MK,22,19999
MK,23,19987
MK,24,19999
MK,25,19999
MK,26,19999
MK,27,20000
MK,28,20000
MK,29,19794
MK,30,19991
MK,31,20000
MK,32,19843
MK,33,19929
MK,34,19869
MK,35,19997
MK,36,19962
MK,37,19993
MK,38,19996
MK,39,19995
MK,40,19993
MK,41,19972
MK,42,20000
MK,43,19968
MK,44,19922
MK,45,20000
MK,46,20000
MK,47,20000
MK,48,19996
MK,49,19993
MK,50,19994
MK,51,19997
MK,52,19986
MK,53,19998
MK,54,19999
MK,55,19993
MK,56,20000
MK,57,20000
MK,58,19967
MK,59,19980
MK,60,19996
MK,61,19998
MK,62,20000
MK,63,19982
MK,64,19995
MK,65,19992
MK,66,19994
MK,67,19995
MK,68,20000
MK,69,19887
MK,70,19982
MK,71,19911
MK,72,19923
MK,73,20000
MK,74,19996
MK,75,19906
MK,76,19950
MK,77,20000
MK,78,19853
MK,79,19994
MK,80,19998
MK,81,20000
MK,82,19739
MK,83,19859
MK,84,19989
MK,85,19961
MK,86,19998
MK,87,19936
MK,88,19904
MK,89,19998
MK,90,20000
MK,91,19992
MK,92,19963
MK,93,19982
MK,94,19706
MK,95,19851
MK,96,19935
MK,97,19996
MK,98,19911
MK,99,19973
MK,100,20000
MK,101,19943
MK,102,19999
MK,103,19979
MK,104,19982
MK,105,19962
MK,106,19988
MK,107,19970
MK,108,19999
MK,109,19998
MK,110,19989
MK,111,19992
MK,112,19988
MK,113,19950
MK,114,19981
MK,115,20000
MK,116,19984
MK,117,19981
MK,118,19999
MK,119,20000
MK,120,19998
MK,121,20000
MK,122,19829
MK,123,19976
MK,124,19928
MK,125,19990
MK,126,19987
MK,127,19922
MK,128,19946
MK,129,19981
MK,130,19987
MK,131,19742
MK,132,19959
MK,133,19995
MK,134,19837
MK,135,19950
MK,136,19935
MK,137,19996
MK,138,20000
MK,139,19849
MK,140,19993
MK,141,19993
MK,142,19999
MK,143,19960
MK,144,19884
MK,145,19993
MK,146,20000
MK,147,19999
MK,148,19960
MK,149,19931
MK,150,20000
MK,151,19997
MK,152,19852
MK,153,19971
MK,154,19995
MK,155,19973
MK,156,19992
MK,157,19997
MK,158,19954
MK,159,19998
MK,160,19975
MK,161,19993
MK,162,19999
MK,163,19989
MK,164,19995
MK,165,20000
MK,166,19993
MK,167,20000
MK,168,19994
MK,169,19988
MK,170,19975
MK,171,19829
MK,172,19999
MK,173,19998
MK,174,19987
MK,175,19993
MK,176,19947
MK,177,19922
MK,178,19999
MK,179,19997
MK,180,19945
MK,181,19987
MK,182,19973
MK,183,19988
MK,184,19859
MK,185,20000
MK,186,19997
MK,187,19995
MK,188,19879
MK,189,19987
MK,190,19879
MK,191,19984
MK,192,19995
MK,193,19996
MK,194,19952
MK,195,19997
MK,196,19913
MK,197,20000
MK,198,20000
MK,199,20000
MK+IE,0,20000
MK+IE,1,19998
MK+IE,2,20000
MK+IE,3,20000
MK+IE,4,20000
MK+IE,5,19998
MK+IE,6,20000
MK+IE,7,20000
MK+IE,8,20000
MK+IE,9,20000
MK+IE,10,20000
MK+IE,11,19991
MK+IE,12,20000
MK+IE,13,19996
MK+IE,14,19996
MK+IE,15,19992
MK+IE,16,19999
MK+IE,17,19997
MK+IE,18,20000
MK+IE,19,20000
MK+IE,20,20000
MK+IE,21,20000
MK+IE,22,19923
MK+IE,23,19999
MK+IE,24,19991
MK+IE,25,19999
MK+IE,26,19999
MK+IE,27,19997
MK+IE,28,19998
MK+IE,29,19998
MK+IE,30,19996
MK+IE,31,19895
MK+IE,32,19997
MK+IE,33,19996
MK+IE,34,19892
MK+IE,35,19999
MK+IE,36,20000
MK+IE,37,20000
MK+IE,38,19997
MK+IE,39,19995
MK+IE,40,20000
MK+IE,41,19998
MK+IE,42,19999
MK+IE,43,19999
MK+IE,44,20000
MK+IE,45,20000
MK+IE,46,20000
MK+IE,47,19999
MK+IE,48,20000
MK+IE,49,20000
MK+IE,50,20000
MK+IE,51,19996
