mechanic,final_infected_count
IE,4207
IE,5085
IE,3780
IE,3102
IE,5698
IE,1342
IE,3114
IE,5447
IE,3345
IE,5716
IE,4995
IE,2559
IE,4857
IE,2229
IE,4657
IE,4855
IE,4700
IE,1322
IE,1284
IE,4858
IE,2784
IE,3931
IE,3905
IE,3523
IE,4095
IE,3221
IE,6001
IE,1493
IE,4753
IE,5263
MK,5085
MK,7073
MK,6377
MK,4668
MK,12139
MK,6851
MK,9961
MK,4287
MK,7514
MK,8288
MK,5478
MK,9377
MK,8754
MK,7429
MK,3680
MK,4049
MK,2148
MK,8606
MK,7494
MK,3978
MK,4003
MK,6101
MK,7553
MK,7953
MK,5901
MK,7761
MK,9129
MK,9633
MK,6617
MK,1172
MK,6809
MK,12122
MK,2653
MK,4337
MK,2721
MK,6749
MK,4894
MK,8310
MK,7835
MK,11395
MK,5991
MK,3315
MK,6257
MK,5852
MK,3760
MK,6606
MK,10002
MK,5182
MK,7369
MK,6094
MK,6042
MK,8895
MK,5576
MK,6100
MK,9162
MK,5168
MK,7181
MK,8476
MK,6372
MK,6332
MK,7082
MK,7775
MK,7722
MK,3840
MK,8569
MK,6927
MK,9713
MK,8486
MK,10199
MK,3012
MK,6368
MK,4688
MK,3876
MK,7108
MK,6362
MK,2661
MK,4651
MK,10328
MK,1984
MK,7301
MK,9427
MK,8428
MK,1006
MK,1130
MK,6525
MK,5249
MK,12460
MK,5516
MK,3640
MK,10109
MK,9866
MK,10309
MK,4962
MK,4552
MK,781
MK,1995
MK,3818
MK,3885
MK,3577
MK,5898
MK,9934
MK,3585
MK,9861
MK,7396
MK,3717
MK,6029
MK,6329
MK,5637
MK,10356
MK,5289
MK,7948
MK,6166
MK,4847
MK,5184
MK,6194
MK,6335
MK,7361
MK,4776
MK,9880
MK,9202
MK,7736
MK,11269
MK,1724
MK,4544
MK,5205
MK,8044
MK,5487
MK,3849
MK,3882
MK,7229
MK,8108
MK,912
MK,4635
MK,6777
MK,1660
MK,3311
MK,5297
MK,6444
MK,11336
MK,3254
MK,6446
MK,6599
MK,7952
MK,5910
MK,4515
MK,8234
MK,9317
MK,9123
MK,5367
MK,5105
MK,9789
MK,5227
MK,2480
MK,4802
MK,7799
MK,5906
MK,7751
MK,6982
MK,3698
MK,8620
MK,7323
MK,7874
MK,9705
MK,7245
MK,4682
MK,8304
MK,9064
MK,10250
MK,5350
MK,5373
MK,5861
MK,2937
MK,6601
MK,9274
MK,6272
MK,7545
MK,5980
MK,3994
MK,5332
MK,10750
MK,4117
MK,6849
MK,7130
MK,7389
MK,2209
MK,11076
MK,9934
MK,6578
MK,2858
MK,8492
MK,2618
MK,7387
MK,4812
MK,8413
MK,4722
MK,9071
MK,3594
MK,7795
MK,6241
MK,8292
CI,2919
CI,2022
CI,3349
CI,4364
CI,2190
CI,717
CI,2914
CI,2379
CI,1499
CI,3472
CI,1602
CI,4896
CI,1846
CI,3804
CI,3856
CI,3805
CI,1547
CI,4358
CI,3665
CI,8843
CI,2509
CI,4470
CI,2942
CI,1787
CI,1777
CI,2882
CI,1487
CI,2813
CI,3373
CI,3307
CI,1756
CI,2323
CI,4885
CI,442
CI,3294
CI,1751
CI,3096
CI,1518
CI,1746
CI,1242
CI,1847
CI,1642
CI,3721
CI,2102
CI,2685
CI,2108
CI,1560
CI,3476
CI,8062
CI,4000
CI,1402
CI,1930
CI,2626
CI,2517
CI,1825
CI,2257
CI,5215
CI,3259
CI,3750
CI,4817
CI,2494
CI,1081
CI,1898
CI,2066
CI,1874
CI,2695
CI,4111
CI,2429
CI,2619
CI,2606
CI,1368
CI,3860
CI,3511
CI,5271
CI,3253
CI,2228
CI,2860
CI,1329
CI,3260
CI,2166
CI,5331
CI,3780
CI,2988
CI,1879
CI,1108
CI,3245
CI,2849
CI,3875
CI,2086
CI,6716
CI,3633
CI,333
CI,2295
CI,3622
CI,3108
CI,1398
CI,1402
CI,2999
CI,4726
CI,1886
CI,2569
CI,2023
CI,1248
CI,2506
CI,2681
CI,4248
CI,1915
CI,2390
CI,3254
CI,2094
CI,2375
CI,1838
CI,692
CI,6117
CI,3239
CI,1083
CI,3636
CI,1496
CI,3434
CI,1604
CI,1291
CI,2073
CI,1955
CI,3457
CI,3437
CI,2705
CI,1461
CI,1129
CI,3136
CI,3656
CI,2708
CI,2593
CI,5145
CI,2891
CI,2545
CI,2261
CI,1133
CI,4220
CI,1648
CI,340
CI,844
CI,1152
CI,2384
CI,1690
CI,358
CI,1543
CI,1427
CI,2641
CI,5028
CI,2779
CI,2880
CI,454
CI,2121
CI,3655
CI,3358
CI,4736
CI,3171
CI,1303
CI,2357
CI,6922
CI,1690
CI,735
CI,595
CI,1518
CI,3054
CI,2136
CI,1792
CI,4369
CI,2697
CI,5086
CI,2628
CI,3771
CI,2802
CI,1270
CI,2758
CI,1378
CI,4394
CI,4729
CI,412
CI,4983
CI,2265
CI,5318
CI,3698
CI,2751
CI,55
CI,2337
CI,4806
CI,3284
CI,4131
CI,3569
CI,3573
CI,1202
CI,4521
CI,3355
CI,1963
CI,1368
CI,3403
CI,285
CI,2301
CI,3340
CI+MK+ER+IE,11758
CI+MK+ER+IE,14272
CI+MK+ER+IE,16010
CI+MK+ER+IE,9572
CI+MK+ER+IE,12403
CI+MK+ER+IE,11500
CI+MK+ER+IE,11590
CI+MK+ER+IE,12374
CI+MK+ER+IE,15753
CI+MK+ER+IE,10953
CI+MK+ER+IE,9936
CI+MK+ER+IE,14840
CI+MK+ER+IE,11901
CI+MK+ER+IE,11693
CI+MK+ER+IE,9788
CI+MK+ER+IE,17444
CI+MK+ER+IE,15277
CI+MK+ER+IE,13208
CI+MK+ER+IE,12639
CI+MK+ER+IE,16239
CI+MK+ER+IE,15056
CI+MK+ER+IE,14996
CI+MK+ER+IE,7817
CI+MK+ER+IE,11382
CI+MK+ER+IE,15458
CI+MK+ER+IE,14989
CI+MK+ER+IE,16600
CI+MK+ER+IE,12284
CI+MK+ER+IE,15264
CI+MK+ER+IE,16488
CI+MK+ER+IE,17553
CI+MK+ER+IE,15302
CI+MK+ER+IE,12396
CI+MK+ER+IE,14447
CI+MK+ER+IE,12472
CI+MK+ER+IE,11721
CI+MK+ER+IE,14917
CI+MK+ER+IE,9886
CI+MK+ER+IE,6087
CI+MK+ER+IE,3573
CI+MK+ER+IE,15702
CI+MK+ER+IE,14109
CI+MK+ER+IE,12030
CI+MK+ER+IE,8923
CI+MK+ER+IE,8099
CI+MK+ER+IE,12679
CI+MK+ER+IE,11025
CI+MK+ER+IE,12637
CI+MK+ER+IE,10262
CI+MK+ER+IE,9197
CI+MK+ER+IE,14839
CI+MK+ER+IE,14632
CI+MK+ER+IE,14197
CI+MK+ER+IE,14979
CI+MK+ER+IE,10869
CI+MK+ER+IE,11491
CI+MK+ER+IE,14383
CI+MK+ER+IE,16811
CI+MK+ER+IE,1798
CI+MK+ER+IE,13993
CI+MK+ER+IE,12736
CI+MK+ER+IE,12906
CI+MK+ER+IE,9852
CI+MK+ER+IE,9886
CI+MK+ER+IE,12087
CI+MK+ER+IE,15066
CI+MK+ER+IE,5432
CI+MK+ER+IE,11204
CI+MK+ER+IE,5790
CI+MK+ER+IE,8558
CI+MK+ER+IE,14375
CI+MK+ER+IE,8732
CI+MK+ER+IE,12310
CI+MK+ER+IE,14482
CI+MK+ER+IE,13765
CI+MK+ER+IE,12668
CI+MK+ER+IE,16556
CI+MK+ER+IE,14172
CI+MK+ER+IE,16760
CI+MK+ER+IE,11323
CI+MK+ER+IE,7199
CI+MK+ER+IE,17842
CI+MK+ER+IE,11233
CI+MK+ER+IE,8432
CI+MK+ER+IE,14073
CI+MK+ER+IE,12034
CI+MK+ER+IE,14954
CI+MK+ER+IE,5880
CI+MK+ER+IE,13777
CI+MK+ER+IE,15460
CI+MK+ER+IE,10529
CI+MK+ER+IE,13063
CI+MK+ER+IE,12337
CI+MK+ER+IE,10958
CI+MK+ER+IE,10216
CI+MK+ER+IE,7950
CI+MK+ER+IE,12049
CI+MK+ER+IE,12597
CI+MK+ER+IE,14735
CI+MK+ER+IE,12790
CI+MK+ER+IE,15125
CI+MK+ER+IE,14868
CI+MK+ER+IE,11173
CI+MK+ER+IE,14987
CI+MK+ER+IE,16434
CI+MK+ER+IE,13109
CI+MK+ER+IE,5715
CI+MK+ER+IE,9400
CI+MK+ER+IE,13659
CI+MK+ER+IE,13380
CI+MK+ER+IE,11768
CI+MK+ER+IE,15317
CI+MK+ER+IE,15276
CI+MK+ER+IE,13748
CI+MK+ER+IE,6390
CI+MK+ER+IE,11058
CI+MK+ER+IE,11726
CI+MK+ER+IE,5129
CI+MK+ER+IE,12756
CI+MK+ER+IE,11221
CI+MK+ER+IE,9160
CI+MK+ER+IE,16338
CI+MK+ER+IE,15738
CI+MK+ER+IE,12612
CI+MK+ER+IE,12542
CI+MK+ER+IE,2778
CI+MK+ER+IE,8843
CI+MK+ER+IE,15377
CI+MK+ER+IE,12062
CI+MK+ER+IE,13035
CI+MK+ER+IE,14052
CI+MK+ER+IE,14892
CI+MK+ER+IE,11991
CI+MK+ER+IE,15250
CI+MK+ER+IE,17310
CI+MK+ER+IE,13717
CI+MK+ER+IE,10198
CI+MK+ER+IE,15039
CI+MK+ER+IE,15532
CI+MK+ER+IE,13369
CI+MK+ER+IE,13954
CI+MK+ER+IE,16310
CI+MK+ER+IE,14189
CI+MK+ER+IE,14020
CI+MK+ER+IE,15387
CI+MK+ER+IE,15877
CI+MK+ER+IE,14655
CI+MK+ER+IE,12721
CI+MK+ER+IE,15168
CI+MK+ER+IE,17448
CI+MK+ER+IE,13927
CI+MK+ER+IE,14531
CI+MK+ER+IE,8538
CI+MK+ER+IE,16440
CI+MK+ER+IE,17059
CI+MK+ER+IE,17482
CI+MK+ER+IE,8796
CI+MK+ER+IE,13244
CI+MK+ER+IE,12578
CI+MK+ER+IE,11682
CI+MK+ER+IE,6386
CI+MK+ER+IE,11862
CI+MK+ER+IE,12246
CI+MK+ER+IE,7122
CI+MK+ER+IE,12385
CI+MK+ER+IE,14159
CI+MK+ER+IE,13654
CI+MK+ER+IE,13854
CI+MK+ER+IE,13670
CI+MK+ER+IE,14272
CI+MK+ER+IE,14953
CI+MK+ER+IE,14918
CI+MK+ER+IE,9628
CI+MK+ER+IE,12266
CI+MK+ER+IE,14599
CI+MK+ER+IE,16832
CI+MK+ER+IE,14542
CI+MK+ER+IE,17351
CI+MK+ER+IE,13509
CI+MK+ER+IE,11599
CI+MK+ER+IE,15200
CI+MK+ER+IE,7826
CI+MK+ER+IE,13610
CI+MK+ER+IE,7914
CI+MK+ER+IE,15727
CI+MK+ER+IE,13435
CI+MK+ER+IE,15514
CI+MK+ER+IE,12360
CI+MK+ER+IE,16324
CI+MK+ER+IE,14717
CI+MK+ER+IE,12017
CI+MK+ER+IE,15686
CI+MK+ER+IE,12710
CI+MK+ER+IE,11072
CI+MK+ER+IE,14455
CI+MK+ER+IE,15037
CI+MK+ER+IE,16028
CI+MK+ER+IE,9197
CI+MK+ER+IE,14594
CI+MK+ER+IE,1542
