genotype,contrast,compartment,time_s,p_fwer
dnc-wt,Bouton_vs_Axon,g3,3.0,1.0
dnc-wt,Bouton_vs_Axon,g3,3.25,0.6796875
dnc-wt,Bouton_vs_Axon,g3,3.5,1.0
dnc-wt,Bouton_vs_Axon,g3,3.75,1.0
dnc-wt,Bouton_vs_Axon,g3,4.0,0.171875
dnc-wt,Bouton_vs_Axon,g3,4.25,0.171875
dnc-wt,Bouton_vs_Axon,g3,4.5,0.171875
dnc-wt,Bouton_vs_Axon,g3,4.75,1.0
dnc-wt,Bouton_vs_Axon,g3,5.0,1.0
dnc-wt,Bouton_vs_Axon,g3,5.25,1.0
dnc-wt,Bouton_vs_Axon,g3,5.5,1.0
dnc-wt,Bouton_vs_Axon,g3,5.75,1.0
dnc-wt,Bouton_vs_Axon,g3,6.0,1.0
dnc-wt,Bouton_vs_Axon,g3,6.25,1.0
dnc-wt,Bouton_vs_Axon,g3,6.5,1.0
dnc-wt,Bouton_vs_Axon,g3,6.75,0.953125
dnc-wt,Bouton_vs_Axon,g3,7.0,1.0
dnc-wt,Bouton_vs_Axon,g3,7.25,1.0
dnc-wt,Bouton_vs_Axon,g3,7.5,1.0
dnc-wt,Bouton_vs_Axon,g3,7.75,1.0
dnc-wt,Bouton_vs_Axon,g3,8.0,1.0
dnc-wt,Bouton_vs_Axon,g3,8.25,1.0
dnc-wt,Bouton_vs_Axon,g3,8.5,1.0
dnc-wt,Bouton_vs_Axon,g3,8.75,1.0
dnc-wt,Bouton_vs_Axon,g3,9.0,1.0
dnc-wt,Bouton_vs_Axon,g3,9.25,1.0
dnc-wt,Bouton_vs_Axon,g3,9.5,1.0
dnc-wt,Bouton_vs_Axon,g3,9.75,1.0
dnc-wt,Bouton_vs_Axon,g3,10.0,1.0
dnc-wt,Bouton_vs_Axon,g3,10.25,1.0
dnc-wt,Bouton_vs_Axon,g3,10.5,1.0
dnc-wt,Bouton_vs_Axon,g3,10.75,1.0
dnc-wt,Bouton_vs_Axon,g3,11.0,1.0
dnc-wt,Bouton_vs_Axon,g3,11.25,1.0
dnc-wt,Bouton_vs_Axon,g3,11.5,1.0
dnc-wt,Bouton_vs_Axon,g3,11.75,1.0
dnc-wt,Bouton_vs_Axon,g3,12.0,1.0
dnc-wt,Bouton_vs_Axon,g3,12.25,0.0390625
dnc-wt,Bouton_vs_Axon,g3,12.5,0.0390625
dnc-wt,Bouton_vs_Axon,g3,12.75,0.0390625
dnc-wt,Bouton_vs_Axon,g3,13.0,0.0390625
dnc-wt,Bouton_vs_Axon,g3,13.25,0.0390625
dnc-wt,Bouton_vs_Axon,g3,13.5,1.0
dnc-wt,Bouton_vs_Axon,g3,13.75,1.0
dnc-wt,Bouton_vs_Axon,g3,14.0,1.0
dnc-wt,Bouton_vs_Axon,g3,14.25,1.0
dnc-wt,Bouton_vs_Axon,g3,14.5,1.0
dnc-wt,Bouton_vs_Axon,g3,14.75,1.0
dnc-wt,Bouton_vs_Axon,g3,15.0,1.0
dnc-wt,Bouton_vs_Axon,g3,15.25,1.0
dnc-wt,Bouton_vs_Axon,g3,15.5,1.0
dnc-wt,Bouton_vs_Axon,g3,15.75,1.0
dnc-wt,Bouton_vs_Axon,g3,16.0,1.0
dnc-wt,Bouton_vs_Axon,g3,16.25,1.0
dnc-wt,Bouton_vs_Axon,g3,16.5,1.0
dnc-wt,Bouton_vs_Axon,g3,16.75,1.0
dnc-wt,Bouton_vs_Axon,g3,17.0,1.0
dnc-wt,Bouton_vs_Axon,g3,17.25,1.0
dnc-wt,Bouton_vs_Axon,g3,17.5,1.0
dnc-wt,Bouton_vs_Axon,g3,17.75,1.0
dnc-wt,Bouton_vs_Axon,g3,18.0,1.0
dnc-wt,Bouton_vs_Axon,g3,18.25,1.0
dnc-wt,Bouton_vs_Axon,g3,18.5,1.0
dnc-wt,Bouton_vs_Axon,g3,18.75,1.0
dnc-wt,Bouton_vs_Axon,g3,19.0,1.0
dnc-wt,Bouton_vs_Axon,g3,19.25,1.0
dnc-wt,Bouton_vs_Axon,g3,19.5,1.0
dnc-wt,Bouton_vs_Axon,g3,19.75,1.0
dnc-wt,Bouton_vs_Axon,g3,20.0,1.0
dnc-wt,Bouton_vs_Axon,g3,20.25,1.0
dnc-wt,Bouton_vs_Axon,g3,20.5,1.0
dnc-wt,Bouton_vs_Axon,g3,20.75,1.0
dnc-wt,Bouton_vs_Axon,g3,21.0,1.0
dnc-wt,Bouton_vs_Axon,g3,21.25,1.0
dnc-wt,Bouton_vs_Axon,g3,21.5,1.0
dnc-wt,Bouton_vs_Axon,g3,21.75,1.0
dnc-wt,Bouton_vs_Axon,g3,22.0,1.0
dnc-wt,Bouton_vs_Axon,g3,22.25,1.0
dnc-wt,Bouton_vs_Axon,g3,22.5,1.0
dnc-wt,Bouton_vs_Axon,g3,22.75,1.0
dnc-wt,Bouton_vs_Axon,g3,23.0,1.0
dnc-wt,Bouton_vs_Axon,g3,23.25,1.0
dnc-wt,Bouton_vs_Axon,g3,23.5,1.0
dnc-wt,Bouton_vs_Axon,g3,23.75,1.0
dnc-wt,Bouton_vs_Axon,g3,24.0,1.0
dnc-wt,Bouton_vs_Axon,g3,24.25,1.0
dnc-wt,Bouton_vs_Axon,g3,24.5,1.0
dnc-wt,Bouton_vs_Axon,g3,24.75,1.0
dnc-wt,Bouton_vs_Axon,g3,25.0,1.0
dnc-wt,Bouton_vs_Axon,g3,25.25,1.0
dnc-wt,Bouton_vs_Axon,g3,25.5,1.0
dnc-wt,Bouton_vs_Axon,g3,25.75,1.0
dnc-wt,Bouton_vs_Axon,g3,26.0,1.0
dnc-wt,Bouton_vs_Axon,g3,26.25,1.0
dnc-wt,Bouton_vs_Axon,g3,26.5,1.0
dnc-wt,Bouton_vs_Axon,g3,26.75,1.0
dnc-wt,Bouton_vs_Axon,g3,27.0,1.0
dnc-wt,Bouton_vs_Axon,g3,27.25,1.0
dnc-wt,Bouton_vs_Axon,g3,27.5,1.0
dnc-wt,Bouton_vs_Axon,g3,27.75,1.0
dnc-wt,Bouton_vs_Axon,g3,28.0,1.0
dnc-wt,Bouton_vs_Axon,g3,28.25,1.0
dnc-wt,Bouton_vs_Axon,g3,28.5,1.0
dnc-wt,Bouton_vs_Axon,g3,28.75,1.0
dnc-wt,Bouton_vs_Axon,g3,29.0,1.0
dnc-wt,Bouton_vs_Axon,g3,29.25,1.0
dnc-wt,Bouton_vs_Axon,g3,29.5,1.0
dnc-wt,Bouton_vs_Axon,g3,29.75,1.0
dnc-wt,Bouton_vs_Axon,g3,30.0,1.0
dnc-wt,Bouton_vs_Axon,g3,30.25,1.0
dnc-wt,Bouton_vs_Axon,g3,30.5,1.0
dnc-wt,Bouton_vs_Axon,g3,30.75,1.0
dnc-wt,Bouton_vs_Axon,g3,31.0,1.0
dnc-wt,Bouton_vs_Axon,g3,31.25,1.0
dnc-wt,Bouton_vs_Axon,g3,31.5,1.0
dnc-wt,Bouton_vs_Axon,g3,31.75,1.0
dnc-wt,Bouton_vs_Axon,g3,32.0,1.0
dnc-wt,Bouton_vs_Axon,g3,32.25,1.0
dnc-wt,Bouton_vs_Axon,g3,32.5,1.0
dnc-wt,Bouton_vs_Axon,g3,32.75,1.0
dnc-wt,Bouton_vs_Axon,g3,33.0,1.0
dnc-wt,Bouton_vs_Axon,g3,33.25,1.0
dnc-wt,Bouton_vs_Axon,g3,33.5,1.0
dnc-wt,Bouton_vs_Axon,g3,33.75,1.0
dnc-wt,Bouton_vs_Axon,g3,34.0,1.0
dnc-wt,Bouton_vs_Axon,g3,34.25,1.0
dnc-wt,Bouton_vs_Axon,g3,34.5,1.0
dnc-wt,Bouton_vs_Axon,g3,34.75,1.0
dnc-wt,Bouton_vs_Axon,g3,35.0,1.0
dnc-wt,Bouton_vs_Axon,g3,35.25,1.0
dnc-wt,Bouton_vs_Axon,g3,35.5,1.0
dnc-wt,Bouton_vs_Axon,g3,35.75,1.0
dnc-wt,Bouton_vs_Axon,g3,36.0,1.0
dnc-wt,Bouton_vs_Axon,g3,36.25,0.9453125
dnc-wt,Bouton_vs_Axon,g3,36.5,1.0
dnc-wt,Bouton_vs_Axon,g3,36.75,1.0
dnc-wt,Bouton_vs_Axon,g3,37.0,1.0
dnc-wt,Bouton_vs_Axon,g3,37.25,1.0
dnc-wt,Bouton_vs_Axon,g3,37.5,1.0
dnc-wt,Bouton_vs_Axon,g3,37.75,1.0
dnc-wt,Bouton_vs_Axon,g3,38.0,0.8671875
dnc-wt,Bouton_vs_Axon,g3,38.25,1.0
dnc-wt,Bouton_vs_Axon,g3,38.5,1.0
dnc-wt,Bouton_vs_Axon,g3,38.75,1.0
dnc-wt,Bouton_vs_Axon,g3,39.0,1.0
dnc-wt,Bouton_vs_Axon,g3,39.25,1.0
dnc-wt,Bouton_vs_Axon,g3,39.5,1.0
dnc-wt,Bouton_vs_Axon,g3,39.75,1.0
dnc-wt,Bouton_vs_Axon,g3,40.0,1.0
dnc-wt,Bouton_vs_Axon,g3,40.25,1.0
dnc-wt,Bouton_vs_Axon,g3,40.5,1.0
dnc-wt,Bouton_vs_Axon,g3,40.75,1.0
dnc-wt,Bouton_vs_Axon,g3,41.0,1.0
dnc-wt,Bouton_vs_Axon,g3,41.25,1.0
dnc-wt,Bouton_vs_Axon,g3,41.5,1.0
dnc-wt,Bouton_vs_Axon,g3,41.75,1.0
dnc-wt,Bouton_vs_Axon,g3,42.0,1.0
dnc-wt,Bouton_vs_Axon,g3,42.25,1.0
dnc-wt,Bouton_vs_Axon,g3,42.5,1.0
dnc-wt,Bouton_vs_Axon,g3,42.75,1.0
dnc-wt,Bouton_vs_Axon,g3,43.0,1.0
dnc-wt,Bouton_vs_Axon,g3,43.25,1.0
dnc-wt,Bouton_vs_Axon,g3,43.5,1.0
dnc-wt,Bouton_vs_Axon,g3,43.75,1.0
dnc-wt,Bouton_vs_Axon,g3,44.0,1.0
dnc-wt,Bouton_vs_Axon,g3,44.25,1.0
dnc-wt,Bouton_vs_Axon,g3,44.5,1.0
dnc-wt,Bouton_vs_Axon,g3,44.75,1.0
dnc-wt,Bouton_vs_Axon,g3,45.0,1.0
dnc-wt,Bouton_vs_Axon,g3,45.25,1.0
dnc-wt,Bouton_vs_Axon,g3,45.5,1.0
dnc-wt,Bouton_vs_Axon,g3,45.75,1.0
dnc-wt,Bouton_vs_Axon,g3,46.0,1.0
dnc-wt,Bouton_vs_Axon,g3,46.25,1.0
dnc-wt,Bouton_vs_Axon,g3,46.5,1.0
dnc-wt,Bouton_vs_Axon,g3,46.75,1.0
dnc-wt,Bouton_vs_Axon,g3,47.0,1.0
dnc-wt,Bouton_vs_Axon,g3,47.25,1.0
dnc-wt,Bouton_vs_Axon,g3,47.5,1.0
dnc-wt,Bouton_vs_Axon,g3,47.75,1.0
dnc-wt,Bouton_vs_Axon,g3,48.0,1.0
dnc-wt,Bouton_vs_Axon,g3,48.25,1.0
dnc-wt,Bouton_vs_Axon,g3,48.5,1.0
dnc-wt,Bouton_vs_Axon,g3,48.75,1.0
dnc-wt,Bouton_vs_Axon,g3,49.0,1.0
dnc-wt,Bouton_vs_Axon,g3,49.25,1.0
dnc-wt,Bouton_vs_Axon,g3,49.5,1.0
dnc-wt,Bouton_vs_Axon,g3,49.75,1.0
dnc-wt,Bouton_vs_Axon,g3,50.0,1.0
dnc-wt,Bouton_vs_Axon,g3,50.25,1.0
dnc-wt,Bouton_vs_Axon,g3,50.5,1.0
dnc-wt,Bouton_vs_Axon,g3,50.75,1.0
dnc-wt,Bouton_vs_Axon,g3,51.0,1.0
dnc-wt,Bouton_vs_Axon,g3,51.25,1.0
dnc-wt,Bouton_vs_Axon,g3,51.5,1.0
dnc-wt,Bouton_vs_Axon,g3,51.75,1.0
dnc-wt,Bouton_vs_Axon,g3,52.0,1.0
dnc-wt,Bouton_vs_Axon,g3,52.25,1.0
dnc-wt,Bouton_vs_Axon,g3,52.5,1.0
dnc-wt,Bouton_vs_Axon,g3,52.75,1.0
dnc-wt,Bouton_vs_Axon,g3,53.0,1.0
dnc-wt,Bouton_vs_Axon,g3,53.25,1.0
dnc-wt,Bouton_vs_Axon,g3,53.5,1.0
dnc-wt,Bouton_vs_Axon,g3,53.75,1.0
dnc-wt,Bouton_vs_Axon,g3,54.0,1.0
dnc-wt,Bouton_vs_Axon,g3,54.25,1.0
dnc-wt,Bouton_vs_Axon,g3,54.5,1.0
dnc-wt,Bouton_vs_Axon,g3,54.75,1.0
dnc-wt,Bouton_vs_Axon,g3,55.0,1.0
dnc-wt,Bouton_vs_Axon,g3,55.25,1.0
dnc-wt,Bouton_vs_Axon,g3,55.5,1.0
dnc-wt,Bouton_vs_Axon,g3,55.75,1.0
dnc-wt,Bouton_vs_Axon,g3,56.0,1.0
dnc-wt,Bouton_vs_Axon,g3,56.25,1.0
dnc-wt,Bouton_vs_Axon,g3,56.5,1.0
dnc-wt,Bouton_vs_Axon,g3,56.75,1.0
dnc-wt,Bouton_vs_Axon,g3,57.0,1.0
dnc-wt,Bouton_vs_Axon,g3,57.25,1.0
dnc-wt,Bouton_vs_Axon,g3,57.5,1.0
dnc-wt,Bouton_vs_Axon,g3,57.75,1.0
dnc-wt,Bouton_vs_Axon,g3,58.0,1.0
dnc-wt,Bouton_vs_Axon,g3,58.25,1.0
dnc-wt,Bouton_vs_Axon,g3,58.5,1.0
dnc-wt,Bouton_vs_Axon,g3,58.75,1.0
dnc-wt,Bouton_vs_Axon,g3,59.0,1.0
dnc-wt,Bouton_vs_Axon,g3,59.25,1.0
dnc-wt,Bouton_vs_Axon,g3,59.5,1.0
dnc-wt,Bouton_vs_Axon,g3,59.75,1.0
dnc-wt,Bouton_vs_Axon,g3,60.0,1.0
dnc-wt,Bouton_vs_Axon,g3,60.25,1.0
dnc-wt,Bouton_vs_Axon,g3,60.5,1.0
dnc-wt,Bouton_vs_Axon,g3,60.75,1.0
dnc-wt,Bouton_vs_Axon,g3,61.0,1.0
dnc-wt,Bouton_vs_Axon,g3,61.25,1.0
dnc-wt,Bouton_vs_Axon,g3,61.5,1.0
dnc-wt,Bouton_vs_Axon,g3,61.75,1.0
dnc-wt,Bouton_vs_Axon,g3,62.0,1.0
dnc-wt,Bouton_vs_Axon,g3,62.25,1.0
dnc-wt,Bouton_vs_Axon,g3,62.5,1.0
dnc-wt,Bouton_vs_Axon,g3,62.75,1.0
dnc-wt,Bouton_vs_Axon,g3,63.0,1.0
dnc-wt,Bouton_vs_Axon,g3,63.25,1.0
dnc-wt,Bouton_vs_Axon,g3,63.5,1.0
dnc-wt,Bouton_vs_Axon,g3,63.75,1.0
dnc-wt,Bouton_vs_Axon,g3,64.0,1.0
dnc-wt,Bouton_vs_Axon,g3,64.25,1.0
dnc-wt,Bouton_vs_Axon,g3,64.5,0.953125
dnc-wt,Bouton_vs_Axon,g3,64.75,1.0
dnc-wt,Bouton_vs_Axon,g3,65.0,1.0
dnc-wt,Bouton_vs_Axon,g3,65.25,1.0
dnc-wt,Bouton_vs_Axon,g3,65.5,1.0
dnc-wt,Bouton_vs_Axon,g3,65.75,1.0
dnc-wt,Bouton_vs_Axon,g3,66.0,1.0
dnc-wt,Bouton_vs_Axon,g3,66.25,1.0
dnc-wt,Bouton_vs_Axon,g3,66.5,1.0
dnc-wt,Bouton_vs_Axon,g3,66.75,1.0
dnc-wt,Bouton_vs_Axon,g3,67.0,1.0
dnc-wt,Bouton_vs_Axon,g3,67.25,1.0
dnc-wt,Bouton_vs_Axon,g3,67.5,1.0
dnc-wt,Bouton_vs_Axon,g3,67.75,1.0
dnc-wt,Bouton_vs_Axon,g3,68.0,1.0
dnc-wt,Bouton_vs_Axon,g3,68.25,1.0
dnc-wt,Bouton_vs_Axon,g3,68.5,1.0
dnc-wt,Bouton_vs_Axon,g3,68.75,1.0
dnc-wt,Bouton_vs_Axon,g3,69.0,1.0
dnc-wt,Bouton_vs_Axon,g3,69.25,1.0
dnc-wt,Bouton_vs_Axon,g3,69.5,1.0
dnc-wt,Bouton_vs_Axon,g3,69.75,1.0
dnc-wt,Bouton_vs_Axon,g3,70.0,1.0
dnc-wt,Bouton_vs_Axon,g3,70.25,1.0
dnc-wt,Bouton_vs_Axon,g3,70.5,1.0
dnc-wt,Bouton_vs_Axon,g3,70.75,1.0
dnc-wt,Bouton_vs_Axon,g3,71.0,1.0
dnc-wt,Bouton_vs_Axon,g3,71.25,1.0
dnc-wt,Bouton_vs_Axon,g3,71.5,1.0
dnc-wt,Bouton_vs_Axon,g3,71.75,1.0
dnc-wt,Bouton_vs_Axon,g3,72.0,1.0
dnc-wt,Bouton_vs_Axon,g3,72.25,1.0
dnc-wt,Bouton_vs_Axon,g3,72.5,1.0
dnc-wt,Bouton_vs_Axon,g3,72.75,1.0
dnc-wt,Bouton_vs_Axon,g3,73.0,1.0
dnc-wt,Bouton_vs_Axon,g3,73.25,1.0
dnc-wt,Bouton_vs_Axon,g3,73.5,0.3203125
dnc-wt,Bouton_vs_Axon,g3,73.75,0.3203125
dnc-wt,Bouton_vs_Axon,g3,74.0,1.0
dnc-wt,Bouton_vs_Axon,g3,74.25,1.0
dnc-wt,Bouton_vs_Axon,g3,74.5,1.0
dnc-wt,Bouton_vs_Axon,g3,74.75,1.0
dnc-wt,Bouton_vs_Axon,g3,75.0,1.0
dnc-wt,Bouton_vs_Axon,g3,75.25,1.0
dnc-wt,Bouton_vs_Axon,g3,75.5,1.0
dnc-wt,Bouton_vs_Axon,g3,75.75,1.0
dnc-wt,Bouton_vs_Axon,g3,76.0,1.0
dnc-wt,Bouton_vs_Axon,g3,76.25,1.0
dnc-wt,Bouton_vs_Axon,g3,76.5,1.0
dnc-wt,Bouton_vs_Axon,g3,76.75,1.0
dnc-wt,Bouton_vs_Axon,g3,77.0,1.0
dnc-wt,Bouton_vs_Axon,g3,77.25,1.0
dnc-wt,Bouton_vs_Axon,g3,77.5,1.0
dnc-wt,Bouton_vs_Axon,g3,77.75,1.0
dnc-wt,Bouton_vs_Axon,g3,78.0,1.0
dnc-wt,Bouton_vs_Axon,g3,78.25,1.0
dnc-wt,Bouton_vs_Axon,g3,78.5,1.0
dnc-wt,Bouton_vs_Axon,g3,78.75,1.0
dnc-wt,Bouton_vs_Axon,g3,79.0,1.0
dnc-wt,Bouton_vs_Axon,g3,79.25,1.0
dnc-wt,Bouton_vs_Axon,g3,79.5,1.0
dnc-wt,Bouton_vs_Axon,g3,79.75,1.0
dnc-wt,Bouton_vs_Axon,g3,80.0,1.0
dnc-wt,Bouton_vs_Axon,g3,80.25,1.0
dnc-wt,Bouton_vs_Axon,g3,80.5,1.0
dnc-wt,Bouton_vs_Axon,g3,80.75,1.0
dnc-wt,Bouton_vs_Axon,g3,81.0,1.0
dnc-wt,Bouton_vs_Axon,g3,81.25,1.0
dnc-wt,Bouton_vs_Axon,g3,81.5,1.0
dnc-wt,Bouton_vs_Axon,g3,81.75,1.0
dnc-wt,Bouton_vs_Axon,g3,82.0,1.0
dnc-wt,Bouton_vs_Axon,g3,82.25,1.0
dnc-wt,Bouton_vs_Axon,g3,82.5,1.0
dnc-wt,Bouton_vs_Axon,g3,82.75,1.0
dnc-wt,Bouton_vs_Axon,g3,83.0,1.0
dnc-wt,Bouton_vs_Axon,g3,83.25,1.0
dnc-wt,Bouton_vs_Axon,g3,83.5,1.0
dnc-wt,Bouton_vs_Axon,g3,83.75,1.0
dnc-wt,Bouton_vs_Axon,g3,84.0,1.0
dnc-wt,Bouton_vs_Axon,g3,84.25,1.0
dnc-wt,Bouton_vs_Axon,g3,84.5,1.0
dnc-wt,Bouton_vs_Axon,g3,84.75,1.0
dnc-wt,Bouton_vs_Axon,g3,85.0,1.0
dnc-wt,Bouton_vs_Axon,g3,85.25,1.0
dnc-wt,Bouton_vs_Axon,g3,85.5,1.0
dnc-wt,Bouton_vs_Axon,g3,85.75,1.0
dnc-wt,Bouton_vs_Axon,g3,86.0,1.0
dnc-wt,Bouton_vs_Axon,g3,86.25,1.0
dnc-wt,Bouton_vs_Axon,g3,86.5,1.0
dnc-wt,Bouton_vs_Axon,g3,86.75,1.0
dnc-wt,Bouton_vs_Axon,g3,87.0,1.0
dnc-wt,Bouton_vs_Axon,g3,87.25,1.0
dnc-wt,Bouton_vs_Axon,g3,87.5,1.0
dnc-wt,Bouton_vs_Axon,g3,87.75,1.0
dnc-wt,Bouton_vs_Axon,g3,88.0,1.0
dnc-wt,Bouton_vs_Axon,g3,88.25,1.0
dnc-wt,Bouton_vs_Axon,g3,88.5,1.0
dnc-wt,Bouton_vs_Axon,g3,88.75,1.0
dnc-wt,Bouton_vs_Axon,g3,89.0,1.0
dnc-wt,Bouton_vs_Axon,g3,89.25,1.0
dnc-wt,Bouton_vs_Axon,g3,89.5,1.0
dnc-wt,Bouton_vs_Axon,g3,89.75,1.0
dnc-wt,Bouton_vs_Axon,g3,90.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-10.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-9.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-9.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-9.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-9.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-8.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-8.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-8.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-8.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-7.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-7.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-7.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-7.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-6.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-6.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-6.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-6.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-5.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-5.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-5.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-5.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-4.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-4.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-4.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-4.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-3.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-3.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-3.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-3.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-2.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-2.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-2.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-2.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-1.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-1.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-1.25,1.0
dnc-wt,Bouton_vs_Axon,g4,-1.0,1.0
dnc-wt,Bouton_vs_Axon,g4,-0.75,1.0
dnc-wt,Bouton_vs_Axon,g4,-0.5,1.0
dnc-wt,Bouton_vs_Axon,g4,-0.25,1.0
dnc-wt,Bouton_vs_Axon,g4,0.0,1.0
dnc-wt,Bouton_vs_Axon,g4,0.25,1.0
dnc-wt,Bouton_vs_Axon,g4,0.5,1.0
dnc-wt,Bouton_vs_Axon,g4,0.75,1.0
dnc-wt,Bouton_vs_Axon,g4,1.0,1.0
dnc-wt,Bouton_vs_Axon,g4,1.25,1.0
dnc-wt,Bouton_vs_Axon,g4,1.5,1.0
dnc-wt,Bouton_vs_Axon,g4,1.75,1.0
dnc-wt,Bouton_vs_Axon,g4,2.0,1.0
dnc-wt,Bouton_vs_Axon,g4,2.25,1.0
dnc-wt,Bouton_vs_Axon,g4,2.5,1.0
dnc-wt,Bouton_vs_Axon,g4,2.75,1.0
dnc-wt,Bouton_vs_Axon,g4,3.0,1.0
dnc-wt,Bouton_vs_Axon,g4,3.25,1.0
dnc-wt,Bouton_vs_Axon,g4,3.5,1.0
dnc-wt,Bouton_vs_Axon,g4,3.75,1.0
dnc-wt,Bouton_vs_Axon,g4,4.0,1.0
dnc-wt,Bouton_vs_Axon,g4,4.25,1.0
dnc-wt,Bouton_vs_Axon,g4,4.5,1.0
dnc-wt,Bouton_vs_Axon,g4,4.75,1.0
dnc-wt,Bouton_vs_Axon,g4,5.0,1.0
dnc-wt,Bouton_vs_Axon,g4,5.25,1.0
dnc-wt,Bouton_vs_Axon,g4,5.5,1.0
dnc-wt,Bouton_vs_Axon,g4,5.75,1.0
dnc-wt,Bouton_vs_Axon,g4,6.0,1.0
dnc-wt,Bouton_vs_Axon,g4,6.25,1.0
dnc-wt,Bouton_vs_Axon,g4,6.5,1.0
dnc-wt,Bouton_vs_Axon,g4,6.75,1.0
dnc-wt,Bouton_vs_Axon,g4,7.0,1.0
dnc-wt,Bouton_vs_Axon,g4,7.25,1.0
dnc-wt,Bouton_vs_Axon,g4,7.5,1.0
dnc-wt,Bouton_vs_Axon,g4,7.75,1.0
dnc-wt,Bouton_vs_Axon,g4,8.0,1.0
dnc-wt,Bouton_vs_Axon,g4,8.25,1.0
dnc-wt,Bouton_vs_Axon,g4,8.5,1.0
dnc-wt,Bouton_vs_Axon,g4,8.75,1.0
dnc-wt,Bouton_vs_Axon,g4,9.0,1.0
dnc-wt,Bouton_vs_Axon,g4,9.25,1.0
dnc-wt,Bouton_vs_Axon,g4,9.5,1.0
dnc-wt,Bouton_vs_Axon,g4,9.75,1.0
dnc-wt,Bouton_vs_Axon,g4,10.0,1.0
dnc-wt,Bouton_vs_Axon,g4,10.25,1.0
dnc-wt,Bouton_vs_Axon,g4,10.5,1.0
dnc-wt,Bouton_vs_Axon,g4,10.75,1.0
dnc-wt,Bouton_vs_Axon,g4,11.0,1.0
dnc-wt,Bouton_vs_Axon,g4,11.25,1.0
dnc-wt,Bouton_vs_Axon,g4,11.5,1.0
dnc-wt,Bouton_vs_Axon,g4,11.75,1.0
dnc-wt,Bouton_vs_Axon,g4,12.0,1.0
dnc-wt,Bouton_vs_Axon,g4,12.25,1.0
dnc-wt,Bouton_vs_Axon,g4,12.5,1.0
dnc-wt,Bouton_vs_Axon,g4,12.75,1.0
dnc-wt,Bouton_vs_Axon,g4,13.0,1.0
dnc-wt,Bouton_vs_Axon,g4,13.25,1.0
dnc-wt,Bouton_vs_Axon,g4,13.5,1.0
dnc-wt,Bouton_vs_Axon,g4,13.75,1.0
dnc-wt,Bouton_vs_Axon,g4,14.0,1.0
dnc-wt,Bouton_vs_Axon,g4,14.25,1.0
dnc-wt,Bouton_vs_Axon,g4,14.5,1.0
dnc-wt,Bouton_vs_Axon,g4,14.75,1.0
dnc-wt,Bouton_vs_Axon,g4,15.0,1.0
dnc-wt,Bouton_vs_Axon,g4,15.25,1.0
dnc-wt,Bouton_vs_Axon,g4,15.5,1.0
dnc-wt,Bouton_vs_Axon,g4,15.75,1.0
dnc-wt,Bouton_vs_Axon,g4,16.0,1.0
dnc-wt,Bouton_vs_Axon,g4,16.25,1.0
dnc-wt,Bouton_vs_Axon,g4,16.5,1.0
dnc-wt,Bouton_vs_Axon,g4,16.75,1.0
dnc-wt,Bouton_vs_Axon,g4,17.0,1.0
dnc-wt,Bouton_vs_Axon,g4,17.25,1.0
dnc-wt,Bouton_vs_Axon,g4,17.5,1.0
dnc-wt,Bouton_vs_Axon,g4,17.75,1.0
dnc-wt,Bouton_vs_Axon,g4,18.0,1.0
dnc-wt,Bouton_vs_Axon,g4,18.25,1.0
