genotype,contrast,compartment,t_start_s,t_end_s,cluster_p,direction
dnc-wt,Bouton_vs_Axon,g3,1.75,2.75,0.0390625,1.0
dnc-wt,Bouton_vs_Axon,g3,12.25,13.25,0.0390625,1.0
